ep,reward,delay,energy,succ
0,21188.6460,1.2153,331.1552,5640
1,21360.1100,1.2237,330.3310,5683
2,21144.7845,1.2379,329.9389,5655
3,20846.7131,1.2243,330.3912,5581
4,21172.6118,1.2232,330.2461,5645
1,21343.4300,1.2295,330.9361,5686
2,21324.4828,1.2180,331.1110,5670
3,21790.2615,1.2120,331.7907,5757
4,21393.2801,1.2243,329.5715,5690
5,21164.8779,1.2265,330.4929,5647
6,21080.5931,1.2263,330.6630,5630
7,21786.9088,1.2152,332.4205,5760
8,21344.6196,1.2124,333.7506,5669
9,21801.7033,1.2113,333.0405,5759
10,21261.1095,1.2212,331.7089,5661
11,21373.3505,1.2133,331.5491,5675
12,21262.1731,1.2295,331.4160,5670
13,21346.2622,1.2250,331.6325,5682
14,21409.1427,1.2269,332.6553,5697
15,21060.9955,1.2263,330.5196,5626
16,21435.0892,1.2280,331.5352,5703
17,21303.4627,1.2182,330.8111,5666
18,21764.8488,1.2146,332.8168,5755
19,21607.0616,1.2072,334.1469,5716
20,21588.7844,1.2108,333.6633,5716
21,21685.0321,1.2082,335.2308,5733
22,21724.0524,1.2110,332.5991,5743
23,21365.2144,1.2233,331.5383,5684
24,21517.4324,1.2148,330.5606,5705
25,21501.4132,1.2169,333.3708,5705
26,21247.9095,1.2166,330.2811,5653
27,21660.8519,1.2223,331.4832,5742
28,21472.8644,1.2134,331.6902,5695
29,21508.2011,1.2145,334.0411,5704
30,21633.0758,1.2043,333.8679,5718
31,21136.9619,1.2193,334.3142,5635
32,21212.9483,1.2197,332.4243,5650
33,21441.1693,1.2147,331.4313,5690
34,21778.3538,1.2064,332.8607,5749
35,21697.4558,1.2064,333.5444,5733
36,21654.8580,1.2176,332.0870,5736
37,21145.7231,1.2235,330.5453,5640
38,21900.2179,1.2040,333.2799,5771
39,21532.9044,1.2179,332.1471,5712
40,21958.7152,1.2094,332.0716,5788
41,20934.0006,1.2249,330.2061,5599
42,21213.7322,1.2195,329.5886,5649
43,21533.0293,1.2305,330.7997,5725
44,21500.6309,1.2232,331.6842,5711
45,21278.1737,1.2267,330.7677,5670
46,21317.5232,1.2221,330.8586,5673
47,21023.5489,1.2296,330.3763,5622
48,20754.6333,1.2404,331.2888,5580
49,21387.2373,1.2368,332.2607,5703
50,21188.5318,1.2291,332.1255,5655
51,21893.3258,1.2126,331.0556,5778
52,21578.8122,1.2240,330.0095,5727
53,21658.4938,1.2164,330.7149,5735
54,21505.3402,1.2265,330.1743,5715
55,21599.5280,1.2096,330.6294,5716
56,21187.2378,1.2270,330.4041,5652
57,21654.5877,1.2240,329.5425,5742
58,21161.4347,1.2309,330.4940,5651
59,21192.2395,1.2347,329.8980,5661
60,20906.8359,1.2300,330.2067,5599
61,21324.9919,1.2225,331.2318,5675
62,21332.6070,1.2063,330.4323,5659
63,21971.9942,1.2115,332.1885,5793
64,21446.8483,1.2171,332.4064,5694
65,21407.8623,1.2171,331.7508,5686
66,21096.8167,1.2337,330.2760,5641
67,21455.0164,1.2265,330.5068,5705
68,21313.0676,1.2226,332.2012,5673
69,21903.9057,1.2072,332.9789,5775
70,21239.7947,1.2308,331.9899,5667
71,21304.8439,1.2228,333.3232,5672
72,21504.7892,1.2175,332.4482,5706
73,20994.7010,1.2216,331.3914,5608
74,21362.7122,1.2151,332.3718,5675
75,20984.5696,1.2300,331.4860,5615
76,21449.0884,1.2142,331.2518,5691
77,21101.8223,1.2346,330.5436,5643
78,21268.5298,1.2265,331.3386,5668
79,21444.4290,1.2255,330.8278,5702
