ep,reward,delay,energy,succ
0,20892.9912,1.2393,329.7369,5606
1,21283.5359,1.2316,329.9274,5676
2,20910.4920,1.2386,330.2993,5609
3,21513.9000,1.2230,330.4125,5713
4,21335.9046,1.2245,330.2991,5679
5,21649.8956,1.2257,329.8703,5743
6,21357.6254,1.2089,331.1269,5667
7,21285.8897,1.2208,330.0765,5665
8,21181.0930,1.2226,330.2356,5646
9,21190.4170,1.2237,330.2151,5649
10,21619.2101,1.2220,330.3800,5733
11,21193.2666,1.2154,330.9667,5641
12,21662.2327,1.2109,330.9392,5730
13,21580.3927,1.2076,330.5531,5710
14,21247.5959,1.2224,330.0683,5659
15,21442.8773,1.2329,329.2521,5709
16,21369.2613,1.2162,330.8960,5677
17,21799.4687,1.2189,331.0118,5766
18,21132.2533,1.2300,329.6930,5644
19,21390.9137,1.2167,331.4288,5682
20,21040.3848,1.2409,329.1314,5637
21,21407.3411,1.2128,330.7301,5681
22,20955.5080,1.2322,329.7877,5611
23,21367.0084,1.2245,329.5486,5685
24,21592.3421,1.2215,329.9389,5727
25,21659.1093,1.2183,330.2463,5737
26,22008.3619,1.1964,331.8281,5784
27,21915.2090,1.2134,330.1888,5783
28,21490.6572,1.2097,329.5921,5694
29,21560.7734,1.2143,329.9463,5713
30,21808.1314,1.2166,330.0737,5765
31,21409.9841,1.2192,329.6963,5688
32,21585.3413,1.2304,329.6966,5735
33,21405.1228,1.2152,330.3459,5683
34,21461.0967,1.2056,330.7254,5684
35,21539.6384,1.2115,330.6955,5706
36,21797.7235,1.2063,330.5163,5752
37,21612.5041,1.2205,330.2383,5730
38,21107.7580,1.2338,329.2627,5643
39,21677.4813,1.2131,329.8052,5735
40,21129.2243,1.2193,329.7949,5632
41,21756.0398,1.2134,329.6270,5751
42,21758.6054,1.2149,329.3977,5753
43,21567.4471,1.2210,328.4745,5721
44,21176.6026,1.2255,329.4753,5648
45,21299.8227,1.2166,329.2541,5663
46,21153.2616,1.2314,327.6343,5649
