ep,reward,delay,energy,succ
0,20914.1990,1.2360,327.4962,5606
1,21431.2251,1.2363,328.0833,5710
2,21249.2376,1.2359,327.8151,5673
3,21171.2716,1.2298,328.0766,5651
4,20918.8215,1.2407,327.6323,5612
5,20646.5531,1.2430,327.6818,5560
6,21112.8662,1.2370,328.0502,5647
7,20974.0698,1.2463,327.6570,5629
8,20903.1935,1.2341,327.9505,5602
9,21386.8957,1.2361,328.6121,5701
10,21019.7975,1.2403,328.2387,5632
11,21421.3943,1.2371,328.5243,5709
12,21230.6704,1.2376,327.4220,5671
13,20843.8869,1.2282,328.5898,5584
14,21232.0054,1.2334,328.2002,5667
15,21146.5162,1.2344,327.9733,5651
16,21464.0514,1.2369,327.4738,5717
17,21012.9458,1.2456,327.3871,5636
18,20916.7765,1.2457,327.6847,5617
19,20615.5809,1.2441,327.4836,5555
20,21546.4655,1.2278,328.2188,5724
21,21019.1612,1.2322,327.6723,5623
22,21499.7472,1.2395,327.9815,5727
23,21201.9392,1.2345,327.6490,5662
24,21374.0172,1.2349,328.1795,5697
25,21409.7659,1.2488,328.1634,5719
26,21393.7125,1.2348,328.6696,5701
27,21191.8547,1.2371,328.3561,5663
28,21362.3933,1.2390,327.8053,5699
29,21006.5196,1.2439,327.6966,5633
30,21023.0865,1.2427,327.6309,5635
31,21494.4907,1.2274,327.7665,5713
32,21423.6637,1.2387,328.1507,5711
33,21183.1247,1.2285,327.9473,5652
34,21605.0769,1.2356,328.0878,5744
35,20865.0364,1.2403,328.1837,5601
36,21164.9987,1.2395,327.6922,5660
37,20896.3758,1.2507,327.1206,5618
38,20766.3321,1.2496,327.6065,5591
39,20821.5279,1.2412,327.4768,5593
40,21283.4311,1.2360,327.9434,5680
41,20828.5271,1.2428,326.9134,5596
42,21334.0971,1.2360,327.3352,5690
43,21515.4556,1.2376,327.5458,5728
44,20946.2287,1.2382,328.0795,5615
45,21468.8814,1.2379,327.3925,5719
46,21571.4828,1.2232,328.0823,5724
47,21194.8578,1.2357,327.8833,5662
48,20809.1727,1.2395,328.1593,5589
49,21120.1748,1.2434,327.2644,5655
50,21492.1189,1.2278,328.0247,5713
51,21093.7354,1.2370,327.5418,5643
52,21178.5299,1.2340,328.1483,5657
53,21469.2756,1.2347,328.4304,5716
54,20977.0743,1.2402,327.2860,5623
55,21050.9163,1.2364,328.1633,5634
56,21397.5225,1.2410,327.3087,5708
57,21012.0524,1.2360,328.8551,5626
58,21019.5590,1.2283,327.7985,5619
59,21344.7346,1.2252,328.5469,5681
60,21083.2901,1.2428,327.2542,5647
61,21172.6495,1.2342,328.2602,5656
62,21480.4597,1.2308,328.3634,5714
63,20843.6575,1.2349,328.2776,5591
64,21659.3838,1.2292,328.0628,5748
65,21120.6397,1.2382,328.5674,5650
66,21001.1996,1.2384,327.4221,5626
67,21189.5173,1.2376,327.9552,5663
68,21049.1358,1.2370,327.1863,5634
69,20631.3243,1.2459,327.2718,5560
70,21438.9955,1.2244,328.6454,5699
71,21436.5592,1.2295,328.6565,5704
72,20894.1815,1.2349,327.9004,5601
73,21627.7970,1.2305,328.0012,5743
74,21353.4985,1.2331,328.1494,5691
75,21350.2898,1.2271,328.1294,5684
76,21426.3323,1.2344,328.2823,5707
77,21098.6024,1.2415,328.1892,5649
78,21067.1263,1.2380,328.2365,5639
79,21026.5674,1.2465,328.3105,5640
80,21536.9031,1.2380,328.3106,5733
81,20950.5677,1.2412,327.9154,5619
82,21047.6961,1.2343,327.7938,5631
83,20883.2971,1.2434,328.1919,5608
84,21091.8062,1.2258,328.4590,5631
85,20863.8216,1.2406,327.9273,5601
86,20517.5830,1.2455,328.0629,5537
87,21024.9352,1.2415,327.4946,5634
88,20811.9285,1.2446,328.2740,5595
89,20895.9734,1.2431,327.5276,5610
90,21323.4187,1.2286,327.6917,5680
91,21097.8246,1.2409,327.5567,5648
92,20748.3390,1.2379,327.8623,5575
93,21234.1700,1.2378,327.6212,5672
94,20898.5888,1.2303,327.8559,5597
95,21206.6835,1.2334,328.1811,5662
96,21373.9258,1.2340,328.0556,5696
97,20798.2281,1.2387,328.3836,5586
98,21126.2820,1.2355,327.7838,5648
99,21326.1740,1.2410,328.2938,5694
100,20787.4884,1.2400,327.5304,5585
101,21102.8656,1.2258,327.7617,5633
102,21183.6866,1.2416,327.8266,5666
103,21012.8231,1.2389,327.9943,5629
104,21101.7931,1.2392,327.5834,5647
105,21401.2971,1.2307,328.0052,5698
106,20659.7030,1.2451,327.9753,5565
107,20849.3559,1.2386,328.1443,5596
108,21126.8601,1.2363,327.7688,5649
109,21094.6879,1.2452,327.7806,5652
110,20935.2466,1.2382,328.7444,5613
111,21617.0136,1.2277,328.3096,5738
112,21426.6403,1.2306,328.2537,5703
113,20926.4791,1.2402,327.6549,5613
114,21233.0907,1.2446,327.6660,5679
115,21224.3079,1.2375,328.6112,5670
116,21122.5480,1.2351,328.2696,5647
117,21348.0677,1.2351,327.9821,5692
118,21270.5738,1.2394,327.6047,5681
119,21108.5370,1.2369,328.0138,5646
120,20907.1193,1.2474,328.2053,5617
121,21522.1899,1.2288,327.7301,5720
122,21174.2050,1.2387,327.6446,5661
123,21208.4583,1.2359,328.1995,5665
124,21080.9370,1.2401,328.1817,5644
125,21087.3267,1.2399,328.1897,5645
126,21430.1273,1.2317,328.6765,5705
127,20945.0290,1.2432,327.9074,5620
128,21174.7404,1.2293,327.5816,5651
129,21157.8326,1.2332,328.3327,5652
130,21254.6847,1.2301,328.0860,5668
131,21347.0926,1.2361,328.4435,5693
132,20947.3849,1.2410,327.5714,5618
133,20858.3611,1.2390,327.2985,5598
134,21341.2860,1.2375,327.4624,5693
135,20800.2256,1.2383,328.3394,5586
136,21267.2841,1.2361,328.2746,5677
137,21165.4534,1.2299,328.0873,5650
138,21231.8023,1.2230,328.4871,5656
139,20902.8668,1.2550,327.4441,5624
140,21372.0946,1.2397,328.7521,5702
141,21200.9444,1.2438,328.3791,5672
142,20989.4378,1.2395,327.9216,5625
143,21082.3648,1.2335,327.4076,5637
144,21365.0352,1.2374,328.3286,5698
145,21077.6790,1.2454,328.1504,5649
146,21186.8000,1.2363,328.0015,5661
147,20996.5246,1.2352,328.4718,5622
148,21222.1348,1.2363,327.6993,5668
149,20989.6952,1.2443,327.6589,5630
150,20992.7528,1.2343,327.5745,5620
151,21076.1587,1.2399,328.6833,5643
152,20997.6151,1.2418,327.7044,5629
153,20895.0530,1.2393,328.4766,5606
154,21096.7482,1.2305,328.4827,5637
155,21039.3933,1.2397,327.3455,5635
156,21133.4400,1.2378,327.9393,5652
157,21281.2030,1.2392,328.0392,5683
158,21329.3313,1.2340,327.8202,5687
