ep,reward,delay,energy,succ
0,21119.6460,1.2411,328.7094,5653
1,21498.1698,1.2282,329.1774,5715
2,21404.7221,1.2402,328.5533,5709
3,21038.8597,1.2510,327.6082,5647
4,21358.0759,1.2368,328.6358,5696
5,21330.1586,1.2244,331.0644,5678
6,21091.5664,1.2349,329.5938,5641
7,20848.2348,1.2360,331.2374,5594
8,20569.6509,1.2426,333.3334,5546
9,21148.8043,1.2329,331.8245,5651
10,21157.3505,1.2340,335.0638,5655
11,21401.1979,1.2270,334.1187,5696
12,21192.4318,1.2299,336.2719,5658
13,21338.3384,1.2241,336.2876,5681
14,21173.7062,1.2357,334.8660,5660
15,20972.8596,1.2404,335.4709,5625
16,21230.3761,1.2283,333.5594,5663
17,21054.8930,1.2408,335.8313,5642
18,21147.2703,1.2335,337.0686,5653
19,21109.0393,1.2326,335.6446,5644
20,21176.4322,1.2325,331.5333,5656
21,21307.9242,1.2268,336.8363,5678
22,21041.9460,1.2276,337.8961,5626
23,21125.4563,1.2228,336.3311,5637
24,21402.4548,1.2246,335.2542,5694
25,20762.8068,1.2438,336.4902,5587
26,21551.7782,1.2153,338.3545,5715
27,21660.3487,1.2112,340.6127,5733
28,21273.7227,1.2254,335.0053,5669
29,21200.4943,1.2314,338.7805,5662
30,21511.0264,1.2214,337.5440,5713
31,21480.8757,1.2362,338.1197,5723
32,21785.9894,1.2083,337.4400,5754
33,21231.6488,1.2288,337.4530,5665
34,21292.0587,1.2160,339.2603,5664
35,20725.5182,1.2403,337.1553,5576
36,21191.9758,1.2326,337.0990,5661
37,21565.1736,1.2224,337.7140,5725
38,21408.5899,1.2273,338.1587,5699
39,21263.6531,1.2272,338.3164,5670
40,21322.4885,1.2303,337.9260,5685
41,21081.4549,1.2331,338.7224,5640
42,20803.4794,1.2245,338.1896,5575
43,21618.4863,1.2232,339.2949,5737
44,21324.3948,1.2301,337.5106,5685
45,21470.9319,1.2255,339.2788,5710
46,21126.3389,1.2285,335.2883,5643
47,20920.8036,1.2322,338.8966,5607
48,21341.3925,1.2366,336.6157,5695
49,21254.1369,1.2277,339.5171,5669
