ep,reward,delay,energy,succ
0,1176.7444,1.2421,328.7390,5654
1,1258.6836,1.2392,328.6908,5658
2,1372.3913,1.2245,330.2223,5683
3,1372.2705,1.2300,330.9843,5676
4,1321.7095,1.2294,330.5837,5641
5,1119.6253,1.2351,330.5765,5581
6,1177.0870,1.2318,331.8678,5622
7,1289.3105,1.2305,331.7552,5660
8,1171.1714,1.2274,331.1875,5622
9,1306.8696,1.2276,331.5742,5663
10,1280.3188,1.2216,333.1339,5636
11,1080.1565,1.2296,331.9975,5577
12,1504.2547,1.2072,333.0460,5739
13,1324.9702,1.2308,333.2352,5674
14,1474.7565,1.2251,333.8284,5746
15,1343.8624,1.2221,334.3977,5674
16,1447.5682,1.2169,333.7114,5711
17,1419.1997,1.2248,335.1051,5705
18,1393.7774,1.2243,334.6928,5699
19,1388.3172,1.2175,336.6686,5681
20,1433.7269,1.2208,336.8273,5736
21,1520.7469,1.2185,337.3970,5744
22,1572.8609,1.2050,337.6274,5748
23,1626.9983,1.2075,338.1083,5751
24,1405.0881,1.2088,338.0428,5695
25,1682.8502,1.1960,339.5244,5783
26,1416.1363,1.2158,337.9724,5709
27,1654.1293,1.2060,339.0365,5811
28,1467.3684,1.2126,339.0948,5734
29,1542.3135,1.2116,339.0995,5764
30,1690.1600,1.2054,339.7358,5821
31,1413.0443,1.2131,339.2051,5711
32,1496.0387,1.2108,338.4007,5727
33,1564.2582,1.2104,338.5936,5762
34,1452.0276,1.2163,339.8199,5709
35,1436.6883,1.2090,338.3135,5710
36,1593.4344,1.2097,340.0625,5771
37,1482.6520,1.2113,340.1590,5777
38,1527.9791,1.2149,338.9269,5733
39,1509.8056,1.2156,339.4841,5727
40,1536.6810,1.2012,340.2916,5713
41,1384.2423,1.2104,339.7950,5676
42,1639.9281,1.1984,340.4011,5755
43,1585.4286,1.2062,340.3513,5770
44,1684.1721,1.1964,340.4589,5793
45,1500.3826,1.2130,339.0417,5748
46,1393.8131,1.2201,338.5932,5708
47,1425.5780,1.2167,339.4397,5707
48,1569.9127,1.2001,340.4880,5775
49,1714.1499,1.2009,340.1293,5817
50,1300.5817,1.2166,339.7455,5674
51,1630.4807,1.1988,340.4756,5764
52,1369.1104,1.2148,340.1228,5689
53,1601.7827,1.1994,340.8631,5775
54,1489.6264,1.2062,341.5940,5728
55,1508.4061,1.2102,340.4615,5749
56,1409.7261,1.2101,339.4664,5700
57,1612.2548,1.2033,340.2325,5781
58,1600.6436,1.2201,338.8679,5787
59,1677.3011,1.1885,340.3761,5770
60,1594.6043,1.2040,339.9792,5785
61,1651.7749,1.2029,339.6991,5775
62,1580.0316,1.2079,339.1977,5751
63,1586.8205,1.1929,338.7068,5757
64,1459.8066,1.2098,338.7525,5711
65,1541.3174,1.2018,339.5501,5722
66,1474.2810,1.2095,338.6300,5714
67,1401.4791,1.2165,338.3682,5714
68,1469.5589,1.2154,339.2281,5694
69,1595.4132,1.2098,339.5720,5749
70,1676.9296,1.2064,339.6583,5789
71,1463.7386,1.2121,339.9873,5730
72,1559.3409,1.1957,341.2122,5721
73,1233.0706,1.2180,339.4541,5632
74,1620.4207,1.2110,340.8601,5814
75,1676.0948,1.2013,340.5480,5776
76,1670.8911,1.2001,340.9491,5803
77,1314.2017,1.2166,339.9011,5645
78,1556.3842,1.2040,341.4270,5764
79,1471.1722,1.2124,340.8017,5720
80,1433.3658,1.2132,339.4083,5688
81,1575.0422,1.2104,340.5865,5760
82,1406.6990,1.2109,340.4404,5706
83,1427.6848,1.2156,339.6216,5697
84,1371.7789,1.2115,340.1782,5696
85,1654.2749,1.2018,340.9301,5791
86,1737.9366,1.1959,341.1822,5845
87,1567.7276,1.2017,340.9211,5752
88,1408.5788,1.2110,340.2756,5695
89,1471.3830,1.2124,339.5934,5729
90,1518.4795,1.2040,341.1919,5752
91,1707.2327,1.1961,341.7217,5790
92,1605.5646,1.1909,343.1013,5737
93,1562.2097,1.2172,340.6748,5768
94,1644.4189,1.1849,342.5288,5749
95,1530.1946,1.2127,340.3852,5762
96,1615.7261,1.2004,340.4549,5796
97,1666.5322,1.1907,340.5898,5785
98,1435.1820,1.2125,340.8241,5672
99,1332.1287,1.2005,341.4623,5665
100,1543.1441,1.2135,340.8442,5769
101,1460.5992,1.2151,340.5636,5724
102,1612.7716,1.2081,340.9062,5787
103,1599.9179,1.2008,341.7430,5762
104,1632.1113,1.1854,342.8106,5750
105,1619.2373,1.1888,341.9202,5746
106,1724.1345,1.1905,342.2074,5812
107,1646.7426,1.1976,342.2554,5753
108,1764.3684,1.1981,342.0515,5818
109,1458.4900,1.2119,341.3124,5703
110,1830.7458,1.1872,343.6298,5858
111,1747.6994,1.1811,344.0005,5825
112,1673.3788,1.1943,343.6241,5807
113,1662.2073,1.1916,344.0670,5785
114,1794.7261,1.1799,343.9184,5820
115,1743.8550,1.1812,344.4407,5806
116,1659.1688,1.1915,342.1807,5762
117,1807.2002,1.1925,343.5747,5842
118,1815.6329,1.1908,343.9586,5845
119,1773.7419,1.1828,343.9783,5841
120,1385.0497,1.2095,341.8474,5679
121,1746.2335,1.1829,343.3332,5814
122,1730.0626,1.1940,342.9210,5818
123,1434.5502,1.2051,341.8743,5677
124,1639.0206,1.1917,342.7006,5771
125,1525.8602,1.1971,343.1923,5741
126,1489.1352,1.1886,343.1127,5710
127,1758.2914,1.1904,343.4527,5804
128,1649.2043,1.1979,342.8435,5789
129,1555.0144,1.2060,342.1988,5773
