ep,reward,delay,energy,succ
0,1181.1128,1.2441,324.6637,5623
1,1243.3570,1.2440,324.6933,5658
1,1121.9337,1.2448,324.9526,5589
2,1307.4764,1.2403,325.0103,5673
3,937.5866,1.2574,325.5534,5562
4,1186.6740,1.2328,325.7287,5584
5,1315.5038,1.2261,329.3528,5687
6,1414.9675,1.2298,329.0973,5739
7,1400.6083,1.2288,326.3382,5708
8,1285.6241,1.2130,330.3371,5622
9,1131.2933,1.2405,331.4504,5637
10,1400.5812,1.2177,333.6954,5723
11,1314.9198,1.2253,332.6513,5656
12,1429.3619,1.2253,331.2337,5721
13,1209.3396,1.2437,325.5937,5643
14,1411.4462,1.2248,326.0343,5714
15,1221.0394,1.2296,325.0860,5632
16,1353.6340,1.2230,327.0489,5684
17,1398.5834,1.2230,330.2315,5726
18,1353.6338,1.2161,328.6132,5670
19,1389.5817,1.2167,327.9910,5683
20,1333.4911,1.2218,327.0952,5666
21,1484.1180,1.2090,326.8611,5728
22,1624.0180,1.2010,327.2577,5763
23,1302.1457,1.2260,329.3633,5686
24,1445.9107,1.2184,326.9930,5700
25,1474.8612,1.2202,326.9958,5732
26,1426.4738,1.2140,329.0809,5689
27,1533.0382,1.2130,327.7560,5756
28,1429.3279,1.2172,328.1613,5709
29,1348.4096,1.2176,329.8704,5658
30,1449.1789,1.2225,327.0802,5721
31,1541.2460,1.2107,327.5766,5761
32,1441.8621,1.2301,327.1931,5750
33,1414.5729,1.2177,329.7694,5723
34,1296.9047,1.2227,328.0240,5674
35,1387.8250,1.2262,329.8347,5716
36,1343.9620,1.2199,330.6900,5678
37,1152.0596,1.2283,328.8035,5598
38,1432.5147,1.2158,330.6916,5711
39,1276.4498,1.2254,331.0663,5677
40,1414.4866,1.2252,334.2411,5689
41,1497.3307,1.2232,336.2733,5767
42,1346.9704,1.2229,334.1813,5637
43,1296.9684,1.2218,335.3462,5654
44,1397.8511,1.2174,336.8513,5703
45,1259.7601,1.2196,337.1476,5647
46,1557.2355,1.2071,338.3274,5771
47,1520.7946,1.2147,335.0026,5747
48,1369.8927,1.2082,337.0562,5677
49,1500.4206,1.2107,336.3338,5773
50,1369.1266,1.2184,336.7277,5688
51,1541.1455,1.2201,338.1086,5744
52,1519.7957,1.2221,337.1884,5757
53,1375.0044,1.2204,335.2919,5702
54,1595.4835,1.2058,337.7235,5764
55,1568.9080,1.2042,335.7706,5728
56,1662.8029,1.2062,332.5299,5810
57,1384.8606,1.2148,333.5116,5710
58,1569.6189,1.2013,329.3797,5757
59,1537.4362,1.2140,331.9377,5766
60,1501.8718,1.2114,328.4515,5711
61,1436.1267,1.2136,329.1748,5714
62,1390.4941,1.2190,329.6322,5688
63,1342.8564,1.2227,331.5939,5660
64,1355.5562,1.2107,333.6926,5669
65,1335.8959,1.2259,334.3985,5654
66,1379.1357,1.2189,331.5524,5673
67,1350.1603,1.2136,333.4854,5660
68,1581.0836,1.2152,331.1554,5779
69,1782.7987,1.1986,333.9521,5844
70,1589.0098,1.2107,336.7080,5733
71,1645.5291,1.2046,335.7699,5809
72,1547.4177,1.2092,331.0523,5718
73,1506.4351,1.2213,329.4858,5761
74,1351.2475,1.2244,330.0273,5682
75,1459.7701,1.2049,331.0078,5721
76,1369.9227,1.2276,329.7827,5669
77,1629.2914,1.1951,331.7801,5751
78,1181.9775,1.2247,330.6086,5592
79,1347.9456,1.2150,329.8017,5651
80,1679.0562,1.2056,332.8172,5792
81,1173.2272,1.2334,332.3108,5612
82,1528.7892,1.2104,331.8868,5717
83,1274.0400,1.2266,332.2783,5661
84,1490.8059,1.2161,333.5013,5714
85,1567.8902,1.1991,333.3860,5756
86,1489.6041,1.2110,335.9178,5755
87,1688.7750,1.2035,335.7809,5801
88,1515.5037,1.2102,334.5305,5747
89,1418.5554,1.2156,332.9189,5698
90,1115.0900,1.2218,336.7931,5608
91,1532.5000,1.2071,337.0847,5741
92,1542.5512,1.2118,337.5306,5763
93,1565.6645,1.2173,336.0343,5767
94,1504.6592,1.2126,337.2389,5746
95,1552.4199,1.2086,338.5750,5766
96,1550.6016,1.2091,338.4211,5757
97,1435.4382,1.2050,338.7966,5711
98,1380.5510,1.2120,335.9836,5683
99,1402.1942,1.2340,337.1696,5728
100,1465.2378,1.2255,332.9735,5755
101,1439.7234,1.2271,334.1840,5741
102,1346.6510,1.2328,332.1836,5681
103,1383.1948,1.2324,333.4266,5747
104,1237.2666,1.2356,333.0551,5661
105,1305.8566,1.2334,335.9642,5694
106,1256.1449,1.2310,336.1071,5666
107,1278.3226,1.2249,335.9164,5656
108,1397.3952,1.2302,335.0998,5708
109,1310.3759,1.2275,335.4806,5676
110,1277.4971,1.2340,332.0204,5653
111,1311.7045,1.2341,332.7235,5695
112,1169.1484,1.2372,333.0887,5638
113,1293.1807,1.2318,332.9613,5653
114,1321.7562,1.2327,332.0646,5681
115,1277.9830,1.2389,332.5330,5673
116,1316.6654,1.2288,333.8545,5671
117,1151.7308,1.2357,335.3505,5583
118,1351.7150,1.2181,336.2675,5664
119,1215.1052,1.2215,336.0987,5612
120,1507.4907,1.2153,336.5888,5759
121,1260.0796,1.2344,335.5720,5668
122,1332.7943,1.2250,335.6438,5677
123,1407.6574,1.2264,337.4739,5708
124,1288.9333,1.2284,336.7791,5661
125,1449.3111,1.2234,337.0849,5749
126,1280.1256,1.2318,337.3109,5650
127,1243.2732,1.2356,335.9571,5675
128,1372.5474,1.2257,337.0975,5709
129,1257.9328,1.2223,337.3051,5614
130,1231.6574,1.2333,336.0741,5657
131,1247.6831,1.2314,336.2023,5656
132,1427.0783,1.2394,335.7112,5727
133,1470.8216,1.2224,334.4119,5745
134,1246.1268,1.2329,335.4935,5668
135,1274.0979,1.2333,335.6953,5705
136,1436.9798,1.2233,336.1119,5748
137,1292.5362,1.2275,335.9726,5686
138,1282.3182,1.2267,335.4445,5652
139,1325.4872,1.2284,333.3437,5685
140,1336.6221,1.2232,334.8400,5653
141,1388.4944,1.2181,334.1171,5679
142,1389.5795,1.2195,335.2726,5676
143,1357.9503,1.2219,334.3885,5673
144,1367.5464,1.2232,333.9002,5685
145,1417.0170,1.2148,334.7934,5677
146,1289.5978,1.2249,334.5781,5655
147,1306.4034,1.2179,334.3645,5675
148,1395.7974,1.2214,336.0097,5691
149,1441.2955,1.2247,334.9849,5739
150,1346.8632,1.2315,334.8473,5696
151,1543.1376,1.2193,336.0151,5770
152,1226.5963,1.2308,335.3230,5640
153,1418.1214,1.2218,335.9848,5716
154,1360.9853,1.2210,335.3919,5677
155,1332.3881,1.2239,334.7461,5693
156,1298.4454,1.2298,334.0513,5704
157,1167.2185,1.2275,336.2958,5607
158,1395.9942,1.2160,336.0753,5692
159,1332.0722,1.2179,335.4979,5677
160,1442.3143,1.2156,337.6749,5714
161,1135.8402,1.2341,335.2395,5605
162,1241.0812,1.2310,334.2315,5669
163,1209.7847,1.2339,336.1501,5649
164,1263.7692,1.2322,336.6843,5675
165,1167.9825,1.2389,335.0916,5617
166,1282.6002,1.2368,335.6041,5672
167,1434.1085,1.2256,336.7548,5741
168,1543.2252,1.2145,336.7988,5749
169,1502.1644,1.2132,337.7629,5746
170,1447.0526,1.2140,338.4741,5727
171,1386.9190,1.2256,337.6103,5697
172,1716.3695,1.1987,338.3971,5821
173,1532.4690,1.2003,339.1495,5716
174,1535.4995,1.2127,337.9207,5788
175,1408.6425,1.2184,338.2193,5708
176,1439.4947,1.2128,336.4972,5728
177,1286.0927,1.2296,334.0144,5661
