ep,reward,delay,energy,succ
0,1233.3392,1.2235,329.8918,5626
1,1472.3368,1.2200,330.0238,5724
2,1494.6847,1.2075,330.9172,5692
3,1299.4219,1.2167,330.5139,5662
4,1547.1397,1.2144,330.6633,5748
5,1388.0693,1.2217,330.8828,5704
6,1388.7548,1.2190,331.5395,5700
7,1188.0434,1.2235,330.7550,5610
8,1386.8748,1.2162,332.3226,5701
9,1096.6514,1.2276,331.5494,5555
10,1476.8899,1.2272,330.6560,5715
11,1434.0526,1.2245,332.3858,5691
12,1478.3879,1.2240,331.7694,5726
13,1549.9462,1.2114,333.1643,5760
14,1246.6703,1.2178,332.9314,5639
15,1456.3567,1.2162,332.1660,5720
16,1385.6208,1.2209,331.2682,5692
17,1632.3327,1.2022,332.3831,5763
18,1633.3947,1.2042,333.7686,5758
19,1621.9249,1.2100,332.7976,5763
20,1383.4641,1.2162,331.9427,5695
21,1569.6391,1.2142,332.1253,5768
22,1524.8555,1.2013,334.4687,5731
23,1361.4914,1.2157,332.4220,5664
24,1323.4098,1.2300,331.1175,5670
25,1507.4132,1.2104,332.6661,5724
26,1507.9611,1.2216,332.4494,5756
27,1634.6464,1.2061,334.4576,5778
28,1359.5326,1.2211,332.0493,5701
29,1292.9477,1.2108,333.2270,5640
30,1491.3635,1.2205,333.6486,5724
31,1534.7047,1.2105,332.4694,5734
32,1547.7707,1.2093,332.7598,5755
33,1707.9344,1.1938,333.5057,5752
34,1552.0229,1.2157,331.8041,5770
35,1415.4831,1.2185,333.2055,5713
36,1500.8183,1.2130,331.8883,5714
37,1549.1134,1.2178,331.6219,5790
38,1504.7177,1.2117,332.6971,5727
39,1409.3526,1.2222,332.6583,5700
40,1523.7615,1.2121,332.4076,5726
41,1479.1326,1.2125,330.8772,5739
42,1544.0956,1.2080,334.2707,5752
43,1231.2536,1.2230,332.0312,5632
44,1403.9263,1.2176,332.5672,5704
45,1461.7286,1.2113,331.5438,5737
46,1549.8522,1.2066,332.6201,5747
47,1657.5726,1.2055,333.6002,5796
48,1397.4326,1.2084,332.9774,5679
49,1475.7261,1.2109,333.1672,5745
50,1300.7724,1.2202,332.1123,5661
51,1526.8954,1.2137,332.3307,5750
52,1600.5266,1.2100,332.2229,5762
53,1582.7787,1.2070,332.9966,5771
54,1557.4672,1.1960,333.5250,5758
55,1344.0108,1.2187,332.8872,5645
56,1428.1752,1.2198,334.2969,5719
57,1608.1806,1.2040,332.1536,5797
58,1222.4149,1.2273,331.2027,5630
59,1577.4165,1.1960,334.1523,5724
60,1556.1163,1.1950,333.5851,5753
61,1609.1708,1.1992,331.3874,5754
62,1457.1230,1.2098,331.9290,5699
63,1318.5652,1.2149,330.6131,5661
64,1539.3560,1.2042,332.1970,5717
65,1634.2309,1.2026,333.3774,5770
66,1643.6199,1.2022,332.7724,5776
67,1449.2051,1.2175,332.8797,5728
68,1388.3692,1.2177,331.3622,5701
69,1406.2528,1.2197,331.7433,5699
70,1355.5198,1.2176,334.2030,5687
71,1304.2317,1.2213,334.4901,5670
72,1415.4891,1.2180,332.4277,5727
73,1147.7343,1.2252,331.5603,5598
74,1390.8008,1.2189,332.0196,5671
75,1537.3254,1.2022,333.2433,5742
76,1631.7205,1.2037,333.9217,5784
77,1376.2763,1.2185,332.2810,5671
78,1553.1455,1.1969,335.0277,5724
79,1470.7975,1.2158,332.3555,5710
80,1551.4258,1.2034,334.9319,5746
81,1328.2399,1.2189,333.0446,5645
82,1393.6857,1.2066,335.1485,5689
83,1471.1796,1.2129,332.8302,5737
84,1413.6771,1.2193,332.1992,5702
85,1569.2217,1.2112,333.0658,5760
86,1583.6475,1.2173,333.2671,5792
87,1494.5111,1.2157,333.7215,5736
88,1496.2382,1.2086,332.7698,5715
89,1340.7882,1.2252,330.7707,5664
90,1486.3411,1.2079,332.2917,5699
91,1337.2327,1.2186,332.0026,5654
92,1320.8470,1.2164,332.9428,5692
93,1454.4407,1.2120,332.5409,5703
94,1382.3790,1.2164,332.2928,5670
95,1535.6824,1.2110,332.9849,5718
96,1488.2229,1.1969,333.9046,5671
97,1571.9058,1.2109,332.0965,5751
98,1631.9201,1.1964,334.6549,5746
99,1495.6944,1.2077,331.3249,5713
100,1532.7094,1.2022,333.4515,5718
101,1570.2786,1.2065,332.8770,5746
102,1491.4835,1.2062,332.9930,5723
103,1394.0466,1.2106,332.4787,5671
104,1562.2537,1.2095,335.4381,5759
105,1761.8927,1.1933,334.1766,5792
106,1678.0801,1.2052,333.8979,5815
107,1468.0334,1.2066,332.8813,5690
108,1265.2980,1.2228,332.7135,5636
109,1505.4726,1.2098,332.7189,5754
110,1375.3902,1.2134,332.2396,5686
111,1274.6010,1.2135,332.3858,5607
112,1570.9361,1.2135,332.8320,5769
113,1500.3806,1.2183,332.0783,5729
114,1522.4899,1.2105,332.8825,5728
115,1461.7486,1.2097,331.9640,5713
116,1579.4570,1.1946,333.7600,5748
117,1353.7796,1.2152,332.8634,5640
118,1536.2114,1.2118,332.3780,5736
119,1561.9889,1.2008,333.2654,5758
120,1668.4276,1.2082,332.9896,5808
121,1582.7644,1.2039,332.5864,5730
122,1605.7097,1.2081,333.0972,5761
123,1417.0712,1.2108,333.5404,5678
124,1518.0652,1.2049,333.3503,5735
125,1503.1617,1.2156,332.3041,5726
126,1360.7729,1.2206,332.8148,5693
127,1437.8180,1.2043,332.8145,5698
128,1539.5265,1.2041,331.2687,5725
129,1602.9178,1.2102,332.1524,5792
130,1434.9443,1.2114,332.3883,5697
131,1421.1791,1.2180,332.2084,5691
132,1629.0904,1.2017,331.5872,5775
133,1440.6003,1.2045,332.1747,5728
134,1636.1940,1.2051,332.6532,5787
135,1582.6523,1.2091,332.1608,5762
136,1436.5998,1.2166,331.5752,5716
137,1674.6576,1.1932,333.4403,5761
138,1566.1038,1.1969,332.8283,5726
139,1471.0527,1.2085,331.9300,5710
140,1614.6208,1.1929,335.0791,5762
141,1544.9540,1.1985,333.1569,5679
142,1440.4070,1.2154,333.0058,5711
143,1331.2247,1.2189,332.2915,5703
144,1738.5086,1.2017,333.5993,5821
145,1528.6258,1.1999,332.7939,5721
146,1466.0409,1.2073,333.2937,5696
147,1521.1258,1.2156,331.7583,5733
148,1463.5568,1.2193,332.4067,5740
149,1592.7013,1.2051,333.4551,5744
150,1721.5673,1.1930,334.7241,5796
151,1426.4039,1.2201,332.3880,5691
152,1687.4464,1.2050,333.2845,5801
153,1618.0258,1.2021,332.1034,5774
154,1638.1528,1.2034,332.8450,5776
155,1696.8195,1.2006,331.7377,5814
156,1445.7952,1.2173,330.7403,5716
157,1865.1620,1.1764,333.9866,5821
158,1351.2066,1.2144,331.9981,5670
159,1489.1495,1.2099,331.6913,5707
160,1344.8468,1.2239,331.7490,5677
161,1377.3647,1.2086,332.6074,5689
162,1561.7472,1.2017,332.0344,5759
163,1451.3823,1.2142,332.9554,5707
164,1415.0496,1.2205,332.3940,5712
165,1463.7247,1.2084,332.1931,5704
166,1561.2580,1.2099,332.0639,5743
167,1437.0742,1.2259,332.3604,5702
168,1487.4732,1.2118,332.3064,5721
169,1515.9283,1.1936,335.2479,5703
170,1643.3452,1.2042,333.1099,5764
171,1646.4554,1.1945,334.4290,5761
172,1533.0959,1.2021,332.7095,5754
173,1252.8743,1.2286,331.4561,5647
174,1383.2925,1.2161,333.0728,5671
175,1685.7727,1.1959,334.3367,5799
176,1558.8267,1.1973,332.6593,5721
177,1410.1412,1.2005,332.8540,5654
178,1584.0968,1.1965,334.2127,5782
179,1306.1002,1.2278,332.1490,5664
180,1461.5540,1.2052,333.0225,5734
181,1402.1356,1.2109,332.3438,5724
182,1577.9869,1.2060,333.5954,5743
183,1458.5032,1.2157,331.5104,5743
184,1579.1626,1.2022,333.0155,5751
185,1248.1601,1.2166,332.5802,5594
186,1591.3694,1.2001,334.8844,5775
187,1462.8803,1.1969,334.7955,5722
188,1613.5136,1.1926,332.4102,5772
189,1550.6852,1.2088,333.2676,5744
190,1539.2693,1.2059,333.9117,5742
191,1557.3200,1.1953,335.3155,5756
192,1630.9894,1.1865,334.7330,5741
193,1613.3948,1.2020,334.4149,5779
194,1592.5556,1.2032,335.4775,5769
195,1537.7680,1.2083,333.7203,5736
196,1761.0880,1.2000,332.7747,5838
197,1503.2450,1.2040,332.9218,5736
198,1506.1271,1.2133,331.9684,5722
199,1345.0947,1.2143,332.2218,5657
200,1530.8422,1.2120,330.9179,5766
201,1377.3985,1.2212,330.0584,5703
202,1610.1289,1.2086,332.5198,5785
203,1363.2865,1.2221,331.3582,5662
204,1253.0157,1.2322,332.1449,5653
205,1281.7182,1.2153,333.3876,5660
206,1479.3126,1.2046,333.8114,5720
207,1554.0916,1.2013,334.1341,5725
208,1507.3088,1.2102,332.9522,5709
209,1357.6819,1.2164,331.4031,5650
210,1469.2368,1.2172,331.2879,5715
211,1680.4661,1.1968,334.4679,5760
212,1334.0455,1.2131,333.4189,5639
213,1588.1201,1.1997,332.6448,5758
214,1404.0168,1.2140,332.1788,5679
215,1173.2605,1.2315,331.1184,5611
216,1614.8872,1.2061,333.0575,5741
217,1419.0147,1.2157,331.5146,5702
218,1655.1521,1.2037,332.6433,5800
219,1369.0143,1.2114,331.6170,5693
220,1414.3164,1.2175,331.8847,5695
221,1432.5471,1.2150,331.6141,5739
222,1596.9504,1.1981,332.5256,5759
223,1368.5547,1.2136,331.2853,5670
224,1345.9468,1.2140,332.3598,5660
225,1167.4473,1.2323,332.2021,5598
226,1575.9266,1.2075,331.6139,5758
227,1320.6125,1.2193,331.5830,5658
228,1420.2037,1.2287,332.0830,5719
229,1489.7201,1.2171,331.9832,5731
230,1666.2101,1.1968,331.5192,5753
231,1343.3656,1.2276,331.3353,5673
232,1432.7486,1.2159,333.1137,5701
233,1428.7729,1.2148,332.0138,5727
234,1526.4092,1.2144,331.4205,5744
235,1445.6313,1.2169,332.4634,5732
236,1665.6465,1.1976,334.5531,5801
237,1324.6390,1.2152,331.5639,5677
238,1380.6421,1.2091,330.9399,5674
239,1187.9071,1.2258,331.3473,5606
240,1356.3185,1.2262,331.2577,5713
241,1659.9825,1.1844,334.4272,5732
242,1611.1944,1.1962,332.5911,5766
243,1687.6779,1.1979,332.4483,5771
244,1638.2285,1.2020,332.7912,5804
245,1482.6168,1.2162,331.4785,5742
246,1593.2859,1.2065,332.5834,5765
247,1777.4374,1.1902,332.4651,5830
248,1581.3614,1.2122,331.4320,5753
249,1538.2957,1.2096,333.2950,5724
250,1505.6295,1.2163,331.4069,5748
251,1178.0296,1.2259,331.7725,5605
252,1463.7804,1.2167,331.8175,5704
253,1537.1719,1.2055,332.9108,5757
254,1469.3077,1.2080,332.8939,5690
255,1683.8576,1.1963,333.2935,5785
256,1541.1924,1.2055,332.0264,5754
257,1582.8361,1.2056,333.3357,5698
258,1382.7739,1.2150,331.8038,5697
259,1446.0283,1.2241,332.1550,5727
260,1532.7449,1.1991,332.6009,5734
261,1475.5041,1.2092,332.4174,5698
262,1614.9752,1.2019,333.2421,5790
263,1461.7054,1.2102,332.9072,5702
264,1540.3365,1.2067,332.5501,5740
265,1808.7758,1.1893,333.9588,5844
266,1502.5049,1.2171,332.4664,5725
267,1719.9776,1.2033,334.0128,5855
268,1396.5827,1.2150,333.7648,5692
269,1601.8515,1.2079,332.6180,5752
270,1386.7137,1.2135,332.2071,5692
271,1424.2393,1.2075,333.1293,5702
272,1375.9165,1.2187,333.1368,5659
273,1443.0648,1.2025,333.3624,5706
274,1492.4932,1.2090,331.8618,5714
275,1612.9486,1.1956,334.2360,5752
276,1372.9914,1.2179,333.1952,5687
277,1672.7093,1.1915,334.5079,5761
278,1616.6787,1.1977,334.2071,5744
279,1588.7301,1.2050,333.7212,5757
280,1697.0573,1.2015,332.2919,5802
281,1616.3279,1.2095,332.9438,5782
282,1407.3101,1.2008,334.0898,5648
283,1731.3622,1.1913,333.6840,5777
284,1718.9047,1.1906,334.4851,5805
285,1463.8026,1.2117,333.1583,5682
286,1539.1367,1.2105,332.7836,5730
287,1890.4012,1.1817,333.7902,5863
288,1529.0768,1.2063,332.0281,5756
289,1745.0223,1.2003,332.5934,5806
290,1363.3374,1.2139,331.7937,5678
291,1512.4563,1.1994,333.8952,5718
292,1561.2318,1.2030,334.0506,5760
293,1600.3895,1.1940,334.3526,5755
294,1531.3270,1.2093,332.8821,5738
295,1392.1404,1.2090,332.9834,5673
296,1549.4120,1.2007,333.7462,5733
297,1512.6686,1.2026,332.7214,5729
