ep,reward,delay,energy,succ
0,1453.2220,1.2302,330.0441,5717
1,1184.8881,1.2238,330.6072,5592
2,1372.9335,1.2204,330.5645,5687
3,1376.4407,1.2233,330.2732,5695
4,1622.0426,1.2040,331.7904,5778
5,1649.1710,1.1941,331.2423,5762
6,1440.0427,1.2140,329.8955,5708
7,1500.8521,1.2184,330.5973,5721
8,1423.7863,1.2154,331.0872,5702
9,1450.5470,1.2125,329.7728,5694
10,1368.1990,1.2205,330.6909,5672
11,1301.6222,1.2171,329.7701,5641
12,1450.3147,1.2179,330.4434,5701
13,1383.1411,1.2217,330.4211,5683
14,1559.8153,1.2099,330.2325,5771
15,1290.5834,1.2219,330.7009,5661
16,1468.0629,1.2091,329.9756,5705
17,1512.8791,1.2170,330.2290,5702
18,1526.3200,1.2190,329.3263,5742
19,1490.4558,1.2225,330.2931,5756
20,1364.8147,1.2187,329.6194,5675
21,1471.9528,1.2168,330.4119,5690
22,1578.9194,1.2085,330.5023,5756
23,1540.5359,1.2119,330.9265,5742
24,1568.6547,1.2074,331.6484,5738
25,1564.6798,1.2105,331.0247,5779
26,1475.6924,1.2145,330.0364,5717
27,1334.9957,1.2230,330.0895,5670
28,1461.8463,1.2144,330.8514,5745
29,1553.6604,1.2097,329.9071,5740
30,1489.4159,1.2228,329.3539,5715
31,1523.8263,1.2042,331.6231,5726
32,1502.8681,1.2205,330.4741,5724
33,1257.1699,1.2283,329.9135,5640
34,1166.5260,1.2345,328.9134,5626
35,1586.8267,1.2070,329.5749,5741
36,1600.4549,1.2117,329.7228,5791
37,1454.1009,1.2127,331.8511,5746
38,1426.3587,1.2114,330.3072,5717
39,1377.5135,1.2205,329.5295,5717
40,1421.9887,1.2156,331.1632,5699
41,1509.0257,1.2062,330.7989,5731
42,1456.2206,1.2082,331.4003,5719
43,1419.3670,1.2193,330.7190,5707
44,1618.0858,1.1984,332.4414,5756
45,1604.8020,1.2043,330.5712,5767
46,1348.7983,1.2225,329.5114,5648
47,1480.1960,1.2141,330.6432,5685
48,1479.4686,1.2119,328.5189,5742
49,1283.9807,1.2230,329.4946,5650
50,1289.1294,1.2242,330.0243,5646
51,1631.2534,1.2001,329.6660,5754
52,1572.1120,1.2144,330.1607,5738
53,1457.0130,1.2233,329.6650,5721
54,1495.9117,1.2195,330.9631,5733
55,1433.1365,1.2258,329.7073,5706
56,1413.5453,1.2093,331.1193,5671
57,1541.7004,1.2057,332.6283,5743
58,1596.4200,1.2196,329.9542,5783
59,1602.4430,1.2004,331.0992,5736
60,1692.6812,1.2048,330.8913,5820
61,1529.9866,1.2012,328.7054,5749
62,1442.0850,1.2107,329.6884,5699
63,1546.2914,1.2053,330.6695,5740
64,1592.3134,1.2057,330.7899,5749
65,1602.9755,1.2091,331.4598,5768
66,1396.5662,1.2209,329.9465,5704
67,1453.5477,1.2178,329.5022,5702
68,1326.0676,1.2289,326.3745,5662
69,1292.5046,1.2142,332.2074,5642
70,1474.0812,1.2112,329.4821,5709
71,1388.3418,1.2148,327.1739,5723
72,1510.1049,1.2080,329.3558,5735
73,1309.4827,1.2149,329.4301,5647
74,1400.9893,1.2172,331.3062,5703
75,1574.0528,1.2048,332.1282,5752
76,1503.7074,1.2047,330.6631,5731
77,1392.1798,1.2157,330.6979,5694
78,1424.4031,1.2088,329.4964,5699
79,1506.5911,1.2079,330.3106,5698
80,1533.3094,1.2047,329.5469,5738
81,1535.2771,1.2038,331.7085,5742
82,1278.8707,1.2132,332.0676,5643
83,1619.4663,1.2066,329.4666,5802
84,1431.8085,1.2170,329.5580,5696
85,1458.8086,1.2041,329.9773,5717
86,1448.1278,1.2156,328.7902,5703
87,1423.7293,1.2068,332.8859,5680
88,1619.8016,1.2021,330.4086,5773
89,1515.2518,1.2163,327.2726,5731
90,1420.2506,1.2295,327.6229,5732
91,1643.0304,1.1999,330.3598,5753
92,1761.2107,1.1961,331.6632,5818
93,1638.7751,1.2066,329.6012,5756
94,1466.1132,1.2099,328.7716,5729
95,1412.1048,1.2197,329.5434,5692
96,1472.9958,1.2085,330.7398,5702
97,1537.9047,1.2053,327.6292,5723
98,1549.7532,1.2071,329.0738,5762
99,1797.4210,1.1913,330.8414,5839
100,1362.7582,1.2122,329.4976,5668
101,1629.3895,1.2001,329.4464,5767
102,1563.3147,1.1998,331.2521,5737
103,1651.5457,1.1943,331.5794,5774
104,1512.9818,1.2021,328.3794,5706
105,1294.3125,1.2238,329.5493,5700
106,1639.5924,1.1936,332.7783,5727
107,1608.3554,1.2037,330.8528,5753
108,1547.9194,1.2049,332.0054,5741
109,1465.5574,1.2144,329.7842,5705
110,1694.9560,1.1990,332.0590,5766
111,1351.1999,1.2152,330.0382,5677
112,1549.4836,1.1961,332.2036,5729
113,1641.5031,1.2046,329.1390,5787
114,1454.6143,1.2065,331.0690,5724
115,1632.6896,1.1899,333.5020,5764
116,1521.0654,1.2090,328.9558,5726
117,1540.6763,1.2161,329.7669,5767
118,1840.5129,1.1932,331.8243,5845
119,1674.1903,1.1950,331.2300,5774
120,1361.7778,1.2160,327.8805,5670
121,1505.8319,1.2117,327.4039,5742
122,1952.7907,1.1744,329.5377,5882
123,1691.0501,1.1943,330.1567,5797
124,1528.4058,1.2046,329.9901,5741
125,1436.5498,1.2103,328.1807,5698
126,1583.4045,1.2023,329.9440,5720
127,1487.6284,1.2137,329.4925,5724
128,1573.4059,1.1879,329.4511,5726
129,1243.6520,1.2240,330.0401,5637
130,1409.6995,1.2149,328.6785,5713
131,1437.1054,1.2132,327.0916,5691
132,1742.2356,1.1826,330.0291,5778
133,1523.4944,1.2106,330.3417,5732
134,1545.9736,1.2047,330.4496,5729
135,1508.5573,1.1989,330.2915,5731
136,1497.6422,1.2075,330.1310,5739
137,1574.5097,1.2026,329.7951,5751
138,1348.9236,1.2181,328.7286,5659
139,1225.3610,1.2227,330.1809,5624
140,1441.8374,1.2109,328.3542,5689
141,1268.2162,1.2270,327.8451,5623
142,1499.1198,1.1980,333.6937,5724
143,1635.8093,1.1994,328.8760,5772
144,1532.3389,1.2076,330.5269,5710
145,1721.4186,1.1930,328.4431,5785
146,1645.4898,1.2119,329.5039,5764
147,1347.7965,1.2215,328.7904,5669
148,1351.9167,1.2223,329.2714,5653
149,1681.8689,1.1868,332.2830,5777
150,1428.5067,1.2161,331.6300,5707
151,1628.4476,1.1881,332.5122,5769
152,1648.5163,1.1981,327.8542,5776
153,1440.1834,1.2175,328.9039,5717
154,1668.7110,1.1997,328.8021,5771
155,1660.6879,1.1951,332.1237,5740
156,1406.0719,1.2100,331.8376,5727
157,1615.4964,1.2067,329.7627,5749
158,1466.4320,1.2120,333.7015,5743
159,1792.2055,1.1861,329.4498,5824
160,1567.2850,1.2081,330.7267,5722
161,1614.4559,1.1934,335.5618,5802
162,1743.3853,1.1938,333.3581,5812
163,1550.5102,1.2162,328.6902,5771
164,1837.0707,1.1903,330.1622,5861
165,1788.4530,1.1911,333.9055,5836
166,1589.3757,1.2034,330.3504,5747
167,1324.0529,1.2245,330.7724,5694
168,1369.9525,1.2181,328.0066,5698
169,1476.7974,1.2125,331.1909,5752
170,1709.0767,1.1921,330.4301,5790
171,1425.4624,1.2103,330.4367,5709
172,1525.2974,1.2170,329.8888,5770
173,1573.5414,1.2016,330.4203,5729
174,1666.9989,1.1960,329.6525,5781
175,1402.9505,1.2148,331.7054,5681
176,1422.1321,1.2131,326.4548,5680
177,1772.5493,1.1902,332.7756,5831
178,1678.7747,1.1924,331.9613,5800
179,1479.8399,1.2056,329.9135,5741
180,1338.8499,1.2222,327.6687,5665
181,1483.3729,1.2099,330.6882,5728
182,1682.7747,1.1978,331.7672,5773
183,1529.8104,1.2137,333.5296,5735
184,1707.2841,1.2032,326.3502,5795
185,1627.8431,1.2025,332.1526,5756
186,1695.0292,1.1991,330.1390,5782
187,1500.1617,1.2081,330.5455,5687
188,1505.8454,1.2052,329.9693,5726
189,1727.9798,1.1988,330.7851,5834
190,1628.0767,1.1962,330.1505,5771
191,1556.7406,1.1957,329.5893,5726
192,1700.7536,1.1993,329.2470,5808
193,1662.2825,1.1955,329.3025,5805
194,1407.0430,1.2218,326.6801,5693
195,1519.8021,1.2044,327.9068,5734
196,1393.7539,1.2104,329.6737,5680
197,1381.0721,1.2181,330.4043,5678
198,1475.3433,1.2016,330.6020,5728
199,1431.9646,1.2160,332.5043,5693
200,1339.2136,1.2197,329.9379,5683
201,1555.5097,1.1993,328.8744,5739
202,1637.9544,1.1912,329.0720,5764
203,1458.0608,1.2083,330.0961,5686
204,1695.6846,1.1936,330.4091,5783
205,1520.6962,1.2067,328.3493,5702
206,1587.4023,1.2046,332.2910,5781
207,1463.0612,1.2053,329.4566,5707
208,1347.4335,1.2175,332.3487,5675
209,1554.8033,1.1991,329.5718,5758
210,1779.9643,1.1925,330.7750,5836
211,1498.0106,1.2117,331.9888,5727
212,1793.2644,1.1945,330.3720,5805
213,1566.3022,1.2025,332.0415,5756
214,1652.2961,1.2012,333.7573,5767
215,1460.3046,1.2048,329.4182,5691
216,1604.1828,1.2008,332.1368,5762
217,1458.1849,1.2055,330.7033,5686
218,1408.5002,1.2144,331.7054,5705
219,1724.5484,1.1873,332.1400,5796
220,1575.4062,1.1945,329.6656,5709
221,1390.9865,1.1958,330.0350,5648
222,1494.3194,1.2079,328.8231,5707
223,1363.2690,1.2111,329.2129,5672
224,1434.5670,1.2181,329.8315,5705
225,1577.9624,1.2055,329.6864,5744
226,1516.2233,1.2011,332.6346,5711
227,1551.5316,1.1990,329.0694,5698
228,1640.8173,1.1827,329.8760,5758
229,1493.4408,1.2118,329.5671,5732
230,1695.4444,1.1929,331.8061,5793
231,1744.4038,1.1875,331.6041,5764
232,1302.8077,1.2096,328.5746,5673
233,1530.2384,1.2135,331.0829,5742
234,1631.7550,1.2103,332.4463,5771
235,1723.6973,1.1979,330.7538,5820
236,1387.2518,1.2094,327.7456,5678
237,1576.7695,1.1967,329.5561,5732
238,1521.5012,1.2075,329.3520,5711
239,1781.1870,1.1847,332.9241,5794
240,1867.1861,1.1840,332.9540,5856
241,1413.9339,1.2177,330.5279,5687
242,1380.6305,1.2059,330.7537,5716
243,1482.1886,1.2109,329.4760,5730
244,1636.1879,1.2094,330.1757,5798
245,1456.8471,1.2095,328.3823,5691
246,1573.2265,1.2020,333.1123,5765
247,1523.3141,1.2268,326.1121,5762
248,1721.0725,1.1897,328.4095,5786
249,1533.1254,1.2025,331.9298,5728
250,1729.3184,1.1825,329.8070,5787
251,1454.2624,1.2040,329.4877,5694
252,1562.0405,1.2067,329.3587,5759
253,1386.7919,1.2214,327.8017,5659
254,1541.2781,1.2152,331.1273,5731
255,1536.6793,1.2111,327.0216,5738
256,1558.9694,1.2091,332.6028,5783
257,1654.5705,1.2025,329.7632,5782
258,1489.1428,1.2142,327.9500,5766
259,1350.1070,1.2169,328.3602,5691
260,1503.6929,1.2081,329.2261,5741
261,1745.9805,1.1972,329.3407,5800
262,1328.5405,1.2160,328.3184,5637
263,1690.4240,1.1833,332.9639,5767
264,1625.1705,1.1987,331.5075,5768
