ep,reward,delay,energy,succ
0,1155.4413,1.2360,327.4962,5606
1,1377.3958,1.2363,328.0833,5710
2,1239.5214,1.2359,327.8151,5673
3,1303.4877,1.2298,328.0766,5651
4,1118.6307,1.2407,327.6323,5612
5,1009.9365,1.2430,327.6818,5560
6,1250.8886,1.2370,328.0502,5647
7,1127.8666,1.2463,327.6570,5629
8,1159.4595,1.2341,327.9505,5602
9,1324.2969,1.2361,328.6121,5701
10,1145.9870,1.2403,328.2387,5632
11,1442.3187,1.2371,328.5243,5709
12,1262.0850,1.2376,327.4220,5671
13,1184.4884,1.2282,328.5898,5584
14,1316.5151,1.2334,328.2002,5667
15,1300.0721,1.2344,327.9733,5651
16,1335.7326,1.2369,327.4738,5717
17,1158.0413,1.2456,327.3871,5636
18,1189.7148,1.2457,327.6847,5617
19,1012.7687,1.2441,327.4836,5555
20,1444.8056,1.2278,328.2188,5724
21,1166.8804,1.2322,327.6723,5623
22,1407.6812,1.2395,327.9815,5727
23,1241.3944,1.2345,327.6490,5662
24,1339.0439,1.2349,328.1795,5697
25,1317.1381,1.2488,328.1634,5719
26,1302.8531,1.2348,328.6696,5701
27,1224.6843,1.2371,328.3561,5663
28,1435.2439,1.2390,327.8053,5699
29,1184.4031,1.2439,327.6966,5633
30,1203.7899,1.2427,327.6309,5635
31,1437.4468,1.2274,327.7665,5713
32,1330.2922,1.2387,328.1507,5711
33,1241.6413,1.2285,327.9473,5652
34,1414.7449,1.2356,328.0878,5744
35,1142.9045,1.2403,328.1837,5601
36,1271.5621,1.2395,327.6922,5660
37,1135.0292,1.2507,327.1206,5618
38,1064.8578,1.2496,327.6065,5591
39,1096.8213,1.2412,327.4768,5593
40,1315.1327,1.2360,327.9434,5680
41,1084.7593,1.2428,326.9134,5596
42,1306.7418,1.2360,327.3352,5690
43,1339.8560,1.2376,327.5458,5728
44,1147.0652,1.2382,328.0795,5615
45,1415.3408,1.2379,327.3925,5719
46,1452.3923,1.2232,328.0823,5724
47,1304.6799,1.2357,327.8833,5662
48,1079.6307,1.2395,328.1593,5589
49,1225.1295,1.2434,327.2644,5655
50,1473.9176,1.2278,328.0247,5713
51,1203.5426,1.2370,327.5418,5643
52,1213.1998,1.2340,328.1483,5657
53,1396.4819,1.2347,328.4304,5716
54,1180.1964,1.2402,327.2860,5623
55,1209.0019,1.2364,328.1633,5634
