ep,reward,delay,energy,succ
0,1289.3258,1.2258,327.4948,5652
1,1240.2648,1.2394,327.0301,5651
2,1454.1572,1.2338,328.2000,5739
3,1201.7143,1.2312,328.2781,5620
4,1467.0171,1.2276,328.8970,5729
5,1427.1962,1.2313,328.6983,5735
6,1260.3176,1.2301,329.2657,5674
7,1231.7997,1.2367,329.9396,5633
8,1183.5878,1.2411,330.9232,5650
9,928.0039,1.2431,330.2527,5533
10,1139.8500,1.2401,329.3021,5624
11,1523.4344,1.2230,329.9540,5739
12,1227.4675,1.2319,330.1501,5644
13,1246.5690,1.2506,330.0231,5684
14,1277.1491,1.2277,329.7678,5663
15,1145.7020,1.2312,329.3619,5584
16,1466.6730,1.2210,329.8614,5715
17,1253.3424,1.2428,329.6942,5645
18,1192.4667,1.2335,329.9822,5638
19,1277.6733,1.2383,329.9518,5657
20,1398.4231,1.2353,327.8609,5726
21,1209.4320,1.2359,329.2318,5625
22,1381.0193,1.2287,329.4287,5698
23,1223.3498,1.2395,330.3865,5641
24,1198.6256,1.2317,330.6759,5636
25,1304.4171,1.2388,331.2607,5686
26,1405.0648,1.2233,331.3093,5683
27,1234.7042,1.2337,330.0906,5671
28,1305.0662,1.2383,329.9380,5720
29,1237.0702,1.2527,328.7394,5673
30,1386.9087,1.2339,330.2500,5720
31,1427.0974,1.2238,332.3637,5715
32,1291.4942,1.2386,330.1677,5694
33,1117.7647,1.2452,329.1102,5610
34,1304.3095,1.2338,331.4578,5683
35,1143.6962,1.2385,329.9434,5599
36,1301.1749,1.2303,330.5860,5691
37,1561.7443,1.2150,331.2224,5764
38,1068.6918,1.2404,331.9724,5592
39,1333.4507,1.2330,331.9988,5680
40,1264.5457,1.2312,332.3528,5663
41,1469.4776,1.2266,331.0136,5743
42,1555.4052,1.2223,330.6888,5754
43,1233.8649,1.2399,329.1453,5645
44,1247.0994,1.2347,330.7109,5620
45,1191.8477,1.2320,332.1176,5626
46,1256.5228,1.2306,330.2837,5670
47,1235.5337,1.2292,330.3119,5658
48,1132.0778,1.2377,330.5964,5622
49,1380.0722,1.2253,332.7174,5734
50,1414.1066,1.2321,330.5589,5743
51,1112.3019,1.2417,331.3108,5598
52,1177.0292,1.2407,328.4059,5625
53,1246.9648,1.2258,329.6165,5631
54,1312.7666,1.2325,330.2049,5664
55,1223.5178,1.2332,332.7549,5658
56,1364.3665,1.2304,329.5326,5689
57,1356.6922,1.2249,331.0855,5676
58,1230.6785,1.2261,331.9980,5652
59,1263.1964,1.2412,330.0835,5682
60,1382.0398,1.2224,329.5529,5711
61,1253.3062,1.2380,330.0344,5673
62,1421.1839,1.2221,330.8141,5711
63,1179.2120,1.2366,330.9119,5600
64,1343.4727,1.2303,331.4628,5676
65,1334.7537,1.2257,331.4551,5685
66,1301.9436,1.2279,330.1141,5656
67,1003.9425,1.2378,329.9320,5569
68,1404.9153,1.2195,330.7855,5724
69,1303.4624,1.2309,332.3791,5636
70,1233.3852,1.2330,330.7328,5619
71,1264.2800,1.2356,331.8374,5697
72,1334.3521,1.2266,331.4437,5684
73,1461.7598,1.2171,332.7732,5679
74,1558.5299,1.2196,332.4066,5781
75,1323.8687,1.2300,330.2639,5681
76,1203.4329,1.2341,328.6373,5633
77,1178.6151,1.2330,332.8281,5607
78,1246.9043,1.2317,331.3686,5636
79,1392.5413,1.2189,332.4490,5695
80,1324.2487,1.2334,329.4799,5679
81,1333.4822,1.2319,332.1936,5659
82,1330.2567,1.2342,330.9886,5684
83,1293.1198,1.2244,331.8534,5646
84,1298.8033,1.2284,329.7300,5662
85,1354.9723,1.2294,330.1662,5679
86,1429.4658,1.2240,331.4694,5694
87,1203.5406,1.2384,329.7197,5647
88,1468.9668,1.2222,331.8340,5724
89,1328.4976,1.2264,331.5444,5668
90,1100.0214,1.2494,329.8330,5609
91,1286.3458,1.2461,330.6584,5660
92,1135.7307,1.2445,330.1210,5601
93,1149.8280,1.2396,331.3672,5610
94,1365.8194,1.2242,330.4641,5710
95,1509.8092,1.2228,331.8016,5758
96,1336.0487,1.2204,330.4426,5669
97,1437.0830,1.2303,330.1316,5736
98,1247.4603,1.2358,331.4465,5627
99,1325.1783,1.2299,331.7021,5692
100,1398.7546,1.2217,333.2690,5698
101,1403.1234,1.2335,331.1240,5711
102,1367.7464,1.2266,329.4954,5687
103,1193.1896,1.2283,332.3907,5633
104,1029.7884,1.2301,334.4653,5561
105,1450.4760,1.2212,334.4077,5726
106,1236.7030,1.2296,330.3651,5644
107,1299.9713,1.2276,332.3062,5676
108,1483.7919,1.2149,332.3996,5756
109,1287.6068,1.2272,331.0417,5697
110,1366.3499,1.2267,333.1359,5727
111,1539.2025,1.2220,334.3481,5794
112,1261.5598,1.2261,334.0913,5623
113,1312.6526,1.2279,332.8334,5658
114,1233.5392,1.2357,332.6108,5653
115,1342.7204,1.2228,332.5518,5681
116,1344.5625,1.2162,332.7932,5715
117,942.4110,1.2441,332.2191,5514
118,1309.8587,1.2240,333.7241,5653
119,1381.6890,1.2259,331.4671,5699
120,1236.9887,1.2278,332.9828,5631
121,1321.3458,1.2338,331.7995,5683
122,1396.2526,1.2176,332.8085,5708
123,1310.3706,1.2331,331.3374,5690
124,1296.8245,1.2287,333.3136,5666
125,1519.2833,1.2223,333.3031,5763
126,1511.5451,1.2218,333.5175,5756
127,1205.5073,1.2303,332.1021,5643
128,1233.6000,1.2327,333.7953,5654
129,1214.7831,1.2414,332.3074,5642
130,1382.4053,1.2168,333.2454,5695
131,1312.1479,1.2383,332.1543,5709
132,1626.4207,1.2195,333.5672,5756
133,1462.2703,1.2193,331.9311,5724
134,1451.6669,1.2234,333.3652,5737
135,1363.0457,1.2188,333.0952,5663
136,1424.7870,1.2312,333.6918,5720
137,1226.7477,1.2253,333.9299,5640
138,1505.1139,1.2240,332.7079,5753
139,1605.2051,1.2131,334.7112,5798
140,1373.4109,1.2278,332.5446,5674
141,1418.6953,1.2238,333.1527,5719
142,1217.2260,1.2258,334.5006,5620
143,1331.0120,1.2333,332.9748,5699
144,1451.2597,1.2222,333.7988,5741
145,1313.7291,1.2306,331.9580,5654
146,1208.3152,1.2333,333.3423,5642
147,1395.2006,1.2220,332.8494,5696
148,1301.3950,1.2210,333.5615,5643
149,1333.2103,1.2280,331.6814,5685
150,1262.6410,1.2283,332.5341,5645
151,1546.8644,1.2188,335.1870,5790
152,1317.5266,1.2219,332.4530,5652
153,1363.9188,1.2105,334.9120,5683
154,1312.8165,1.2260,332.8956,5681
155,1404.1180,1.2176,333.0829,5703
156,1449.3697,1.2239,330.4880,5720
157,1232.5064,1.2246,333.6588,5626
158,1238.8387,1.2175,333.4860,5639
159,1568.2161,1.2090,333.2122,5782
160,1439.6352,1.2227,334.4118,5730
161,1641.6725,1.2194,331.8791,5805
162,1677.0472,1.2145,332.4956,5834
163,1254.6524,1.2307,332.2155,5640
164,1251.9361,1.2221,331.0543,5637
165,1343.7177,1.2323,331.7288,5699
166,1241.0849,1.2239,334.0616,5653
167,1260.8090,1.2301,333.0322,5640
168,1519.5185,1.2167,333.3366,5748
169,1341.0059,1.2150,333.7557,5661
170,1356.4722,1.2260,329.7943,5658
171,1341.0175,1.2280,332.8797,5702
172,1165.0989,1.2376,332.1689,5635
173,1345.2038,1.2315,330.2913,5691
174,1195.0437,1.2345,329.2321,5633
175,1492.1785,1.2186,333.3430,5771
176,1269.3612,1.2330,330.4030,5664
177,1390.4945,1.2142,335.4483,5697
178,1413.5162,1.2220,333.0791,5701
179,1327.2819,1.2284,333.4778,5691
180,1328.8378,1.2315,328.2451,5669
181,1346.2108,1.2232,331.8541,5685
182,1420.3281,1.2200,333.2283,5707
183,1179.9212,1.2257,331.9808,5584
184,1387.9686,1.2212,331.4627,5687
185,1346.7050,1.2168,333.1058,5659
186,1371.2278,1.2250,332.8751,5688
187,1320.1858,1.2296,330.7511,5659
188,1358.3672,1.2268,332.8031,5680
189,1278.2121,1.2294,332.0328,5664
190,1366.1397,1.2242,330.7172,5677
191,1431.6618,1.2110,331.6926,5685
192,1419.8662,1.2327,330.9522,5733
193,1487.0187,1.2197,332.1742,5745
194,1394.8901,1.2163,334.1259,5723
195,1454.7691,1.2155,332.3885,5738
196,1384.0946,1.2198,333.4513,5711
197,1307.5465,1.2305,332.3490,5664
198,1319.7769,1.2171,328.8213,5652
199,1253.5263,1.2265,333.0642,5663
200,1332.5825,1.2310,332.7147,5699
201,1246.2392,1.2222,332.8429,5644
202,1304.3691,1.2220,332.8024,5665
203,1342.1824,1.2126,333.6777,5656
204,1362.5512,1.2246,330.6721,5690
205,1464.7312,1.2232,333.0802,5730
206,1326.7794,1.2245,331.9092,5703
207,1193.7468,1.2236,333.6769,5615
208,1330.0589,1.2275,333.9286,5638
209,1307.1361,1.2267,332.3709,5648
210,1293.9535,1.2198,334.8676,5656
211,1455.4040,1.2030,332.1024,5685
212,1276.0388,1.2336,334.4267,5671
213,1360.1165,1.2254,331.2036,5687
214,1246.3368,1.2285,331.8753,5646
215,1256.6992,1.2259,330.7815,5650
216,1202.4202,1.2275,335.3528,5649
217,1468.3668,1.2168,333.8747,5708
218,1380.6849,1.2280,333.9543,5707
219,1269.7088,1.2335,333.2533,5643
220,1290.1275,1.2197,332.8760,5652
221,1589.2330,1.2087,335.3410,5768
222,1543.2336,1.2193,331.8207,5779
223,1353.1265,1.2286,333.2124,5677
224,1355.0084,1.2202,333.9034,5674
225,1386.1774,1.2257,334.2023,5692
226,1100.2827,1.2360,331.5051,5587
227,1355.2666,1.2240,333.8729,5696
228,1473.5339,1.2184,334.1328,5742
229,1053.5346,1.2390,328.5422,5557
230,1463.4856,1.2147,332.8611,5736
231,1412.5761,1.2196,331.0021,5681
232,1335.1089,1.2354,329.8438,5691
233,1372.8858,1.2263,329.8045,5675
234,1342.7369,1.2203,332.1678,5680
235,1443.4487,1.2198,331.8108,5725
236,1308.8056,1.2302,333.3353,5665
237,1405.4318,1.2207,330.4498,5695
238,1336.0569,1.2227,333.8402,5686
239,1425.1714,1.2113,334.7834,5703
240,1358.4578,1.2226,329.7176,5698
241,1168.8712,1.2272,334.0208,5582
242,1249.7935,1.2262,329.7645,5658
243,1456.8912,1.2113,331.2066,5720
244,1412.9521,1.2150,333.8968,5695
245,1325.8031,1.2261,331.9510,5673
246,1308.8993,1.2286,332.7097,5674
247,1519.4456,1.2140,329.0997,5742
248,1571.3129,1.2209,329.0705,5791
249,1414.3670,1.2124,333.7235,5702
250,1370.9034,1.2149,331.6315,5691
251,1312.3595,1.2240,334.1638,5661
252,1637.4026,1.2062,333.2419,5786
253,1398.3040,1.2173,330.2180,5689
254,1391.9336,1.2206,328.7598,5703
255,1278.8652,1.2258,328.1752,5668
256,1416.4242,1.2188,331.6236,5717
257,1413.2017,1.2211,333.8965,5732
258,1322.0107,1.2213,331.8435,5655
259,1638.5766,1.2111,330.7349,5790
260,1394.2689,1.2232,332.6145,5719
261,1372.3962,1.2269,332.4355,5677
262,1436.5211,1.2186,332.3176,5718
263,1575.8614,1.2091,334.4204,5751
264,1323.5697,1.2211,330.8047,5648
265,1284.3717,1.2287,330.5045,5662
266,1523.9421,1.2219,332.1892,5744
267,1301.5606,1.2309,333.4682,5664
268,1395.5550,1.2180,331.9731,5710
269,1553.1649,1.2130,329.1998,5762
270,1533.1549,1.2224,332.8423,5725
271,1272.4772,1.2258,328.8419,5644
272,1555.5220,1.2201,329.8339,5763
273,1371.1709,1.2121,329.7243,5668
274,1412.8559,1.2196,332.5406,5708
275,1691.4512,1.2015,329.4505,5790
276,1508.7344,1.2103,334.1961,5742
277,1440.1467,1.2221,333.3741,5754
278,1522.8771,1.2074,334.7939,5733
279,1510.9953,1.2145,329.8142,5747
280,1569.2625,1.2079,330.6544,5732
281,1632.1595,1.2136,333.0315,5801
282,1294.4270,1.2361,331.0098,5698
283,1484.6297,1.2200,331.2407,5716
284,1383.8621,1.2172,334.8056,5692
285,1322.7590,1.2221,334.1479,5669
286,1364.2116,1.2271,327.5249,5668
287,1374.7344,1.2236,328.9033,5707
288,1380.9752,1.2221,331.7616,5712
289,1262.0087,1.2337,333.4592,5617
290,1280.9073,1.2225,333.3342,5666
291,1436.3343,1.2180,332.5237,5707
292,1490.1870,1.2152,332.2304,5735
293,1475.7006,1.2165,332.9444,5731
294,1421.2303,1.2248,332.3536,5698
295,1329.3395,1.2266,332.2667,5699
296,1249.6245,1.2367,331.7526,5680
297,1224.8976,1.2277,332.7475,5624
298,1444.7591,1.2111,332.6328,5731
299,1317.7191,1.2242,332.8588,5692
300,1527.0452,1.2133,330.1950,5734
301,1394.8590,1.2243,332.5457,5722
302,1480.0726,1.2120,331.0248,5716
303,1075.6976,1.2280,333.1700,5584
304,1218.5264,1.2365,332.1020,5627
305,1305.0138,1.2220,330.6635,5654
306,1394.3228,1.2162,332.1490,5675
307,1240.5450,1.2347,331.6461,5673
308,1444.2244,1.2272,332.6474,5700
309,1359.8539,1.2233,332.1724,5714
310,1383.5877,1.2204,331.0085,5658
311,1279.0479,1.2246,334.2814,5649
312,1728.5490,1.1951,332.2806,5814
313,1554.0984,1.2133,330.9381,5748
