ep,reward,delay,energy,succ
0,-1738.0856,1.2173,332.4909,4148
1,-1605.3172,1.1751,339.6156,4404
2,-1599.6742,1.1760,336.9940,4436
3,-1717.3911,1.2143,331.9210,4220
4,-1706.4000,1.2074,333.7812,4210
5,-1571.1869,1.1638,343.1208,4468
6,-1581.6623,1.1680,340.9435,4454
7,-1529.5922,1.1498,341.6460,4533
8,-1644.6752,1.1845,337.8881,4297
9,-1654.9758,1.1908,337.7174,4309
10,-1496.9928,1.1400,345.2222,4605
11,-1443.9097,1.1208,345.8915,4680
12,-1582.6760,1.1687,339.8754,4453
13,-1695.6813,1.2057,332.8893,4244
14,-1560.1710,1.1625,342.5428,4509
15,-1690.3217,1.2034,335.1726,4253
16,-1730.2821,1.2175,332.9078,4189
17,-1561.3378,1.1591,340.5058,4465
18,-1652.7297,1.1911,333.9849,4315
19,-1601.9448,1.1738,338.3527,4405
20,-1615.7426,1.1774,337.5934,4370
21,-1687.4189,1.1991,338.5316,4231
22,-1531.3650,1.1501,339.5631,4523
23,-1629.1725,1.1860,338.0960,4390
24,-1576.3539,1.1661,337.2026,4454
25,-1762.0076,1.2298,328.6170,4145
26,-1594.8482,1.1656,338.5274,4359
27,-1786.1314,1.2347,329.9579,4076
28,-1585.5947,1.1695,341.0217,4449
29,-1683.8097,1.1990,336.6790,4244
30,-1636.2312,1.1876,335.4526,4366
31,-1671.1610,1.1960,335.5802,4275
32,-1486.9127,1.1394,342.8905,4645
33,-1671.1000,1.2006,334.3812,4319
34,-1633.0101,1.1865,332.2705,4364
35,-1563.2622,1.1584,340.0539,4448
36,-1612.8101,1.1791,339.7704,4406
37,-1484.2430,1.1349,343.9625,4616
38,-1639.5641,1.1816,338.3552,4295
39,-1497.2094,1.1431,343.4256,4632
40,-1613.5188,1.1734,337.4742,4341
41,-1603.1252,1.1757,337.4349,4416
42,-1639.2649,1.1805,338.3786,4285
43,-1579.3114,1.1703,339.9060,4486
44,-1611.9844,1.1798,338.4424,4415
45,-1720.3777,1.2111,329.9861,4169
46,-1591.4857,1.1707,340.5440,4431
47,-1690.2978,1.2035,331.1766,4246
48,-1638.7009,1.1856,338.2223,4339
49,-1728.8325,1.2190,329.3473,4205
50,-1675.2198,1.1998,335.3978,4293
51,-1671.8813,1.1973,333.3614,4280
52,-1575.6253,1.1670,339.6187,4471
53,-1579.1370,1.1648,340.3266,4433
54,-1738.3801,1.2188,332.5623,4161
55,-1719.7512,1.2128,334.1059,4197
56,-1754.9873,1.2254,332.1341,4143
57,-1599.7791,1.1741,338.5313,4419
58,-1617.7911,1.1801,337.2902,4387
59,-1562.3636,1.1614,340.5137,4483
60,-1562.1684,1.1602,343.4929,4478
61,-1550.6735,1.1611,339.4117,4536
62,-1608.3521,1.1787,335.3167,4416
63,-1544.2913,1.1546,342.8685,4510
64,-1609.2371,1.1730,340.3348,4364
65,-1698.0180,1.2057,333.1360,4233
66,-1479.1410,1.1350,345.1682,4645
67,-1696.4300,1.2084,335.2366,4272
68,-1613.3551,1.1769,337.5404,4377
69,-1681.5178,1.2036,329.2567,4287
70,-1502.6129,1.1396,342.2687,4567
71,-1615.1949,1.1795,340.5506,4400
72,-1632.5414,1.1843,337.1041,4355
73,-1712.0758,1.2096,333.8799,4203
74,-1710.5316,1.2090,332.1220,4202
75,-1621.3464,1.1859,335.7867,4424
76,-1591.7865,1.1699,336.9524,4414
77,-1583.6049,1.1695,336.3406,4450
78,-1666.0390,1.1959,332.9567,4295
79,-1589.4413,1.1729,337.8176,4457
80,-1651.3586,1.1878,335.4906,4292
81,-1649.1995,1.1926,333.6987,4347
82,-1648.0352,1.1879,336.5653,4312
83,-1517.5500,1.1500,338.5668,4589
84,-1714.3590,1.2092,331.5578,4183
85,-1666.5719,1.1990,334.7365,4327
86,-1630.4832,1.1858,337.2384,4380
87,-1615.3294,1.1837,336.0344,4432
88,-1565.6546,1.1613,339.1528,4463
89,-1525.7453,1.1522,343.8594,4581
90,-1611.0882,1.1768,337.9787,4389
91,-1615.1173,1.1786,339.6551,4390
92,-1610.7245,1.1756,336.1186,4375
93,-1624.5545,1.1820,339.4711,4376
94,-1633.0502,1.1843,336.8221,4351
95,-1610.4342,1.1762,339.4499,4389
96,-1636.7222,1.1873,336.3973,4362
97,-1596.6589,1.1689,339.3539,4384
98,-1594.4490,1.1743,338.0602,4447
99,-1636.8484,1.1847,335.5302,4334
100,-1615.6830,1.1851,337.2331,4447
101,-1714.2713,1.2071,333.8388,4167
102,-1656.0367,1.1893,339.0689,4291
103,-1658.0704,1.1911,338.2917,4297
104,-1761.8731,1.2269,330.8355,4121
105,-1636.3940,1.1858,336.6391,4349
106,-1607.7316,1.1741,340.3837,4383
107,-1519.1623,1.1501,345.9874,4597
108,-1689.9754,1.2049,335.0614,4269
