ep,reward,delay,energy,succ
0,4772.8293,1.2324,328.1226,4111
1,4662.6785,1.2346,328.0441,4058
2,4570.8229,1.2414,326.8123,4017
3,4759.3796,1.2339,326.9372,4104
4,4578.3584,1.2317,327.3984,4012
5,5450.8260,1.1641,342.9897,4404
6,5565.3374,1.1519,340.3142,4445
7,5037.7856,1.2160,329.4147,4229
8,5283.1992,1.1768,335.0529,4321
9,5366.6509,1.1789,335.1897,4365
10,6118.3077,1.1185,341.5781,4690
11,6135.2810,1.1052,347.4471,4694
12,6096.4331,1.1058,352.0057,4682
13,6539.3177,1.0721,351.4809,4869
14,6272.5620,1.0938,349.3023,4754
15,5557.3277,1.1588,343.0444,4452
16,5738.0098,1.1448,342.7995,4528
17,6235.8298,1.0981,347.2965,4737
18,5563.5699,1.1668,341.5851,4461
19,6244.4528,1.1052,347.0269,4748
20,5719.3604,1.1478,341.7082,4520
21,6177.2217,1.1030,348.2378,4714
22,6584.6430,1.0718,353.8975,4895
23,6077.9525,1.1091,345.9520,4667
24,5703.5133,1.1521,342.7624,4518
25,6504.2920,1.0852,346.4669,4857
26,6265.6151,1.0905,349.7892,4748
27,5834.4467,1.1376,343.4714,4570
28,6252.4145,1.1044,350.9434,4757
29,5804.4764,1.1432,341.0470,4557
30,5586.8446,1.1397,349.8934,4458
31,5738.8025,1.1441,340.9815,4525
32,6469.0797,1.0685,356.6075,4838
33,5444.1946,1.1666,336.8799,4394
34,6385.1045,1.0821,356.2514,4809
35,5808.6975,1.1343,342.9272,4553
36,6047.1332,1.1094,344.6837,4650
37,5315.6192,1.1761,337.3653,4340
38,5691.2447,1.1478,339.0847,4502
39,5792.7799,1.1411,334.9944,4540
40,5455.9937,1.1726,333.6124,4401
41,4825.1600,1.2169,331.0402,4126
42,6168.4530,1.1106,348.7941,4718
43,6024.4230,1.1104,346.8928,4643
44,6036.2904,1.1156,348.8171,4657
45,5528.2282,1.1514,340.9971,4427
46,6098.9021,1.1029,349.7440,4677
47,5091.3481,1.1989,338.2637,4252
48,6635.8187,1.0538,355.5134,4905
49,5584.0241,1.1556,342.2893,4461
50,6294.1555,1.0951,349.8896,4767
51,5364.4891,1.1796,339.4078,4371
52,5254.0392,1.1797,338.2144,4314
53,6282.0235,1.0931,350.6042,4760
54,5435.0007,1.1634,340.7013,4392
55,6623.2607,1.0716,355.1686,4916
56,6216.0946,1.1029,346.7024,4731
57,7821.5156,0.9624,365.2393,5421
58,6484.4391,1.0748,351.2964,4844
59,6739.3024,1.0559,354.3281,4957
60,6612.2408,1.0713,354.4079,4909
61,5913.6503,1.1209,345.5215,4596
62,6500.3423,1.0838,354.6810,4866
63,6666.6804,1.0675,355.4174,4934
64,5805.6443,1.1393,341.9091,4555
65,7370.0903,0.9955,364.9766,5228
66,5919.6969,1.1223,346.5531,4602
67,6009.9365,1.1298,349.4827,4659
68,6593.1072,1.0714,355.3905,4901
69,7680.8155,0.9828,367.2182,5374
70,6804.7612,1.0512,356.9202,4989
71,6018.0829,1.1253,347.1121,4655
72,7515.7821,0.9911,366.7048,5299
73,6051.8720,1.1197,347.5922,4667
74,7594.6474,0.9846,365.3839,5330
75,6717.7621,1.0533,355.8911,4946
76,8213.6805,0.9316,371.0383,5595
77,6136.8648,1.1147,347.9154,4705
78,6425.5503,1.0798,353.6133,4823
79,6515.7732,1.0714,357.1596,4865
80,7112.8453,1.0279,363.0911,5129
81,6354.9197,1.0939,353.7892,4802
82,5879.8359,1.1285,352.4213,4597
83,6682.3126,1.0650,353.2131,4936
84,5516.8803,1.1631,340.9721,4433
85,7301.1293,1.0043,361.3990,5197
86,6119.4560,1.1089,350.2268,4694
87,5429.2035,1.1675,340.6309,4393
88,5438.6727,1.1692,340.2974,4399
89,5846.9835,1.1429,343.0609,4581
90,6629.4563,1.0771,352.0850,4920
91,5991.8376,1.1136,347.6433,4631
92,6332.4622,1.0788,354.6460,4777
93,6377.4343,1.0858,358.3006,4812
94,6164.1916,1.1046,348.8827,4710
95,6782.0519,1.0549,356.0673,4980
96,8127.3743,0.9390,368.8453,5556
97,6989.0095,1.0272,358.8356,5060
98,4799.2778,1.2181,335.4912,4121
99,6370.2474,1.0888,353.3632,4804
100,6427.1131,1.0847,354.4984,4830
