ep,reward,delay,energy,succ
0,9958.8518,1.2367,327.2115,4036
1,9773.1745,1.2425,326.6733,4008
2,9804.4120,1.2418,326.2271,4013
3,9659.7734,1.2486,326.2282,3995
4,9805.5019,1.2392,326.2979,4009
5,9456.7273,1.2534,326.0809,3962
6,9565.4251,1.2448,325.9961,3970
7,9795.6556,1.2480,325.6254,4021
8,9985.0101,1.2448,326.3617,4054
9,9507.6161,1.2552,325.5176,3975
10,9446.4315,1.2522,326.3249,3958
11,10034.1275,1.2375,325.7434,4052
12,9740.0653,1.2493,325.8835,4012
13,9819.5973,1.2443,325.7675,4020
14,9504.7850,1.2443,325.7198,3957
15,10070.1030,1.2386,325.8865,4061
16,9656.6115,1.2385,325.3793,3978
17,9399.5209,1.2474,325.9083,3941
18,9928.2259,1.2419,326.5244,4038
19,10191.3613,1.2360,325.8779,4081
20,9518.3779,1.2438,326.2788,3959
21,9900.2365,1.2455,326.0400,4038
22,9217.7976,1.2470,326.2381,3904
23,9717.9177,1.2395,326.0571,3992
24,9884.0061,1.2393,326.8598,4025
25,9804.2065,1.2432,325.5013,4015
26,9791.0427,1.2460,326.0262,4017
27,9355.8022,1.2497,326.3604,3936
28,9333.1548,1.2457,326.2056,3925
29,9804.6904,1.2418,326.2212,4013
30,9621.4363,1.2435,325.6736,3979
31,10344.6967,1.2337,326.0378,4108
32,9611.3526,1.2466,326.0777,3982
33,9816.1317,1.2448,325.5804,4020
34,9446.3946,1.2503,326.5190,3955
35,10264.4236,1.2387,325.6664,4100
36,10039.6664,1.2374,326.3352,4053
37,9609.4114,1.2406,325.9740,3972
38,9896.5527,1.2435,325.4046,4034
39,9963.2818,1.2483,325.6207,4055
40,10119.8249,1.2411,326.0295,4075
41,9978.4059,1.2376,325.4622,4041
42,9579.1533,1.2456,326.2019,3974
43,9743.3280,1.2375,326.3376,3994
44,9495.2042,1.2450,325.0942,3956
45,9533.5686,1.2432,325.9070,3961
46,9984.5758,1.2293,326.3413,4029
47,9604.1867,1.2426,325.3971,3974
48,9926.3609,1.2360,325.8112,4028
49,9723.4852,1.2388,326.2163,3992
50,9548.0894,1.2395,325.9157,3958
51,9585.4253,1.2448,326.2481,3974
52,10020.9282,1.2354,325.9942,4046
53,9865.4508,1.2354,326.5873,4015
54,9609.5467,1.2444,325.3849,3978
55,9734.7228,1.2430,326.6577,4001
56,9604.5501,1.2512,326.1078,3988
57,9863.2557,1.2445,325.6730,4029
58,9980.4515,1.2399,325.1734,4045
59,9648.7058,1.2393,327.0112,3978
60,9370.3236,1.2473,326.0057,3935
61,9501.3110,1.2466,326.0351,3960
62,9522.2229,1.2433,326.2745,3959
63,8954.6458,1.2548,326.8728,3864
64,9990.3727,1.2442,325.9392,4054
65,9754.8922,1.2423,326.5011,4004
66,9695.4999,1.2418,324.7272,3991
67,9936.1353,1.2409,326.3218,4038
68,9894.7327,1.2405,326.5553,4029
69,9954.2267,1.2418,325.9733,4043
70,9887.4331,1.2440,325.3746,4033
71,10058.9851,1.2375,325.9904,4057
72,9576.6295,1.2440,326.4642,3971
73,9739.7888,1.2430,326.1025,4002
74,9636.2256,1.2478,326.0142,3989
75,9713.9003,1.2375,326.3380,3988
76,10011.8729,1.2473,324.6455,4063
77,9417.8659,1.2471,325.5162,3944
78,9381.1219,1.2497,326.0027,3941
79,9475.4147,1.2417,325.9024,3947
80,9542.6446,1.2496,325.9393,3973
81,9404.4489,1.2468,325.9960,3941
82,9647.8963,1.2446,325.4197,3986
83,9782.2949,1.2477,326.4247,4018
84,10021.4526,1.2415,326.2424,4056
85,9495.7844,1.2486,325.2470,3962
86,9369.8504,1.2417,326.5521,3926
87,9510.2959,1.2460,326.4704,3961
88,9733.6007,1.2407,325.9915,3997
89,9575.7300,1.2505,325.4693,3981
90,9710.7309,1.2479,325.8735,4004
91,9924.1629,1.2437,326.0130,4040
92,9936.4003,1.2284,326.4003,4018
93,9500.9450,1.2404,326.0841,3950
94,9757.0109,1.2390,326.1681,3999
95,10036.9423,1.2408,326.2626,4058
96,9936.9186,1.2390,326.0831,4035
97,9750.1882,1.2430,325.7753,4004
98,9909.5807,1.2386,326.3818,4029
99,9988.1495,1.2445,326.0762,4054
100,9459.0764,1.2487,326.4634,3955
101,10041.6352,1.2385,325.3404,4055
102,9871.2475,1.2372,326.3409,4019
103,9951.7459,1.2376,327.1209,4036
104,9769.1476,1.2406,326.3959,4004
105,10058.4093,1.2408,325.4742,4062
106,9900.6176,1.2423,326.2235,4033
107,9744.3821,1.2437,325.8577,4004
108,9722.5894,1.2439,325.9412,4000
109,9961.2048,1.2404,325.9659,4042
110,9639.6678,1.2481,325.6349,3990
111,9926.0048,1.2309,326.8428,4020
112,9595.0442,1.2486,325.9883,3982
113,9476.2601,1.2504,325.7875,3961
114,9400.7395,1.2510,326.3604,3947
115,9783.8765,1.2476,325.6188,4018
116,9645.5047,1.2448,326.1068,3986
117,9875.5128,1.2392,325.8032,4023
118,9705.9556,1.2498,325.8828,4006
119,9576.0892,1.2428,326.1300,3969
120,9833.4657,1.2445,325.8869,4023
121,9578.5485,1.2438,326.3660,3971
122,10034.0537,1.2318,326.1656,4043
123,9558.6310,1.2444,325.8511,3968
124,9859.8136,1.2405,326.3058,4022
125,9985.1438,1.2423,326.5509,4050
126,9575.7295,1.2455,325.4644,3973
127,10234.8208,1.2380,326.0657,4093
128,9846.9091,1.2390,326.2791,4017
129,10001.5512,1.2409,326.4306,4051
130,9995.2938,1.2392,326.3719,4047
131,9545.8195,1.2485,326.0991,3972
132,9759.4363,1.2444,325.6452,4008
133,9635.5306,1.2422,326.5955,3980
134,10337.5399,1.2421,325.4742,4120
135,9739.2799,1.2462,326.0811,4007
136,9545.7594,1.2429,326.3518,3963
137,9765.9695,1.2428,326.6015,4007
138,10024.5279,1.2443,326.2855,4061
139,9644.6847,1.2493,325.8450,3993
140,9752.5432,1.2458,326.0185,4009
141,9761.7975,1.2458,326.4165,4011
142,10114.8682,1.2462,325.6764,4082
143,9283.5070,1.2488,326.3696,3920
144,9493.8370,1.2443,326.9983,3955
145,10266.7460,1.2377,326.3215,4099
146,9704.5041,1.2399,326.2258,3990
147,9856.5787,1.2459,326.2412,4030
148,9905.2405,1.2423,326.3300,4034
149,9980.4239,1.2386,325.5251,4043
150,9770.1588,1.2336,326.1054,3993
151,10083.4895,1.2377,325.1640,4062
152,9311.1645,1.2560,326.0864,3937
153,9446.4068,1.2466,325.5501,3949
154,9372.2612,1.2479,324.8944,3936
155,9860.1160,1.2411,326.0535,4023
156,9520.6409,1.2479,325.8834,3966
157,8976.0101,1.2528,326.9069,3865
158,9634.9676,1.2417,326.3862,3979
159,9716.6659,1.2434,326.0694,3998
160,9917.3029,1.2428,325.5716,4037
161,9974.7797,1.2355,326.0042,4037
162,9589.7632,1.2450,325.3758,3975
163,9766.2134,1.2467,325.3183,4013
164,9664.9300,1.2443,325.9854,3989
165,9549.9590,1.2462,325.5618,3969
166,10247.4235,1.2340,325.4491,4089
167,9345.2342,1.2517,326.4991,3937
168,9308.6360,1.2482,325.3795,3924
169,9906.9807,1.2328,325.3990,4019
170,10041.6675,1.2366,325.9197,4052
171,9954.4745,1.2500,325.7551,4056
172,9947.2129,1.2390,326.1066,4037
173,9834.7814,1.2411,326.1939,4018
174,9949.8113,1.2424,326.0499,4043
175,9326.2779,1.2523,325.2354,3934
176,10059.4755,1.2437,325.9393,4067
177,9971.4285,1.2447,326.1313,4051
178,9777.7127,1.2489,325.7171,4019
179,9412.1352,1.2428,325.2907,3936
180,9600.3967,1.2430,325.8436,3974
181,10086.9904,1.2359,325.8254,4060
182,9553.8891,1.2525,326.1481,3980
183,9892.7102,1.2389,326.1251,4026
184,10085.8470,1.2441,326.5773,4073
185,9922.1542,1.2390,326.0520,4032
186,9501.0186,1.2447,326.0050,3957
187,10038.6642,1.2444,325.7602,4064
188,9683.8253,1.2482,325.8117,3999
189,9789.7355,1.2493,325.9356,4022
190,9449.2911,1.2524,326.4639,3959
191,9189.3462,1.2542,326.6805,3910
192,10154.6843,1.2406,325.4607,4081
193,9965.4480,1.2430,325.7284,4047
194,9707.6283,1.2507,326.5144,4008
195,9612.7484,1.2526,326.3275,3992
196,9694.8258,1.2462,325.8089,3998
197,9552.8322,1.2432,326.3236,3965
198,9153.4467,1.2501,325.7759,3896
199,9537.4748,1.2503,325.0273,3973
200,9665.1847,1.2424,325.4721,3986
