ep,reward,delay,energy,succ
0,17959.7784,0.9910,357.4227,5249
1,11837.4156,1.1828,330.5008,4326
2,14001.2917,1.1153,341.0036,4653
3,14784.6607,1.0915,342.9474,4772
4,12818.9204,1.1447,338.4832,4463
5,17633.6282,1.0023,358.0551,5202
6,14066.1912,1.1171,341.7919,4669
7,16072.2619,1.0471,350.7540,4960
8,16421.9853,1.0465,350.7192,5029
9,13060.3137,1.1447,336.7639,4511
10,16019.0976,1.0553,348.8186,4962
11,13001.1363,1.1434,336.4700,4497
12,16181.7862,1.0580,348.9423,4999
13,14604.7035,1.1077,344.0930,4762
14,16007.7357,1.0559,349.7778,4961
15,16396.0643,1.0341,351.3589,5004
16,11928.9610,1.1701,335.0100,4325
17,14061.5986,1.1052,342.0914,4649
18,15932.2155,1.0606,348.1821,4953
19,14055.4904,1.1166,341.4829,4666
20,14452.1352,1.1139,341.7131,4741
21,12224.5233,1.1753,333.4052,4392
22,12021.7973,1.1802,331.2472,4359
23,13788.2405,1.1296,339.9114,4633
24,16035.1173,1.0575,349.6372,4969
25,13136.0362,1.1407,338.2001,4520
26,13326.2371,1.1361,339.5810,4551
27,14221.1253,1.1134,341.3947,4694
28,12830.5254,1.1626,333.9347,4493
29,14479.6517,1.0956,345.3038,4718
30,13615.2387,1.1248,341.5124,4591
31,14137.1099,1.1044,342.4426,4663
32,12497.7357,1.1697,334.5865,4438
33,12378.9324,1.1671,334.1735,4410
34,13031.4379,1.1500,338.4493,4514
35,14154.7818,1.1048,341.6259,4667
36,15258.1852,1.0826,346.1973,4853
37,13186.0603,1.1484,336.8469,4542
38,15715.1482,1.0582,349.2932,4906
39,16012.1797,1.0477,351.3777,4949
40,14842.9535,1.0806,347.0401,4767
41,12471.9364,1.1637,333.7607,4423
42,13696.0842,1.1217,340.6962,4602
43,12794.5064,1.1492,336.5957,4465
44,12487.9102,1.1635,333.9843,4426
45,12410.1519,1.1695,333.6839,4420
46,14893.4185,1.0972,344.2747,4803
47,13987.5257,1.1252,340.7341,4666
48,13821.5513,1.1184,340.9158,4622
49,14104.8989,1.1208,338.7266,4682
50,15121.2541,1.0944,343.6515,4844
51,12564.3834,1.1517,336.8761,4423
52,14176.9256,1.1024,343.9053,4668
53,15664.9183,1.0640,348.3464,4905
54,14670.0348,1.1025,344.7596,4767
55,13006.3783,1.1441,336.1591,4499
56,15011.2587,1.0892,345.1673,4814
57,11277.5162,1.1942,329.0563,4232
58,13789.9259,1.1210,341.9057,4620
59,16113.4219,1.0522,348.9806,4976
60,16710.5178,1.0320,353.5620,5064
61,14603.6786,1.0941,343.8068,4740
62,12337.7443,1.1653,335.2221,4399
63,12245.7416,1.1661,335.3016,4382
64,13760.2471,1.1306,340.1879,4629
65,18038.7887,0.9954,357.6628,5272
66,12952.1396,1.1474,338.2734,4494
67,16759.4441,1.0335,352.2918,5076
68,15068.3276,1.0846,345.2353,4818
69,15549.7734,1.0665,348.1420,4886
70,14915.0510,1.0863,344.9263,4790
71,11820.8080,1.1847,331.8816,4326
72,15067.0298,1.0829,344.7668,4815
73,14906.4911,1.0846,346.3746,4786
74,16228.9577,1.0456,351.0524,4989
75,13620.5803,1.1325,339.6312,4604
76,13311.0402,1.1483,337.2885,4567
77,18035.2135,0.9993,355.7338,5277
78,18938.0938,0.9670,360.6187,5407
79,11524.5175,1.2045,329.1115,4298
80,12060.9027,1.1764,333.2826,4361
81,14510.1735,1.1099,340.5051,4746
82,16587.9395,1.0310,353.7615,5038
83,11770.0397,1.1752,333.0086,4301
84,17051.9089,1.0305,353.9402,5130
85,17117.7224,1.0255,353.4940,5135
86,13111.5926,1.1406,338.6347,4515
87,13926.3962,1.1203,340.8355,4646
88,12661.9383,1.1610,335.0997,4457
89,11263.6849,1.1986,327.4652,4236
90,12098.1032,1.1646,334.9301,4350
91,15321.6219,1.0796,346.2799,4861
92,17854.7696,0.9942,356.5050,5233
93,16004.4284,1.0582,349.7729,4964
94,16053.3247,1.0661,348.0532,4986
95,14906.0817,1.0939,343.0599,4800
96,13424.0932,1.1326,339.7670,4565
97,15366.1128,1.0728,346.2371,4859
98,14645.6042,1.0943,344.7476,4749
99,12649.2845,1.1593,336.2579,4452
100,13271.0060,1.1427,337.4874,4550
101,13441.0060,1.1445,338.0303,4587
102,11538.0942,1.1850,331.8220,4270
103,14123.0531,1.1089,341.0044,4667
104,15792.3462,1.0643,348.6135,4931
105,13174.6178,1.1459,337.9102,4536
106,14899.5874,1.0836,346.8608,4783
107,11903.8313,1.1826,335.4230,4340
108,12374.5074,1.1683,333.9562,4411
109,15570.3022,1.0625,350.0509,4884
110,14752.7002,1.1043,343.2726,4786
111,16355.5824,1.0486,350.6848,5019
112,13274.7551,1.1443,335.5689,4553
113,14859.3570,1.0996,344.0343,4800
114,19660.5844,0.9485,361.0183,5522
115,11278.5156,1.2067,327.7071,4252
116,14667.9941,1.0916,344.1376,4749
117,16246.9353,1.0450,353.2597,4992
118,14310.1774,1.1091,342.3850,4705
119,12498.2394,1.1559,334.3468,4416
120,14597.5056,1.1055,343.6931,4757
121,15739.0874,1.0640,349.1393,4920
122,15026.4246,1.0886,344.5495,4816
123,12763.6367,1.1576,335.2624,4472
124,15707.0344,1.0681,347.7799,4920
125,15369.0784,1.0723,347.8261,4859
126,14244.1951,1.1121,343.7491,4697
127,13694.5581,1.1290,338.2790,4613
128,13812.6411,1.1244,342.0247,4630
129,14045.8098,1.1189,342.7189,4668
130,15554.8047,1.0695,348.8752,4892
131,12698.8201,1.1543,336.4481,4454
132,13265.7636,1.1407,338.7168,4546
133,13558.1718,1.1272,339.4243,4583
134,12612.6964,1.1590,335.3519,4444
135,12584.9458,1.1662,335.5004,4450
136,16206.3145,1.0462,349.0102,4985
137,14814.6948,1.0988,344.6467,4790
138,14715.5777,1.0931,344.3099,4761
139,13524.0151,1.1250,341.0216,4573
140,13739.9406,1.1227,338.3880,4612
141,14590.9905,1.0905,344.8938,4732
142,13178.9819,1.1428,338.5924,4532
143,14846.0248,1.0939,342.5709,4788
144,14599.1977,1.0971,344.0744,4744
145,15365.1554,1.0759,347.3220,4864
146,14132.2330,1.1145,341.6699,4678
147,12969.0075,1.1448,337.5679,4493
148,16825.5482,1.0346,353.0010,5091
149,13186.8204,1.1515,336.2897,4547
150,14975.4772,1.0854,346.2497,4801
151,12076.4943,1.1814,332.3058,4372
152,14336.0643,1.1120,343.1730,4715
153,14277.5526,1.1163,341.6618,4710
154,12673.6873,1.1575,336.0105,4454
155,14729.0527,1.0944,345.6523,4766
156,12267.0180,1.1777,331.5492,4404
157,13015.0816,1.1467,336.4912,4505
158,12527.8339,1.1634,335.2556,4434
159,11418.8390,1.1960,328.1540,4263
160,12501.6705,1.1622,335.8660,4427
161,13315.4709,1.1388,339.5265,4553
162,13530.7301,1.1244,339.4158,4573
163,14970.4691,1.0830,345.2548,4796
164,14011.9444,1.1095,341.7057,4646
165,15094.5868,1.0856,345.3126,4825
166,15549.6326,1.0705,346.7481,4892
167,14431.9975,1.1151,342.3463,4739
168,16067.4466,1.0501,351.7280,4964
169,12875.1418,1.1467,336.3442,4477
170,15088.6271,1.0948,342.5883,4838
171,17840.8650,1.0003,356.9350,5240
172,15829.8125,1.0677,348.3258,4944
173,15613.8701,1.0712,346.8309,4906
174,14872.2830,1.0936,344.2215,4793
175,12307.7337,1.1733,335.5665,4406
176,14164.3364,1.1117,341.7125,4680
177,13143.0168,1.1453,339.4290,4529
178,16611.9089,1.0237,353.5601,5031
179,14250.4774,1.1015,342.8111,4681
180,14605.7410,1.0937,344.4963,4740
181,12316.4219,1.1680,334.2348,4399
182,16235.8447,1.0583,347.9089,5010
183,15630.5132,1.0652,348.1470,4900
184,14382.7445,1.1049,343.3166,4713
