ep,reward,delay,energy,succ
0,10859.4568,1.2159,333.1235,4184
1,11389.6935,1.1999,335.8416,4265
2,10863.9335,1.2134,333.9765,4181
3,11615.6079,1.1934,336.8123,4300
4,11431.7615,1.1907,337.7104,4259
5,11339.6154,1.2038,335.0127,4261
6,11239.7082,1.2070,334.5728,4246
7,11596.0782,1.1882,338.2260,4288
8,10883.5259,1.1987,336.5090,4162
9,12343.6904,1.1791,338.7279,4423
10,12249.6582,1.1827,338.6804,4410
11,11188.0525,1.2046,335.2090,4232
12,11764.1649,1.1923,337.6621,4328
13,11027.6596,1.2135,334.0938,4214
14,11689.0743,1.1870,339.5424,4305
15,11630.8502,1.1940,337.2295,4304
16,12039.6593,1.1807,340.0979,4365
17,11249.2150,1.2068,336.0529,4248
18,10846.9852,1.2172,335.0459,4184
19,11374.1263,1.2021,334.0287,4265
20,11186.6261,1.2011,334.9179,4226
21,11246.7102,1.2065,335.9802,4247
22,11108.0910,1.2044,336.5639,4216
23,11744.5622,1.1886,336.6279,4318
24,10633.4901,1.2173,333.2686,4141
25,11455.4011,1.1974,335.6167,4274
26,10837.3893,1.2212,333.3385,4188
27,11622.3022,1.1969,337.6556,4307
28,12324.2811,1.1764,339.5918,4415
29,11858.3721,1.1917,337.7149,4346
30,11756.9820,1.1906,338.1038,4324
31,11896.6358,1.1930,339.2625,4356
32,11205.5755,1.2081,334.9465,4241
33,11718.0561,1.1803,339.6379,4300
34,11724.8261,1.1935,337.1277,4322
35,11499.1324,1.1955,337.1912,4280
36,11330.7104,1.2035,335.9730,4259
37,11550.5799,1.2047,336.9075,4305
38,11911.8362,1.1870,337.4315,4349
39,10272.0009,1.2224,333.4255,4077
40,10795.8901,1.2137,334.2699,4168
41,11273.1756,1.1956,336.7281,4235
42,10860.9682,1.2036,335.2537,4165
43,12606.5436,1.1577,341.5756,4442
44,11529.2909,1.1973,337.5121,4289
45,11201.0632,1.1960,335.7224,4221
46,11972.6694,1.1887,338.0884,4364
47,10738.0161,1.2199,332.6341,4166
48,11736.0942,1.1896,336.9531,4318
49,12429.4097,1.1701,340.1859,4426
50,11710.2706,1.1896,337.8675,4313
51,10517.3596,1.2167,333.8468,4117
52,11248.7571,1.2019,336.0866,4240
53,12162.5439,1.1861,338.4753,4398
54,12483.2806,1.1708,340.3121,4438
55,12027.7125,1.1836,338.1129,4367
56,11384.0017,1.1930,336.9167,4253
57,10960.0768,1.2138,334.5388,4201
58,11499.1855,1.2018,336.4430,4290
59,12222.6089,1.1708,340.7109,4386
60,11243.4584,1.2045,335.3777,4243
61,11080.4191,1.2088,334.3702,4217
62,11418.1852,1.1899,337.3674,4255
63,12063.5003,1.1726,340.9646,4357
