ep,reward,delay,energy,succ
0,4622.0321,1.2349,329.4161,4040
1,4897.3955,1.2224,329.2567,4165
2,4790.4473,1.2298,327.3008,4116
3,4493.3055,1.2446,326.4981,3981
4,4659.5275,1.2374,328.5475,4060
5,4944.3141,1.2093,329.6774,4176
6,5398.7301,1.1720,342.4318,4385
7,5863.6373,1.1352,344.6312,4584
8,5185.9568,1.1795,337.6856,4279
9,5152.6503,1.1937,338.6350,4278
10,5501.8771,1.1547,341.5795,4418
11,5119.1228,1.1948,337.1047,4260
12,4831.0382,1.2149,334.3764,4132
13,4863.8667,1.2116,339.6204,4153
14,5658.6892,1.1539,345.1850,4501
15,5555.7668,1.1601,344.6719,4455
16,5498.9552,1.1571,344.9249,4424
17,5446.3319,1.1694,344.2602,4409
18,5639.8472,1.1499,346.1020,4489
19,4562.4766,1.2451,327.1309,4017
20,4886.0987,1.2331,328.5554,4169
21,4818.3034,1.2278,330.6982,4133
22,4682.8935,1.2349,328.4081,4069
23,4845.0886,1.2331,329.5766,4150
24,5014.2812,1.2091,329.1477,4210
25,6133.9128,1.1079,353.4560,4705
26,6123.9111,1.1021,346.6266,4684
27,6744.2528,1.0633,353.0423,4965
28,5928.6095,1.1176,346.0924,4601
29,6492.0801,1.0846,345.6049,4849
30,5691.4607,1.1515,339.1601,4506
31,5900.0884,1.1256,342.8929,4590
32,7074.2262,1.0210,354.5650,5090
33,5644.7856,1.1614,338.7901,4492
34,5891.3003,1.1347,343.0714,4595
35,6905.5452,1.0466,353.0523,5029
36,6104.0170,1.1097,346.8670,4682
37,7608.6666,0.9806,356.6893,5320
38,6540.1703,1.0826,348.8526,4876
39,5982.0533,1.1187,346.1890,4629
40,5090.4973,1.2003,331.6177,4243
41,5499.6129,1.1688,338.9588,4427
42,6285.3149,1.1024,350.6411,4771
43,6656.4370,1.0689,349.9082,4922
44,6879.7759,1.0484,349.8408,5013
45,5891.1305,1.1332,344.1260,4595
46,5437.9072,1.1587,346.9097,4398
47,7410.7139,1.0047,361.3254,5252
48,6202.5765,1.1119,344.5491,4730
49,7004.5844,1.0293,352.9267,5061
50,6307.2259,1.0928,347.0795,4767
51,5866.9500,1.1403,344.1170,4590
52,5046.6012,1.2003,334.2843,4225
53,5823.0967,1.1464,340.7179,4569
54,6870.7360,1.0486,354.6861,5016
55,5649.7667,1.1492,345.3011,4492
56,5284.6596,1.1809,340.4999,4334
57,6816.7721,1.0483,358.1984,4994
58,6293.5847,1.1014,350.5099,4774
59,5714.2257,1.1519,338.6540,4517
60,5773.4748,1.1541,340.7518,4552
61,6445.8825,1.0871,346.0012,4829
62,5976.4971,1.1172,347.7335,4627
63,6557.6233,1.0817,348.9605,4884
64,6409.6014,1.0946,348.3780,4822
65,5323.4418,1.1905,336.4992,4357
66,5876.5567,1.1264,342.8488,4579
67,5273.0622,1.1824,336.0451,4323
68,6876.3805,1.0545,348.8914,5016
69,5696.1850,1.1571,339.2118,4514
70,6248.6758,1.0965,346.7564,4741
71,5973.7098,1.1170,348.7909,4627
72,6194.9587,1.0992,351.5280,4724
73,6088.4558,1.1094,348.2698,4676
74,6456.1597,1.0845,347.6306,4834
75,5709.5026,1.1527,338.3984,4515
76,5249.1553,1.1810,333.5840,4306
77,5742.9563,1.1546,338.5936,4534
78,6065.3797,1.1159,343.6351,4664
79,6317.8040,1.0935,345.7627,4771
80,5773.0526,1.1441,342.9237,4545
81,6866.8903,1.0572,356.2407,5025
82,6021.6058,1.1168,343.5765,4643
83,5655.6191,1.1516,341.0436,4491
84,6591.8478,1.0757,348.2212,4894
85,6870.3792,1.0559,351.2524,5018
86,6521.5215,1.0809,350.8944,4868
87,5846.6151,1.1403,342.2719,4577
88,5616.3525,1.1598,340.0146,4478
89,6094.2029,1.1065,354.2395,4685
90,5926.9201,1.1348,349.1352,4622
91,5611.7843,1.1568,347.5624,4484
92,5212.5239,1.1783,340.9838,4296
93,5903.3737,1.1362,349.4078,4612
94,6182.2566,1.1173,352.3788,4737
95,6194.9567,1.1048,346.4611,4722
96,7453.0555,0.9961,360.2529,5263
97,6953.3380,1.0324,357.2577,5045
98,7242.0248,1.0243,357.1348,5181
99,6522.9903,1.0759,349.0622,4861
100,5947.7133,1.1191,342.0518,4606
101,5744.0170,1.1529,342.7371,4539
102,6223.6615,1.1104,343.1636,4737
103,6819.5070,1.0503,356.6263,4995
104,5735.0326,1.1501,342.2246,4531
105,5334.0242,1.1774,338.3629,4352
106,5709.1863,1.1459,339.0250,4509
107,5783.3241,1.1411,340.1376,4543
108,6002.5938,1.1174,342.2017,4632
109,5904.2424,1.1263,339.6978,4588
110,7243.1295,1.0220,355.6147,5177
111,5373.4490,1.1754,337.8909,4369
112,5227.2424,1.1891,337.4906,4309
113,6545.1755,1.0778,346.3822,4870
114,5730.3690,1.1477,340.1006,4523
115,7032.3368,1.0181,354.5013,5066
116,6394.6771,1.0855,345.4545,4801
117,6424.3349,1.0883,345.6944,4819
118,5642.3071,1.1526,339.5241,4483
119,5800.5257,1.1321,340.4454,4543
120,6997.7409,1.0302,351.2678,5056
121,6261.6522,1.1043,341.9281,4748
122,5935.9068,1.1253,339.8079,4603
123,6465.3616,1.0861,351.5093,4846
124,6787.4542,1.0516,352.4590,4974
125,5618.5659,1.1513,341.5792,4473
126,5265.1371,1.1881,336.2364,4325
127,5784.4983,1.1524,338.2154,4552
128,6550.4498,1.0811,351.7642,4884
129,5293.2986,1.1852,333.4117,4332
130,5439.6376,1.1748,335.5943,4398
131,6359.0623,1.0896,348.5923,4792
132,6634.2681,1.0745,349.5540,4916
133,6413.2273,1.0832,353.4684,4820
134,6176.4660,1.1027,346.0335,4710
135,5787.4179,1.1378,342.3576,4545
136,6788.7638,1.0510,356.4116,4980
137,5817.5924,1.1350,340.1086,4554
138,7715.0912,0.9719,357.7291,5366
139,6332.4464,1.0943,344.9967,4778
140,5149.0715,1.1989,335.0351,4276
141,5944.6329,1.1220,345.7946,4613
142,6703.6784,1.0561,353.3907,4938
143,6012.6088,1.1207,345.3285,4645
144,5786.3000,1.1388,341.3573,4544
145,6185.8586,1.1136,345.0117,4724
146,7142.5518,1.0322,353.6594,5134
147,5427.4637,1.1729,334.9139,4389
148,6301.1651,1.0939,346.3576,4764
149,6332.1247,1.0960,346.6548,4782
150,6390.5859,1.0930,347.8270,4810
151,6342.0672,1.0903,348.4546,4784
152,6340.7999,1.0998,349.2245,4794
153,5665.5845,1.1519,339.5177,4494
154,6973.8787,1.0281,354.0027,5046
155,6290.5180,1.0946,346.1085,4759
156,6378.3197,1.0988,344.6759,4805
157,6437.8637,1.0777,348.8924,4820
158,7017.8395,1.0386,354.3285,5079
159,6705.1713,1.0537,350.4764,4932
160,7070.3970,1.0337,354.0545,5100
161,6037.4642,1.1141,344.0875,4649
162,5747.2169,1.1439,336.2977,4522
163,5856.8435,1.1364,340.7662,4576
164,6323.6006,1.1050,346.1572,4786
165,6692.1024,1.0686,353.5566,4945
166,6552.3286,1.0708,350.6846,4873
167,6813.9329,1.0524,354.4371,4991
168,6931.9072,1.0431,355.9835,5043
169,6566.9478,1.0824,350.7831,4892
170,6423.8783,1.0796,350.2763,4817
171,5933.9031,1.1334,345.0884,4618
172,6525.2379,1.0789,347.6642,4863
173,6111.7817,1.1085,347.7325,4686
174,6212.6354,1.0985,350.1478,4730
175,6542.6283,1.0697,351.3322,4868
176,6941.6726,1.0370,355.4591,5041
177,6692.4600,1.0611,351.7982,4935
178,6042.4925,1.1169,348.5834,4661
179,6971.6096,1.0454,353.8528,5062
180,6084.3566,1.1023,346.9881,4665
181,8099.0162,0.9461,367.6029,5547
182,6793.4692,1.0498,355.6255,4980
183,6008.3123,1.1209,346.6545,4645
184,5979.9297,1.1201,343.2943,4625
185,6135.6828,1.0997,348.9731,4691
186,6825.4548,1.0507,355.0380,4996
187,6325.8611,1.0960,350.0370,4784
188,6613.7547,1.0712,351.9389,4906
189,6732.5056,1.0546,354.0669,4952
190,6302.6023,1.0933,347.6303,4766
191,6072.3713,1.1181,342.5068,4668
192,7092.7987,1.0349,355.1235,5114
193,6842.6724,1.0582,350.9996,5006
194,6672.7388,1.0519,355.1331,4921
195,6206.8879,1.1102,350.2612,4739
196,6089.5003,1.1050,345.4890,4668
197,6715.7223,1.0725,349.7380,4955
198,7695.3017,0.9667,362.4092,5358
199,6395.9625,1.0868,346.8170,4805
200,6378.0873,1.0886,346.2072,4797
201,5802.9050,1.1367,343.2646,4553
202,6100.1860,1.1192,344.4596,4686
203,7170.4346,1.0230,358.5300,5146
204,6795.9385,1.0616,352.3160,4988
