ep,reward,delay,energy,succ
0,5788.1722,1.1341,344.5559,4545
1,5219.7234,1.1791,339.3747,4298
2,5745.2024,1.1468,342.3922,4533
3,5141.5842,1.1877,339.6636,4268
4,5177.4349,1.1861,338.1322,4282
5,5364.1275,1.1844,338.3296,4374
6,6117.5733,1.1121,349.4019,4695
7,5120.9548,1.1978,337.8050,4265
8,6015.5070,1.1235,348.4933,4654
9,5765.5648,1.1343,347.3020,4538
10,6015.1372,1.1167,349.1720,4648
11,6532.1933,1.0693,356.4298,4870
12,6236.3163,1.0980,354.5687,4748
13,6180.6220,1.0994,352.8614,4719
14,6393.9367,1.0804,354.4233,4809
15,5902.0766,1.1188,348.1227,4592
16,5721.4126,1.1357,347.0945,4517
17,6143.1650,1.1032,352.8436,4704
18,6771.4577,1.0552,358.0347,4978
19,6015.1697,1.1247,349.1210,4656
20,5555.7980,1.1592,345.2381,4455
21,5946.4988,1.1297,346.6887,4623
22,5899.6435,1.1255,347.7624,4597
23,5951.9770,1.1224,348.4335,4621
24,6051.4318,1.1077,349.0397,4657
25,5936.5048,1.1202,349.6848,4613
26,6486.0637,1.0754,353.0688,4848
27,6376.2464,1.0911,353.2132,4809
28,6369.6841,1.0962,349.9948,4806
29,5887.7711,1.1188,348.2142,4585
30,6625.5742,1.0691,354.7542,4914
31,6127.9671,1.1091,352.6280,4702
32,6224.2075,1.1037,348.7825,4739
33,6696.9588,1.0504,354.7579,4931
34,6808.6159,1.0432,355.6493,4981
35,6394.6763,1.0808,353.2160,4808
36,5448.3929,1.1650,342.5676,4403
37,6624.0091,1.0583,355.1309,4903
38,6941.7474,1.0369,356.1459,5042
39,7324.0107,1.0082,359.8731,5210
40,6627.8609,1.0624,359.0990,4915
41,6584.8277,1.0699,354.4867,4894
42,5410.4609,1.1715,340.1822,4387
43,5864.7807,1.1255,344.1062,4574
44,6125.2122,1.0965,353.2560,4689
45,7171.1223,1.0171,360.2145,5143
46,6983.4442,1.0338,359.6389,5065
47,6018.1343,1.1232,346.4850,4652
48,6172.6541,1.1103,348.2746,4719
49,5895.3019,1.1344,346.6585,4602
50,6525.5323,1.0662,352.6656,4858
51,6825.6466,1.0540,356.7752,5002
52,5919.4139,1.1314,343.2416,4606
53,6325.9282,1.0882,350.5559,4777
54,6320.3256,1.0912,352.4516,4780
55,7103.3734,1.0160,360.8925,5109
56,6808.4903,1.0479,359.9154,4992
57,6604.7741,1.0645,353.4353,4897
58,5618.9399,1.1496,341.9657,4472
59,6930.3108,1.0229,359.2842,5027
60,6482.5482,1.0879,351.2340,4856
61,7327.9921,1.0051,361.9306,5212
62,5991.9832,1.1279,345.3893,4642
63,6901.3505,1.0385,355.2251,5022
64,6182.1099,1.0924,349.7023,4708
65,5760.1860,1.1556,342.2207,4549
66,6514.8453,1.0742,352.9429,4861
67,6598.5658,1.0706,352.7315,4899
68,6505.6081,1.0876,349.0553,4864
69,6658.3550,1.0650,355.8682,4928
70,7270.0676,1.0150,358.6237,5188
71,6343.4337,1.0931,354.1313,4796
72,6535.9595,1.0786,354.2791,4878
73,5501.9176,1.1578,343.5085,4424
74,5426.0667,1.1599,340.7079,4384
75,5146.6650,1.1946,336.0403,4272
76,5173.6330,1.1964,337.1866,4289
77,5634.6749,1.1516,345.3437,4487
78,5206.5995,1.1812,337.6742,4291
79,5091.6270,1.2059,338.1609,4259
80,5992.4987,1.1240,346.4896,4640
81,5238.9080,1.1744,342.1095,4307
82,5494.7389,1.1590,343.0565,4421
83,5649.6988,1.1492,343.9743,4490
84,5476.3300,1.1691,343.1383,4422
85,6265.6711,1.0970,352.0909,4758
86,6326.2255,1.0870,351.9030,4778
87,6171.3089,1.0903,351.3709,4703
88,6287.5174,1.0895,353.8030,4764
89,6276.2985,1.0881,352.4872,4755
90,6338.1055,1.0832,356.4739,4787
91,5824.3376,1.1302,346.4340,4562
92,6482.9600,1.0856,351.9528,4855
93,5485.4710,1.1519,346.2564,4414
94,6174.1632,1.1058,349.4356,4717
95,6404.8676,1.0783,353.5435,4811
96,5922.8671,1.1312,346.9226,4613
97,6283.5336,1.0922,352.7115,4763
98,5915.1747,1.1182,345.4467,4594
99,6997.6806,1.0163,359.2165,5054
100,6313.7422,1.0984,350.5154,4781
101,6310.4830,1.0980,349.8187,4778
102,6466.5600,1.0823,352.3048,4844
103,6421.0624,1.0959,351.0381,4833
104,6010.5290,1.1236,350.0571,4654
105,5390.3982,1.1596,344.1505,4371
106,5730.3702,1.1385,346.2026,4523
107,5896.2653,1.1254,346.3149,4593
108,6366.6942,1.0884,351.4693,4799
109,5513.0479,1.1566,344.5742,4430
110,5390.7491,1.1645,341.4474,4372
111,6283.9244,1.0980,349.9990,4765
112,6335.8758,1.0893,350.4803,4783
113,5986.4333,1.1216,348.8083,4638
114,6318.0816,1.0898,352.7882,4778
115,6559.7828,1.0732,353.2985,4883
116,5534.2321,1.1539,343.9637,4437
117,6799.8982,1.0607,353.5671,4991
118,6435.4046,1.0844,355.9592,4836
119,5941.3243,1.1232,346.7267,4614
120,6052.8696,1.1164,347.4732,4664
121,6059.0227,1.1127,349.8513,4667
122,5862.2898,1.1292,347.7613,4582
123,5935.3378,1.1313,344.6636,4616
124,5806.9391,1.1320,345.7134,4554
125,5891.4843,1.1263,347.9721,4594
126,5848.3668,1.1292,345.0711,4571
127,6126.5073,1.1068,351.9507,4698
128,5450.1116,1.1538,345.4234,4397
129,6360.5367,1.0821,353.0988,4792
130,5934.6841,1.1228,349.2608,4614
131,5734.1823,1.1384,344.9842,4523
132,5967.9295,1.1078,352.1524,4620
133,5869.8870,1.1252,347.9025,4582
134,7089.0933,1.0227,359.1760,5106
135,5606.1903,1.1544,343.0242,4472
136,5715.0366,1.1427,346.5046,4520
137,6070.6678,1.1085,348.0794,4666
138,5676.0286,1.1498,345.4260,4506
139,5565.0448,1.1428,343.1486,4440
140,5263.8917,1.1794,342.4527,4325
141,6147.4108,1.1058,352.3529,4708
142,6648.2282,1.0710,352.5664,4924
143,7436.7055,0.9890,362.4168,5251
144,6953.8999,1.0315,354.3421,5040
145,5720.1963,1.1430,348.5885,4526
146,5883.2431,1.1163,348.7414,4581
147,5771.6704,1.1343,347.8953,4542
148,5948.1321,1.1261,347.1919,4621
149,6866.4088,1.0371,357.1234,5006
150,6257.5524,1.0994,350.5391,4754
151,6114.2528,1.1036,348.8689,4684
152,6397.9812,1.0826,354.2822,4813
153,6026.9698,1.1277,348.5613,4664
154,5593.5055,1.1534,347.2330,4471
155,5769.4128,1.1459,344.9444,4548
156,5670.4829,1.1538,345.3324,4507
157,5593.4625,1.1573,341.9771,4467
158,6157.5927,1.1030,349.4576,4706
159,5672.1976,1.1534,344.3352,4506
160,5595.0732,1.1499,344.4016,4464
161,6168.5849,1.1049,349.8661,4714
162,6253.4434,1.0950,352.1890,4750
163,5618.5717,1.1524,340.8913,4473
164,6624.6527,1.0623,354.2233,4906
165,6027.2407,1.1123,350.0608,4651
166,5884.2986,1.1336,346.8059,4596
167,6777.9829,1.0544,351.7373,4971
168,5894.8443,1.1337,345.2547,4599
169,6829.0447,1.0544,356.6860,5004
170,6260.9588,1.0941,352.2484,4753
171,6666.7827,1.0540,358.3796,4925
172,6603.0209,1.0536,355.8994,4889
173,6048.9440,1.1029,351.0953,4654
174,6406.1112,1.0873,351.7770,4818
175,6384.1014,1.0797,355.5133,4805
176,6386.3632,1.0806,350.8365,4800
177,6935.8590,1.0398,358.1761,5045
178,5893.0212,1.1286,346.5878,4595
179,6388.1736,1.0879,351.9884,4810
180,6825.2268,1.0504,355.3161,4996
181,5851.0546,1.1379,347.7002,4585
182,6442.3022,1.0696,355.5090,4824
183,6278.6208,1.1037,351.9846,4771
184,5858.7630,1.1296,346.7085,4579
185,6347.8810,1.0830,352.0210,4785
186,6508.5861,1.0676,356.0460,4856
187,6444.9457,1.0752,355.5673,4831
188,7145.2223,1.0213,360.0402,5134
189,6924.8840,1.0429,360.4121,5046
190,6133.6004,1.1103,350.6149,4703
191,6022.8706,1.1102,350.8931,4648
192,6101.5175,1.1042,350.6974,4681
193,7225.9770,1.0177,362.8892,5175
194,7259.5153,1.0120,360.1724,5182
195,6420.1571,1.0877,353.4528,4828
196,7052.5367,1.0236,360.0715,5090
197,6667.0978,1.0625,354.6451,4928
198,6479.0591,1.0853,350.1423,4850
199,6251.5885,1.0954,351.2021,4748
200,6485.1841,1.0731,355.5522,4849
201,6131.4146,1.1151,348.1133,4703
202,6114.3450,1.0973,350.3652,4680
203,5744.5045,1.1354,345.5353,4526
204,6484.9178,1.0804,350.0716,4848
205,7372.0036,1.0009,364.0742,5233
206,6947.6324,1.0289,360.2024,5043
207,6923.0973,1.0409,357.0451,5038
208,6662.5022,1.0572,355.7310,4922
209,6061.6455,1.1203,348.6132,4674
210,5913.7527,1.1166,349.0310,4597
211,6662.4179,1.0568,352.6837,4917
212,5772.9152,1.1353,350.1596,4547
213,6211.9902,1.0927,352.8825,4728
214,7065.7729,1.0309,358.8378,5102
215,6407.2883,1.0854,351.3235,4816
216,5855.1271,1.1331,344.1985,4577
217,6249.5753,1.0899,352.9004,4744
218,6485.2855,1.0727,353.7744,4846
219,6926.5044,1.0377,358.7162,5039
220,6722.1871,1.0594,354.3116,4952
221,6256.0734,1.0929,352.0398,4749
222,5913.5775,1.1175,351.1481,4601
223,6671.5063,1.0570,354.8317,4925
224,5767.3888,1.1397,347.0636,4544
225,6104.4651,1.1095,349.5278,4686
226,6434.3662,1.0746,354.7983,4824
227,6695.0330,1.0716,353.8946,4950
228,6406.2583,1.0915,352.2315,4823
229,6167.6828,1.0975,351.0949,4708
230,6325.3518,1.0812,354.1139,4775
231,6201.3652,1.1030,348.2085,4726
232,6732.8393,1.0636,355.2913,4963
233,7031.5932,1.0394,359.2249,5094
234,5952.1628,1.1200,348.6243,4619
235,6609.2911,1.0711,355.4941,4909
236,6582.4441,1.0819,354.5648,4905
237,6937.5872,1.0395,359.1148,5047
238,6371.5198,1.0936,351.7779,4807
239,6433.5636,1.0793,355.2735,4829
240,6427.2606,1.0791,354.1822,4824
241,6103.0891,1.1202,350.1821,4697
242,6428.9292,1.0900,351.0332,4831
243,7119.9853,1.0152,357.1779,5111
244,6282.3676,1.0955,350.1909,4762
245,6726.4337,1.0496,356.1550,4947
246,6370.0953,1.0940,349.9767,4804
247,6828.5730,1.0508,356.6139,5000
248,6308.8633,1.0827,353.9305,4768
249,5902.5155,1.1307,346.6816,4602
250,7088.8535,1.0221,354.9544,5099
251,6312.2057,1.0848,352.0646,4769
252,6588.0059,1.0624,356.3907,4891
253,7255.3305,1.0180,358.9087,5184
254,5800.8689,1.1250,349.0262,4549
255,5764.6374,1.1380,345.7543,4539
256,6479.7588,1.0845,354.3980,4856
257,6084.4221,1.1101,349.8063,4677
258,6151.0506,1.1045,351.3202,4707
259,6221.4701,1.0988,353.0048,4739
260,6117.4904,1.1179,350.9189,4703
261,5970.3737,1.1159,348.5921,4624
262,6110.8714,1.1049,351.8011,4688
263,6532.8840,1.0879,349.1147,4878
264,7044.2824,1.0358,358.0539,5095
265,5924.1897,1.1232,346.4642,4605
266,6658.1603,1.0509,356.7047,4915
267,6283.9099,1.0921,353.2944,4764
268,5601.8105,1.1569,344.8155,4475
269,6038.8733,1.1173,348.1673,4659
270,7002.1226,1.0341,357.8720,5072
271,6120.8269,1.1147,349.2818,4699
272,5951.8144,1.1241,349.3361,4624
273,6407.3642,1.0850,351.5629,4816
274,5802.3937,1.1293,348.3278,4553
275,7235.2337,1.0161,359.5220,5173
276,6888.5054,1.0278,359.9945,5012
277,6035.8469,1.1114,347.7860,4651
278,5884.8631,1.1246,347.9513,4589
279,6135.8435,1.1159,348.7911,4707
280,5175.9473,1.1881,338.6495,4284
281,7526.3266,0.9902,363.1021,5298
282,6209.8205,1.1026,351.6654,4735
283,6879.0470,1.0367,358.5357,5014
284,6388.8090,1.0833,352.8737,4807
285,5865.6500,1.1344,346.5393,4587
286,6504.0506,1.0720,355.9695,4858
287,6173.3938,1.1063,348.6712,4716
288,6651.9058,1.0649,352.0704,4919
289,6636.1188,1.0658,354.7480,4916
290,6644.1928,1.0596,354.2021,4913
291,7558.5156,0.9899,362.5434,5313
292,5823.1095,1.1378,345.1038,4567
293,6092.0289,1.1203,349.1274,4690
294,6671.1964,1.0601,354.8671,4928
295,5899.6811,1.1278,345.5577,4596
296,5934.8779,1.1331,346.3280,4620
297,7407.5568,0.9945,360.4621,5239
298,6251.9136,1.1039,352.0647,4758
299,6272.8524,1.0913,352.1568,4756
300,6521.9970,1.0711,354.5684,4864
301,6605.5013,1.0638,355.6124,4900
302,6861.1859,1.0426,357.2369,5009
303,6287.3154,1.0921,352.1560,4764
304,6145.1571,1.1103,349.4036,4707
305,6493.5112,1.0759,354.2629,4854
306,6338.6113,1.0841,349.7004,4778
307,6273.2311,1.0979,351.6358,4762
308,6081.5270,1.1042,346.0370,4664
309,6641.4079,1.0554,355.9192,4910
310,6265.0180,1.0826,351.9321,4743
311,6789.7508,1.0509,356.1636,4980
312,7105.8966,1.0285,361.0388,5123
313,6433.2413,1.0778,354.4047,4826
314,5827.2150,1.1317,347.7915,4567
315,6096.3724,1.1129,349.2680,4685
316,6067.3178,1.1138,350.3597,4673
317,6506.4414,1.0763,350.9840,4856
318,5911.6186,1.1286,345.7467,4603
319,6451.0330,1.0703,353.4408,4826
320,6521.0800,1.0876,351.9244,4876
321,6354.8349,1.0764,353.4863,4784
322,5408.2223,1.1591,344.5258,4380
323,6429.4302,1.0735,355.8520,4822
324,7404.2794,0.9906,363.5093,5238
325,6677.5908,1.0620,358.1674,4938
326,6268.5082,1.0873,352.2640,4750
327,6329.4402,1.0960,352.1609,4789
328,6513.5496,1.0694,353.2208,4856
329,6977.1496,1.0377,355.8390,5060
330,6978.3957,1.0306,358.7957,5058
331,6269.6617,1.0862,352.6733,4750
332,6990.2449,1.0279,358.6262,5061
333,7039.4578,1.0393,357.3023,5095
334,5822.7625,1.1285,350.7628,4566
335,6181.9183,1.1089,349.4091,4724
336,5952.6323,1.1273,344.9007,4621
337,5854.4481,1.1254,347.5987,4574
338,6453.3898,1.0766,355.1638,4836
339,6751.9405,1.0566,356.2745,4967
340,6021.9909,1.1175,348.3185,4651
341,6347.9615,1.0879,353.3820,4792
342,6174.3584,1.0988,350.7131,4712
343,5568.4822,1.1546,344.7741,4456
344,6383.4833,1.0801,354.0860,4803
345,6054.4811,1.1095,350.8273,4663
346,6239.5949,1.1017,349.6628,4746
347,6056.3870,1.1121,349.8055,4665
348,6652.5732,1.0635,356.1296,4924
349,6335.4518,1.0943,351.2848,4789
350,6369.6120,1.0890,354.1611,4805
351,5933.8211,1.1099,348.7763,4600
352,6097.9714,1.1140,353.3392,4693
353,7288.9279,1.0122,360.8701,5198
354,6301.6690,1.1009,350.8568,4778
355,6848.7028,1.0490,356.4592,5008
356,6845.6907,1.0510,358.1278,5011
357,6377.0144,1.0769,353.7264,4796
358,6147.8613,1.1100,350.6836,4710
359,6928.5134,1.0351,360.3993,5040
360,6319.2461,1.0915,348.5895,4774
361,6342.7074,1.0789,351.8070,4778
362,6514.2790,1.0757,353.4695,4863
363,6504.8551,1.0667,354.6125,4851
364,6226.7325,1.0969,355.8306,4744
365,6470.5530,1.0776,356.1119,4847
366,6100.8431,1.1089,349.7624,4684
367,6215.0545,1.1033,349.4182,4735
368,6866.9091,1.0394,356.1139,5007
369,5942.5651,1.1270,347.1484,4619
370,5869.7209,1.1213,351.8908,4584
371,6213.3047,1.0978,351.7219,4732
372,6778.4918,1.0576,357.4579,4983
373,6838.1719,1.0351,359.2187,4993
374,5832.0905,1.1340,349.3045,4574
375,6695.2422,1.0623,352.0793,4938
376,5891.1317,1.1184,347.3715,4585
377,6944.4311,1.0337,360.0576,5046
378,5938.5536,1.1308,346.6015,4620
379,5901.5572,1.1151,352.7640,4595
380,7098.4579,1.0337,356.7072,5118
381,6786.8718,1.0397,361.2458,4975
382,6020.8853,1.1072,348.9124,4641
383,6405.4164,1.0838,356.3479,4821
384,6901.3260,1.0449,358.2995,5033
385,6815.9409,1.0470,359.3321,4994
386,6231.9821,1.0961,350.6158,4738
387,6389.6474,1.0966,350.3921,4817
388,5909.3997,1.1194,345.9011,4593
389,7220.8012,1.0047,362.6169,5159
390,7236.1431,1.0040,361.9226,5165
391,6977.4016,1.0421,358.1135,5068
392,6291.7895,1.0968,353.5413,4773
393,6165.8212,1.0928,353.5071,4706
394,6711.9620,1.0463,355.1404,4935
395,5699.9582,1.1455,344.3463,4512
396,6132.5517,1.0997,350.7077,4692
397,6309.9845,1.0928,354.1167,4779
398,5626.4297,1.1617,342.7565,4489
399,6235.6431,1.0924,349.8288,4735
400,6572.6068,1.0632,354.3533,4881
401,6689.6189,1.0489,358.8522,4932
402,6488.9650,1.0890,352.3158,4862
403,7344.0054,1.0045,360.3539,5217
404,6493.4902,1.0794,353.9024,4857
405,6137.0163,1.1223,347.4448,4712
406,6385.7527,1.0772,353.2762,4800
407,5690.0840,1.1446,344.8981,4507
408,6998.9917,1.0359,361.0851,5077
409,7027.1631,1.0274,359.9966,5081
410,5713.9144,1.1458,346.1638,4522
411,5723.2654,1.1380,345.5826,4518
412,5834.4451,1.1354,346.2355,4572
413,5674.1107,1.1586,344.2395,4512
414,6195.2306,1.1006,351.2208,4725
415,6489.2747,1.0757,351.0868,4847
416,6154.8105,1.0983,351.5339,4703
417,5998.9156,1.1084,351.4307,4635
418,6526.3915,1.0675,354.8586,4863
