ep,reward,delay,energy,succ
0,4831.7021,1.2114,334.4892,4129
1,5353.7468,1.1825,337.0577,4365
2,5217.0687,1.1982,336.8503,4312
3,4957.8872,1.2104,337.0719,4195
4,5112.4638,1.2148,334.0006,4272
5,5392.7855,1.1706,343.3337,4382
6,5248.7069,1.1989,336.5116,4328
7,5566.9747,1.1704,344.0880,4470
8,5502.0192,1.1731,342.5730,4438
9,5438.7207,1.1876,342.6976,4421
10,5299.6633,1.1761,341.3615,4338
11,5524.6194,1.1645,344.7987,4444
12,5219.7721,1.1912,339.2708,4310
13,5675.6923,1.1491,343.3940,4502
14,5358.9834,1.1842,342.8774,4378
15,5970.9427,1.1356,349.9320,4646
16,5689.6585,1.1461,346.6967,4511
17,5372.1121,1.1696,342.8790,4370
18,5579.6578,1.1700,345.4728,4478
19,5168.7095,1.1923,339.5346,4286
20,5511.3799,1.1744,341.2403,4442
21,5695.5565,1.1528,347.6215,4522
22,6239.5809,1.1075,351.7953,4755
23,5640.0605,1.1538,348.1383,4496
24,5079.9996,1.2013,338.4997,4249
25,5122.8578,1.1866,342.6360,4262
26,5716.1324,1.1526,346.2173,4530
27,5621.9867,1.1506,347.5898,4483
28,5888.4440,1.1356,347.4668,4601
29,5731.1288,1.1569,346.3760,4542
30,5481.8232,1.1647,345.5788,4424
31,5884.0011,1.1351,349.9401,4602
32,5498.1487,1.1657,340.1521,4425
33,5315.1600,1.1901,341.5728,4360
34,5660.8680,1.1578,345.2102,4506
35,5225.1590,1.1881,339.5372,4310
36,5499.4283,1.1702,343.3979,4435
37,5712.1759,1.1597,342.8177,4530
38,5516.4583,1.1645,344.8770,4440
39,5759.9048,1.1430,350.0142,4548
40,5491.1421,1.1821,339.5438,4437
41,5424.9085,1.1747,345.9119,4406
42,5603.7663,1.1705,343.7187,4488
43,5977.3197,1.1357,349.1254,4648
44,5007.8470,1.2117,337.5598,4222
45,5284.2962,1.1936,338.8431,4344
46,6054.6999,1.1300,347.0732,4678
47,5379.8738,1.1762,341.9160,4379
48,5319.2586,1.1868,342.4024,4360
49,6107.3810,1.1173,347.3148,4692
50,5163.9598,1.2005,339.6531,4292
51,5665.1832,1.1564,343.3528,4504
52,5780.1544,1.1534,346.3770,4563
53,5676.4725,1.1494,346.8933,4508
54,6556.3666,1.0939,350.6412,4898
55,6358.2197,1.1063,351.0549,4812
56,5700.0675,1.1497,350.1670,4525
57,6095.8694,1.1160,348.0505,4686
58,5587.7212,1.1598,342.2207,4467
59,6326.3078,1.1038,348.7048,4790
60,5614.9716,1.1517,343.2076,4474
61,5543.8659,1.1616,344.9888,4451
62,6021.2664,1.1198,349.6891,4655
63,5971.7910,1.1351,348.6596,4644
64,5485.3210,1.1809,341.6213,4436
65,5793.8985,1.1489,345.4292,4564
66,5339.1493,1.1846,339.9011,4364
67,5185.0386,1.2046,337.2785,4303
68,5488.0796,1.1654,343.0384,4424
69,5586.7451,1.1609,346.4826,4474
70,5675.3520,1.1612,343.4476,4514
71,5700.9135,1.1519,347.7725,4524
72,5733.0283,1.1558,346.4848,4542
73,6048.3218,1.1316,347.5257,4677
74,5414.1471,1.1820,343.2770,4404
75,5778.7882,1.1476,345.3515,4555
76,5236.6850,1.1893,341.5807,4320
77,5622.8097,1.1573,345.5088,4487
78,5561.7492,1.1615,343.1088,4457
79,5086.3343,1.2066,338.8481,4258
80,5591.3267,1.1629,344.2636,4475
81,5657.1503,1.1543,344.7825,4500
82,6001.9099,1.1279,352.0882,4657
83,5618.5091,1.1648,343.9716,4490
84,5232.5269,1.1916,340.7545,4319
85,5918.6600,1.1302,349.6524,4614
86,5779.6260,1.1457,348.3407,4558
87,6046.0176,1.1253,347.1200,4669
88,6463.1612,1.0992,352.8116,4860
89,5879.9709,1.1351,347.2955,4596
90,5159.3465,1.1880,340.9037,4279
91,5329.4340,1.1791,344.1268,4360
92,6042.8595,1.1286,347.9660,4672
93,5864.1202,1.1336,347.5577,4587
94,5865.6458,1.1474,346.5129,4600
95,5830.3723,1.1457,344.0637,4577
96,5684.1239,1.1554,341.7219,4510
97,5880.8591,1.1321,346.9597,4593
98,5887.3262,1.1402,346.0873,4603
99,6103.4738,1.1191,348.7930,4694
100,6439.9493,1.0999,350.0913,4845
101,5211.6885,1.1816,339.7194,4297
102,5682.9089,1.1551,348.3116,4519
103,5546.7976,1.1675,342.0723,4454
104,5363.6923,1.1823,339.9336,4374
105,5932.4154,1.1385,350.2239,4630
106,5919.1547,1.1333,349.4300,4617
107,5630.6224,1.1637,344.6889,4496
108,5544.9361,1.1652,345.5846,4456
109,5984.1300,1.1327,348.1499,4647
110,5657.7613,1.1543,343.8823,4499
111,5509.3119,1.1744,342.6309,4443
112,5735.3674,1.1521,344.1420,4536
113,6068.3517,1.1217,350.7792,4682
114,5675.2655,1.1484,345.9570,4505
115,5516.3605,1.1656,340.1445,4434
116,5366.3273,1.1800,341.2489,4375
117,5500.7736,1.1710,341.7163,4434
118,6036.4823,1.1205,347.5281,4660
119,5623.5973,1.1576,344.4125,4486
120,5634.9421,1.1590,343.6748,4492
121,5238.9680,1.1949,337.0541,4320
122,5635.2188,1.1508,347.0764,4489
123,5316.8708,1.1872,337.6026,4352
124,5418.3338,1.1662,344.4513,4392
125,6162.5512,1.1178,348.6060,4722
126,5419.2519,1.1819,342.2969,4405
127,5758.8709,1.1379,349.1054,4541
128,5422.2528,1.1694,341.6184,4393
129,5705.6420,1.1468,347.5574,4521
130,5366.4669,1.1738,341.9966,4370
131,6122.6791,1.1119,351.8483,4701
132,5802.5902,1.1494,345.5184,4569
133,6042.9560,1.1286,349.9596,4675
134,6301.6877,1.1040,352.0975,4783
135,6030.8568,1.1245,350.7124,4666
136,5683.7800,1.1562,345.9322,4517
137,6230.0852,1.1032,351.1695,4745
138,5545.9691,1.1639,341.3981,4449
139,6131.4913,1.1199,348.9353,4709
140,5629.0639,1.1576,345.9160,4491
141,5689.3924,1.1545,345.8470,4518
142,5659.6412,1.1528,345.5755,4501
143,5725.7146,1.1503,345.8773,4532
144,6179.4239,1.1140,347.4961,4725
145,5355.1457,1.1696,342.5546,4361
146,5659.9458,1.1550,346.0048,4504
147,5441.6619,1.1657,342.9880,4401
148,5002.0271,1.2142,335.8483,4219
149,5807.6195,1.1517,342.3351,4569
150,5469.9856,1.1742,341.2024,4421
151,5462.5085,1.1551,345.1243,4404
152,5636.7644,1.1566,344.6673,4492
153,5661.0392,1.1583,344.7759,4506
154,6092.0993,1.1200,351.9722,4694
155,6610.6659,1.0883,350.2384,4919
156,6132.1554,1.1162,350.5078,4708
157,6533.7816,1.0858,351.5253,4880
158,5323.2966,1.1852,340.7799,4358
159,5730.0874,1.1563,341.7414,4534
160,5519.6194,1.1716,344.4166,4448
161,5975.8668,1.1263,349.1575,4638
162,5455.7691,1.1753,340.5203,4414
163,5415.5519,1.1803,339.9367,4398
164,5237.1730,1.1968,336.4370,4320
165,5360.6948,1.1749,341.1486,4367
166,5198.6121,1.1903,339.6259,4299
167,5168.7425,1.1839,341.7991,4281
