ep,reward,delay,energy,succ
0,5167.3278,1.1881,343.4752,4287
1,5061.0340,1.2048,338.4853,4243
2,4939.5040,1.2012,341.3650,4183
3,5196.7304,1.1859,344.4767,4301
4,4862.7346,1.2198,338.5350,4159
5,5036.8173,1.2126,338.6498,4239
6,5013.1489,1.1987,339.7957,4215
7,5321.4788,1.1807,345.0325,4359
8,4948.2271,1.2091,337.8491,4190
9,5158.3029,1.1987,340.1300,4288
10,5255.6695,1.1948,341.6023,4335
11,5065.4559,1.2047,338.3625,4245
12,4878.1899,1.2179,339.3086,4166
13,4918.1643,1.2130,338.5969,4180
14,5209.9661,1.1963,341.7997,4314
15,5067.8633,1.2066,339.0107,4249
16,4989.2537,1.2041,340.8582,4210
17,4991.4649,1.2067,341.0223,4214
18,4880.3516,1.2030,340.5593,4154
19,5188.7829,1.1961,342.3662,4304
20,5159.6172,1.1907,341.0198,4282
21,5229.4326,1.1928,342.9676,4322
22,5155.2496,1.1878,343.0250,4280
23,4827.4491,1.2139,340.9214,4139
24,5401.2776,1.1701,345.5068,4389
25,5212.3456,1.1896,340.1398,4306
26,4780.6716,1.2227,336.6722,4118
27,5007.6553,1.2061,340.0223,4220
28,5526.3168,1.1621,347.8213,4447
29,5380.4559,1.1714,347.5725,4383
30,4946.2858,1.2164,338.9866,4198
31,5221.4923,1.1899,341.5372,4313
32,5283.7156,1.1808,344.8679,4340
33,5111.0183,1.1982,341.5305,4266
34,5463.6594,1.1628,346.9021,4415
35,5103.9372,1.2016,341.5993,4266
36,5173.8320,1.1908,342.1588,4291
37,5102.6028,1.2055,339.4525,4266
38,5061.1054,1.2135,338.6067,4252
39,5221.6513,1.1813,342.5594,4306
40,5320.9060,1.1863,342.8257,4361
41,5149.9134,1.1985,339.6724,4283
42,5187.3641,1.1892,342.0870,4296
43,5052.8187,1.2064,339.4521,4242
44,5110.0844,1.2117,338.1426,4274
45,5202.2994,1.2072,339.7808,4318
46,5041.2111,1.2006,340.5587,4232
