ep,reward,delay,energy,succ
0,5636.2584,1.1498,342.7421,4482
1,5288.9219,1.1903,336.8402,4340
2,5322.8936,1.1841,338.9461,4354
3,5376.1579,1.1727,339.5046,4370
4,5354.9924,1.1595,341.3580,4349
5,5152.7178,1.1819,338.4974,4266
6,5567.3888,1.1625,343.1898,4461
7,5148.1247,1.1948,336.1080,4273
8,5266.5532,1.1856,338.7424,4327
9,5779.4562,1.1412,344.0749,4547
10,5427.9400,1.1576,342.3155,4385
11,5830.2178,1.1381,344.5079,4570
12,5419.4671,1.1690,339.5329,4388
13,5628.5465,1.1496,344.7237,4481
14,5896.4177,1.1149,346.6082,4583
15,5857.4491,1.1294,345.2318,4576
16,5803.2841,1.1483,343.3523,4565
17,6107.1177,1.1113,348.7499,4688
18,5627.0324,1.1553,341.4255,4481
19,5744.1673,1.1417,342.7972,4528
20,5453.8106,1.1623,339.1690,4398
21,6000.7641,1.1215,345.4398,4640
22,5806.7292,1.1261,347.6631,4551
23,5287.3657,1.1709,338.2785,4322
24,6012.4557,1.1082,347.7427,4636
25,5655.6748,1.1407,344.9950,4486
26,5538.0656,1.1602,341.2056,4441
27,5297.0302,1.1818,339.8072,4340
28,5525.0167,1.1567,343.1701,4434
29,5478.2026,1.1677,340.1629,4417
30,5995.9256,1.1138,348.1518,4634
31,5536.4742,1.1695,340.1720,4448
32,5399.9177,1.1657,337.5759,4372
33,5337.8154,1.1787,338.8998,4356
34,5717.2378,1.1339,343.6227,4508
35,6070.3505,1.1182,346.4330,4673
36,5555.8511,1.1562,342.6058,4448
37,5554.8441,1.1559,341.8135,4446
38,5093.5825,1.1926,335.7640,4243
39,5610.1967,1.1487,342.8154,4468
40,6107.3955,1.1221,344.1370,4692
41,5837.8421,1.1246,348.2879,4566
42,5228.9758,1.1838,337.1531,4304
43,6162.8075,1.1030,348.4011,4707
44,5821.8844,1.1366,342.9744,4562
45,5997.9654,1.1128,346.8401,4632
46,5687.0025,1.1469,342.4234,4504
47,5407.7402,1.1715,338.4208,4383
48,5178.8356,1.1877,338.5940,4285
49,6332.2842,1.0785,351.5957,4772
50,5774.7879,1.1347,344.5842,4539
51,6491.5112,1.0833,349.3204,4853
52,5630.7052,1.1506,341.3820,4478
53,5293.2864,1.1837,337.1306,4336
54,6300.1507,1.0956,348.2164,4768
55,6310.9539,1.0966,347.9255,4774
56,5241.5988,1.1822,340.0000,4313
57,5186.9669,1.1840,336.3463,4282
58,6704.0226,1.0532,353.8921,4936
59,5888.1352,1.1380,343.2968,4597
60,5011.6609,1.1985,336.4425,4209
61,5477.3629,1.1656,340.4553,4415
62,5347.9134,1.1786,338.2630,4360
63,5581.5584,1.1546,342.4296,4459
64,5731.4651,1.1441,342.7931,4524
65,5165.7266,1.1862,337.2651,4275
66,6451.8647,1.0852,350.5582,4837
67,5910.2053,1.1351,343.2196,4605
68,5294.7336,1.1891,336.3812,4341
69,6082.7762,1.1019,347.8076,4665
70,5854.8029,1.1265,344.0577,4570
71,6263.3876,1.0975,349.8438,4754
72,6011.3256,1.1107,345.7283,4635
73,5189.2745,1.1851,336.8210,4285
74,5642.8144,1.1405,341.3620,4474
75,5836.0915,1.1257,344.8402,4561
76,5298.3913,1.1797,338.0463,4336
77,6799.1004,1.0589,353.6958,4989
78,5715.3211,1.1372,345.4188,4513
79,6724.1825,1.0503,354.4355,4944
80,6020.3670,1.1164,347.6284,4648
81,5762.7566,1.1356,344.0405,4533
82,5489.8688,1.1709,338.7640,4424
83,6475.0335,1.0764,352.0388,4842
84,5534.8920,1.1564,342.1104,4437
85,5542.0620,1.1659,338.6891,4445
86,5792.7802,1.1397,344.6386,4553
87,6291.7499,1.0969,347.4935,4764
88,5350.8038,1.1751,339.6322,4360
89,5512.1955,1.1614,339.0119,4426
90,5769.5192,1.1305,345.1610,4533
91,5833.6550,1.1333,343.2694,4565
92,5658.0433,1.1472,342.5418,4490
93,5534.9190,1.1627,341.2577,4442
94,5135.0682,1.2014,335.4080,4272
95,5576.1526,1.1584,341.0085,4458
96,5010.2786,1.2059,334.6450,4213
97,6247.4952,1.1032,348.0246,4749
98,5926.7804,1.1147,345.2704,4596
99,5782.2267,1.1358,341.4036,4539
100,6045.8687,1.1216,345.6588,4663
101,5763.3955,1.1375,341.8642,4532
102,5998.3411,1.1248,343.3683,4639
103,5387.0277,1.1666,337.8975,4367
104,6195.1955,1.0934,349.3617,4715
105,5922.7354,1.1295,340.1201,4601
106,6118.1743,1.1122,344.4637,4688
107,5817.8904,1.1289,344.0961,4554
108,5750.1670,1.1442,341.7918,4532
109,6416.2080,1.0817,349.4789,4814
110,5656.7495,1.1441,343.0078,4487
111,5733.8468,1.1456,340.9902,4524
112,5433.8513,1.1613,339.8814,4388
113,6253.0349,1.1090,346.3522,4755
114,6165.5789,1.1040,348.8346,4710
115,5903.6941,1.1321,340.7226,4595
116,5686.2961,1.1517,342.1266,4508
117,5759.4730,1.1395,342.5131,4533
118,6398.6225,1.0863,351.6253,4813
119,6324.0963,1.0885,349.6170,4775
120,5337.5163,1.1692,340.0140,4348
121,6188.0213,1.0967,350.1894,4716
122,6403.7859,1.0851,347.3326,4808
123,6276.5863,1.1009,347.2373,4760
124,5406.1494,1.1687,336.8277,4377
125,5814.9890,1.1299,345.0992,4555
126,6709.5884,1.0646,350.4232,4945
127,5463.8674,1.1707,336.9197,4408
128,6191.5228,1.1107,346.3612,4726
129,5701.7505,1.1343,344.5552,4502
130,5454.5543,1.1661,338.4329,4401
131,5342.2175,1.1818,337.4028,4359
132,5470.4919,1.1524,341.5853,4400
133,6071.2219,1.1139,345.6495,4668
134,6750.1155,1.0483,355.0869,4956
135,6181.8980,1.0979,349.4292,4713
136,6799.5979,1.0514,353.1689,4981
137,6096.5713,1.1092,346.3236,4677
138,6316.1358,1.1009,349.9962,4784
139,5585.6875,1.1483,339.9114,4451
140,4938.4058,1.2138,327.3366,4174
141,6394.4707,1.0848,349.2933,4806
142,5944.9771,1.1216,347.9663,4616
143,5329.5163,1.1754,335.9236,4344
144,6483.6110,1.0738,352.2906,4844
145,6593.4713,1.0633,351.2984,4887
146,5895.8874,1.1236,344.9381,4589
147,5608.5786,1.1436,342.7680,4462
148,5644.5584,1.1370,343.1578,4474
149,5777.5997,1.1403,341.9164,4542
150,5952.1489,1.1200,345.9540,4615
151,6074.0978,1.1207,346.1525,4677
152,5828.9210,1.1344,342.1027,4562
153,6492.2289,1.0757,350.8034,4848
154,6505.1934,1.0795,351.2661,4859
155,6789.6638,1.0500,353.4210,4975
156,6302.1249,1.0953,349.7724,4771
157,6415.3671,1.0942,348.0746,4824
158,5841.3338,1.1403,342.0023,4574
159,6160.9258,1.1200,343.0209,4715
160,6020.3406,1.1154,344.2924,4642
161,7080.8162,1.0268,355.8478,5101
162,5637.6676,1.1404,341.1883,4471
163,5774.0408,1.1405,342.9671,4542
164,5838.9124,1.1500,342.3954,4583
165,6072.1113,1.1256,343.5358,4677
166,5818.0742,1.1338,342.1246,4556
167,6170.5755,1.1048,345.9163,4709
168,5137.2222,1.1992,332.1352,4266
169,5927.2591,1.1255,345.8897,4608
170,5514.4632,1.1662,339.0618,4432
171,5554.6911,1.1613,338.2344,4446
172,6094.6359,1.1124,345.5173,4678
173,6147.0537,1.0960,346.9698,4690
174,5588.3148,1.1554,337.6612,4456
175,6130.2585,1.1091,347.1609,4695
176,6919.4198,1.0352,357.3615,5031
177,6438.7360,1.0932,347.6546,4834
178,6380.3123,1.0845,350.2625,4800
179,5505.0256,1.1531,342.9443,4420
180,5556.3854,1.1551,339.7911,4443
181,4659.5260,1.2334,328.5811,4056
182,5961.2025,1.1293,344.0545,4626
183,6158.4042,1.1039,348.5901,4706
184,6159.1332,1.1193,346.0596,4718
