ep,reward,delay,energy,succ
0,5215.7562,1.1926,336.9852,4306
1,5101.9554,1.2022,336.5694,4258
2,5032.5462,1.2099,335.1871,4229
3,5204.9927,1.1988,337.1352,4307
4,5159.8942,1.1861,336.6443,4271
5,5464.3945,1.1701,340.4503,4413
6,4966.5383,1.2072,335.0139,4193
7,4988.3117,1.2121,335.1833,4209
8,5167.7057,1.1966,336.3578,4285
9,5247.4840,1.1890,337.4763,4319
10,4961.0175,1.1978,337.1156,4184
11,4888.0927,1.2194,332.3630,4162
12,4998.5943,1.2059,335.1821,4208
13,4785.6636,1.2172,335.3089,4113
14,4946.3625,1.2182,331.7490,4189
15,4848.0898,1.2245,332.9924,4148
16,5335.9245,1.1781,339.9825,4356
17,5094.7814,1.2039,334.4496,4253
18,5194.1819,1.1905,336.3014,4292
19,5477.7444,1.1732,338.5873,4420
20,5616.4350,1.1562,340.4216,4475
21,5247.6162,1.1994,335.2069,4326
22,4763.1674,1.2251,334.1964,4108
23,5497.9408,1.1715,340.3550,4431
24,5376.2533,1.1839,337.9758,4379
25,5092.2692,1.2077,334.7914,4256
26,4745.3986,1.2211,333.4624,4094
27,5124.0418,1.1967,336.1990,4263
28,4993.4187,1.2030,334.1616,4201
29,5116.1362,1.1890,337.2732,4253
30,5173.3279,1.1926,337.1387,4285
31,5060.0057,1.2096,333.6249,4240
32,5182.0197,1.1838,338.1510,4282
33,5374.0237,1.1783,339.7969,4375
34,5425.5333,1.1841,340.7539,4408
35,4854.8890,1.2205,334.0619,4149
36,5216.0594,1.1936,336.8820,4307
37,5066.9497,1.2078,334.5073,4243
38,5275.2889,1.1826,339.1855,4329
39,5444.6790,1.1863,338.2690,4416
40,4762.1183,1.2174,335.7067,4102
41,5015.9387,1.2027,336.2221,4215
42,4984.4427,1.2184,333.5655,4211
43,5086.5081,1.1975,336.8247,4246
44,5440.6676,1.1716,341.4105,4404
45,5020.5101,1.2114,333.5750,4222
46,5172.8029,1.1905,336.7140,4282
47,5084.6019,1.2057,335.3119,4251
48,5246.3542,1.1864,338.9475,4318
49,4876.1380,1.2230,331.9545,4159
50,4965.0821,1.2152,334.8430,4200
51,5295.2578,1.1827,337.8130,4337
