ep,reward,delay,energy,succ
0,260.0000,1.1556,81.6701,26
1,180.0000,1.4260,81.3693,18
2,260.0000,1.1027,81.5343,26
3,270.0000,1.2342,81.3784,27
4,280.0000,1.2898,81.4467,28
5,250.0000,1.2026,81.2765,25
6,260.0000,1.2528,81.4886,26
7,280.0000,1.3410,81.2413,28
8,200.0000,1.3008,81.4890,20
9,310.0000,1.1454,81.5592,31
10,370.0000,1.0549,82.3637,37
11,350.0000,1.1512,81.6867,35
12,270.0000,1.2229,81.3050,27
13,330.0000,0.9523,82.7555,33
14,310.0000,1.0738,82.2368,31
15,360.0000,1.0155,82.4439,36
16,310.0000,1.0861,82.2522,31
17,430.0000,0.7291,83.4824,43
18,350.0000,0.8933,83.3133,35
19,280.0000,1.2285,82.5954,28
20,290.0000,1.1404,82.4608,29
21,350.0000,0.9465,82.0932,35
22,360.0000,0.8360,83.1037,36
23,330.0000,1.0396,82.3518,33
24,360.0000,0.9576,82.2331,36
25,290.0000,1.0925,81.9678,29
26,410.0000,0.8480,82.5457,41
27,320.0000,1.1137,81.9576,32
28,380.0000,1.0073,82.8532,38
29,320.0000,1.0089,82.1220,32
30,320.0000,1.0265,81.9157,32
31,270.0000,1.0841,82.8532,27
32,250.0000,1.2484,81.7271,25
33,340.0000,1.0974,81.7931,34
34,250.0000,1.2021,82.0329,25
35,340.0000,0.9866,82.8884,34
36,370.0000,1.0251,82.5239,37
37,280.0000,1.0964,82.0594,28
38,390.0000,0.9755,82.0519,39
39,290.0000,1.1486,82.0002,29
40,300.0000,1.1084,82.0956,30
41,230.0000,1.2230,81.5545,23
42,300.0000,1.0520,81.9764,30
43,340.0000,1.0076,82.3383,34
44,250.0000,1.1790,82.2807,25
45,240.0000,1.1056,81.9159,24
46,260.0000,1.1868,81.8761,26
47,310.0000,1.0705,81.7709,31
48,290.0000,1.0750,81.7018,29
49,340.0000,0.9725,82.0483,34
50,340.0000,1.0896,82.1499,34
51,340.0000,1.1584,81.8563,34
52,290.0000,1.1373,81.8593,29
53,300.0000,1.1633,81.9444,30
54,300.0000,1.0699,82.2393,30
55,230.0000,1.2263,81.8409,23
56,340.0000,0.9913,82.7451,34
57,310.0000,1.1594,81.5785,31
58,270.0000,1.1861,81.9134,27
