ep,reward,delay,energy,succ
0,-69016.3169,2.3960,335.2288,722
1,-68225.1968,2.3877,333.5533,761
2,-67401.3726,2.3703,336.8421,804
3,-68294.2476,2.4038,332.7420,757
4,-66745.0358,2.3849,331.2234,834
5,-68913.6216,2.4218,332.9350,726
6,-69372.8288,2.4235,329.4577,701
7,-64911.9700,2.3315,338.6815,930
8,-64487.7053,2.3228,341.8131,953
9,-67452.6517,2.3990,337.9094,802
10,-68701.8682,2.4045,335.7627,738
11,-68348.8537,2.4457,334.0162,755
12,-65070.8649,2.3384,340.4645,923
13,-65725.3659,2.3418,338.4163,889
14,-69741.9828,2.4415,332.2546,684
15,-65547.0503,2.3344,340.3918,899
16,-68323.1916,2.4077,337.7071,758
17,-68206.8580,2.4144,337.8029,764
18,-66199.7867,2.3898,337.9044,865
19,-67645.0379,2.3726,335.3049,791
20,-65385.1630,2.3279,338.0966,906
21,-69033.2043,2.3812,337.0835,722
22,-65455.3313,2.3363,341.0372,904
23,-67302.4032,2.4100,334.9169,808
24,-66662.9450,2.3581,338.6220,842
25,-68470.9088,2.4211,336.4176,750
26,-67813.8374,2.3964,336.1525,783
27,-67667.3799,2.3890,335.6077,790
28,-68424.0920,2.3996,335.7964,752
29,-65808.1254,2.3247,338.8040,885
30,-68810.1006,2.4134,334.6230,732
31,-69219.0496,2.4095,335.8525,712
32,-67684.6884,2.3620,339.1645,791
33,-66913.7043,2.3652,337.7791,829
34,-65556.0793,2.3256,339.3912,898
35,-68900.4149,2.3945,335.7205,728
36,-67362.4233,2.3736,335.1283,805
37,-67406.8616,2.4037,333.3490,802
38,-64336.9021,2.3183,336.5620,958
39,-65054.0722,2.3335,337.0964,922
40,-67589.9037,2.3720,335.7993,794
41,-66005.7663,2.3411,336.8192,874
42,-66880.6551,2.3288,338.6196,831
43,-65526.8396,2.3064,338.3040,899
44,-67712.1989,2.3847,334.2178,787
45,-65457.9349,2.3344,337.3491,902
46,-65224.1977,2.3285,335.9583,913
47,-67056.9801,2.3748,332.3743,819
48,-66090.0382,2.3390,335.2437,869
49,-66840.6201,2.3546,334.6181,831
50,-67765.8568,2.3794,333.6087,784
51,-65936.1335,2.3433,337.5476,878
52,-66069.3722,2.3498,334.9849,870
53,-67089.7500,2.3436,335.6317,819
54,-69063.4143,2.4211,330.0642,717
55,-63926.3729,2.3157,337.3478,979
56,-67435.3809,2.3764,334.2615,801
57,-68855.5669,2.3856,333.0339,729
58,-68581.7548,2.3899,333.5438,743
59,-64904.0356,2.3112,337.5842,930
60,-70836.3717,2.4564,330.4074,628
61,-68193.2711,2.3837,334.4385,763
62,-66042.1016,2.2963,340.2448,874
63,-69033.0691,2.4029,332.8786,720
64,-68726.6598,2.3884,334.3407,736
65,-69452.6159,2.4056,333.2486,699
66,-68101.1668,2.3955,333.2342,767
67,-66917.1775,2.3550,336.1256,828
68,-65846.0790,2.3326,336.5870,882
69,-68977.2688,2.3838,335.3168,724
70,-67681.4799,2.3781,334.8509,789
71,-68702.6197,2.3456,335.7572,738
72,-67650.2457,2.3456,336.0598,791
73,-69020.6162,2.3682,335.6132,722
74,-69587.6358,2.4247,332.8294,692
75,-65285.4619,2.3228,338.0386,911
76,-68933.9440,2.4074,333.0257,725
77,-69683.9212,2.3844,334.4210,688
78,-69556.7084,2.3980,333.6714,694
79,-65350.3554,2.2849,340.4279,909
80,-65348.2362,2.3129,338.1625,908
81,-68172.3489,2.3787,334.3711,764
82,-66389.4183,2.3413,335.0238,854
83,-69733.2266,2.4106,333.3010,685
84,-67369.9857,2.3672,335.5610,805
85,-67498.5097,2.3396,334.6873,798
86,-65017.5837,2.2845,339.0149,925
87,-68777.0029,2.3773,333.2760,733
88,-66275.9469,2.3340,335.6210,860
89,-66944.0090,2.3574,334.8182,826
90,-65962.7123,2.3560,334.1523,875
91,-67718.1189,2.3614,334.7223,787
92,-63673.2248,2.2722,339.7686,993
93,-68962.9849,2.4176,331.7930,723
94,-66999.7678,2.3477,336.3500,824
95,-66595.9917,2.3212,336.0752,844
96,-67291.0126,2.3554,335.7020,809
97,-67310.1730,2.3885,333.8020,807
98,-65536.0597,2.3495,335.0544,897
99,-68169.5444,2.3773,334.0126,764
100,-67260.5367,2.3952,332.6156,809
101,-67630.6173,2.3732,331.9529,790
102,-66442.3331,2.3628,334.2815,851
103,-66326.4404,2.3499,334.6515,857
104,-66067.2942,2.3403,336.4969,871
105,-68127.5014,2.3490,335.7779,767
106,-67269.1504,2.3830,333.5950,809
107,-65746.8991,2.3324,334.2864,886
108,-65589.5354,2.3376,334.6447,894
109,-67322.0224,2.3921,332.7150,806
110,-66947.8775,2.3462,335.2066,826
111,-67527.5118,2.3616,335.6190,797
112,-68913.3965,2.4115,330.9885,725
113,-66943.1306,2.3180,336.8230,827
114,-67512.5414,2.3540,336.0578,798
115,-66398.4411,2.3219,335.9468,854
116,-65301.0482,2.2895,339.5701,911
117,-67769.2351,2.3452,333.8158,784
118,-64449.1311,2.2963,337.7832,953
119,-66283.6694,2.3162,336.4728,860
120,-66620.2607,2.3189,336.3655,843
121,-64996.3789,2.3089,336.7002,925
122,-68111.1834,2.3713,334.2995,767
123,-65350.0360,2.3392,336.4019,907
124,-67190.2326,2.3473,335.7195,814
125,-67213.2637,2.3740,333.8411,812
126,-68490.3757,2.3866,334.2600,748
127,-69262.1690,2.4174,331.9359,708
128,-68495.1997,2.3931,332.7693,747
129,-68981.8624,2.3734,333.9354,723
130,-65107.0338,2.3118,337.9285,920
131,-66217.0365,2.3253,337.6042,864
132,-67644.2230,2.3298,335.5381,791
133,-68617.0150,2.4057,333.1353,741
134,-64567.1282,2.2722,339.8289,948
135,-66733.5177,2.3553,333.7763,836
136,-66795.6333,2.3278,336.2043,834
137,-67862.4016,2.3564,335.3589,780
138,-67176.9766,2.3598,334.3977,814
139,-68510.2739,2.3642,334.2194,747
140,-67599.6478,2.3666,334.8577,793
141,-66812.9863,2.3776,333.7000,832
142,-63485.1303,2.2635,339.1779,1002
143,-68023.1849,2.3830,335.2007,772
144,-68078.8707,2.3751,332.8150,768
145,-67623.3361,2.3531,337.1337,793
146,-64943.4035,2.2908,337.8140,928
147,-67331.8988,2.3696,333.7459,806
148,-69595.1493,2.4164,333.6371,692
149,-68861.5657,2.3915,331.6797,728
150,-66263.6821,2.3545,336.2380,861
151,-69820.3272,2.4056,334.1004,681
152,-69800.4494,2.4219,332.2133,681
153,-68286.3656,2.3809,333.8406,758
154,-65827.0666,2.3069,336.6290,883
155,-68149.4024,2.4020,333.8889,765
156,-67175.9825,2.3347,336.1130,815
157,-69309.5573,2.4085,332.7116,706
158,-67445.7851,2.3823,333.3072,800
159,-68047.6348,2.3731,333.8976,770
160,-68197.4754,2.3745,334.7472,763
161,-66430.2226,2.3274,335.1549,852
162,-65510.9852,2.3219,336.8732,899
163,-69719.6944,2.4102,332.1685,685
164,-68499.3252,2.3852,335.3616,748
165,-67344.3041,2.3819,332.9616,805
166,-67851.9080,2.3518,334.3195,780
167,-67755.9947,2.3584,334.6605,785
168,-66557.6673,2.3088,338.1146,847
169,-64626.2955,2.2925,339.6245,945
170,-68146.9491,2.3936,333.6829,765
171,-68357.3915,2.3609,336.8779,756
172,-68713.3048,2.3784,332.9204,736
173,-63738.1079,2.2881,338.4206,989
174,-68172.1961,2.3854,332.5059,763
175,-68787.9051,2.4202,330.3990,731
176,-69083.1148,2.4217,330.1037,716
177,-65391.8877,2.3309,334.7400,904
178,-66854.4207,2.3510,335.8505,831
179,-66247.3033,2.3409,334.8694,861
180,-65016.9234,2.2883,338.6956,925
181,-68000.2875,2.3865,333.0280,772
182,-67186.5745,2.3691,333.1254,813
183,-66139.4557,2.3250,335.9579,867
184,-65621.0231,2.3364,334.0919,892
185,-65876.1093,2.3266,333.5223,879
186,-67448.2262,2.3575,333.7094,800
187,-66748.2768,2.3489,333.1266,835
188,-65393.8398,2.3224,336.8333,905
189,-64082.2992,2.2947,337.0681,971
190,-67602.2609,2.3651,333.3332,792
191,-68310.6800,2.3933,334.3457,757
192,-66224.3426,2.3178,336.8575,863
193,-65987.9396,2.3617,332.6450,873
194,-67920.6506,2.3806,332.9183,776
195,-66136.6763,2.3533,335.5331,867
196,-65075.3417,2.3335,336.8646,921
197,-64679.6129,2.2822,339.1576,942
198,-67069.5178,2.3646,333.4393,819
199,-65815.6435,2.3178,337.5136,884
200,-64839.1720,2.3195,335.2580,932
201,-66324.3006,2.3256,336.5441,858
202,-67670.3511,2.3712,333.8490,789
203,-67255.9153,2.3434,336.4658,811
204,-67750.8803,2.3670,333.9991,785
205,-66074.6800,2.3242,337.4105,871
206,-68206.0200,2.3631,333.8463,762
207,-66682.3958,2.3288,334.5080,839
208,-67912.4194,2.3680,332.3723,776
209,-68320.6864,2.3913,333.5008,756
210,-67100.8533,2.3509,334.3216,818
211,-67477.7680,2.3624,334.6716,799
212,-66925.9908,2.3534,332.9434,826
213,-69364.5582,2.4071,332.3150,703
214,-64867.0791,2.2770,338.1711,932
215,-64170.1816,2.2912,337.8173,967
216,-64811.9223,2.3329,334.3970,933
217,-68349.8839,2.3904,334.2811,755
218,-68749.7538,2.3830,334.6914,735
219,-66060.2977,2.3239,335.9807,871
220,-66112.5254,2.3652,335.1114,868
221,-66825.1347,2.3551,335.0113,832
222,-65991.2407,2.3208,337.1877,875
223,-69163.3470,2.3779,334.1896,714
224,-68243.0402,2.3366,335.4491,761
225,-69786.2656,2.4076,332.6919,682
226,-69129.1245,2.4178,330.8462,714
227,-69141.9064,2.4139,331.8575,714
228,-67259.7100,2.3754,332.6370,809
229,-67239.0142,2.3595,334.6280,811
230,-66024.3202,2.3078,336.3378,873
231,-63657.2516,2.2686,338.2682,993
232,-66513.9802,2.3345,335.6363,848
233,-68263.6192,2.3916,333.7407,759
234,-64342.5300,2.2913,337.2586,958
235,-66596.2433,2.3537,335.7602,844
236,-65644.9248,2.3217,336.0796,892
237,-65415.1732,2.2800,338.9243,905
238,-68244.9241,2.3990,331.7383,759
239,-66826.4984,2.3117,335.1903,832
240,-67809.9170,2.3639,333.9632,782
241,-67156.9393,2.3604,334.0795,815
242,-68933.1302,2.3988,332.8358,725
243,-68108.2369,2.3875,333.8383,767
244,-67033.0948,2.3214,335.7947,822
245,-69068.4233,2.4123,332.4153,718
246,-67962.2471,2.3841,333.1213,774
247,-66276.4341,2.3177,337.7436,861
248,-67280.4588,2.3612,334.4920,809
249,-65552.6958,2.3268,335.0075,896
250,-68999.2948,2.3699,333.7858,722
251,-64034.8964,2.2869,334.6821,972
252,-69852.7484,2.4126,331.4574,678
253,-67422.7313,2.3416,334.9681,802
254,-63092.3765,2.2801,337.4048,1021
255,-66836.7823,2.3002,338.0141,833
256,-67743.1011,2.3695,333.3581,785
257,-67177.5481,2.3664,334.3514,814
258,-65202.5921,2.3092,337.6732,915
259,-66801.2097,2.3261,336.6692,834
260,-63273.4538,2.2642,337.9257,1012
261,-63237.8935,2.2698,340.1347,1015
262,-65789.9859,2.3063,336.5703,885
263,-66005.9239,2.3445,334.4736,873
264,-68133.6978,2.3645,334.4675,766
265,-67524.8433,2.3409,335.2434,797
266,-66424.3433,2.3377,334.6829,852
267,-66150.7033,2.3515,336.9991,867
268,-69088.5077,2.4132,332.5834,717
269,-66310.2649,2.3274,337.1728,859
270,-68321.3439,2.4140,331.3971,755
271,-66734.0065,2.3531,333.6756,836
272,-66958.3774,2.3510,334.3920,825
273,-68416.1122,2.3397,334.9276,752
274,-67380.0791,2.3546,334.6020,804
275,-65789.3787,2.3520,334.6035,884
276,-64156.8591,2.2805,338.4354,968
277,-68650.7003,2.3371,334.5498,740
278,-67101.7558,2.3704,334.6995,818
279,-68199.5469,2.3780,335.0378,763
280,-66352.3100,2.3376,335.4711,856
281,-67459.7509,2.3658,332.6311,799
282,-68952.1480,2.4041,332.7590,724
283,-67706.8383,2.3790,333.6000,787
284,-67099.2813,2.3503,334.6298,818
285,-67811.4719,2.3135,337.9966,784
286,-66345.2053,2.3088,336.6075,857
287,-68423.4224,2.4096,333.8375,751
288,-68927.4012,2.4166,332.2109,725
289,-69053.8826,2.3970,333.0222,719
290,-66322.2275,2.3139,338.1867,859
291,-69754.6343,2.4233,331.4300,683
292,-67643.0736,2.3732,335.1345,791
293,-65991.6179,2.3316,334.8197,874
294,-68102.3143,2.3540,335.2827,768
295,-66144.8168,2.3465,336.2185,867
296,-67481.5468,2.3675,334.9078,799
297,-67428.3784,2.3488,335.6161,802
298,-66007.3455,2.3278,336.5323,874
299,-67626.7210,2.3455,335.6887,792
300,-66663.6508,2.3322,336.6568,841
301,-66722.2730,2.3323,336.4285,838
