ep,reward,delay,energy,succ
0,2180.7977,2.4150,330.9926,2760
1,1983.9456,2.4504,329.8970,2540
2,1677.9369,2.4182,332.1471,2698
3,2043.9192,2.4395,330.8770,2598
4,2065.7744,2.4390,332.1735,2620
5,1284.2528,2.4298,333.9825,2637
6,1204.0638,2.4226,332.0502,2715
7,1700.7238,2.4335,332.9059,2654
8,1197.5787,2.4242,332.9184,2689
9,1828.3608,2.4029,335.3339,2786
10,1693.2572,2.4382,335.5044,2628
11,996.6708,2.4425,334.1218,2642
12,1589.7531,2.4476,333.6190,2606
13,1607.0144,2.4388,336.1179,2632
14,2182.4076,2.3489,339.0198,3030
15,1871.2867,2.3553,338.2835,2950
16,1991.4761,2.4209,336.6930,2723
17,1965.7163,2.4114,335.0230,2745
18,1936.3352,2.3943,334.0262,2832
19,968.8325,2.3951,335.7517,2835
20,1911.3402,2.4361,332.2040,2635
21,1878.3533,2.4407,332.5640,2623
22,2197.7375,2.4130,338.2937,2748
23,1962.2302,2.4422,331.6515,2617
24,1280.2253,2.4484,330.4327,2546
25,1756.3207,2.4462,332.1941,2582
26,1802.9380,2.4894,330.8915,2437
27,1823.5931,2.4135,333.5597,2703
28,846.8481,2.3967,334.1065,2783
29,1778.2609,2.4404,333.2982,2603
30,1753.8144,2.4049,336.0453,2752
31,2029.0762,2.3890,335.6192,2834
32,1649.8522,2.4642,331.5169,2539
33,1068.1257,2.4353,334.0503,2662
34,1866.4847,2.3946,337.9999,2853
35,2197.7214,2.4048,336.5853,2746
36,2054.9708,2.4068,333.3052,2773
37,1947.0144,2.4580,331.8918,2515
38,2059.9327,2.4370,333.3778,2614
39,1986.0831,2.4641,330.5139,2555
40,1235.3028,2.4670,331.4455,2485
41,1524.6974,2.4693,332.2155,2515
42,1312.4529,2.4326,335.1064,2646
43,1322.2931,2.4291,334.3969,2655
44,1862.6914,2.3614,340.1671,2943
45,2136.5911,2.3853,336.7119,2861
46,1968.7840,2.3426,338.4325,2995
47,2053.6650,2.4062,335.4951,2802
48,1677.2936,2.4222,336.3038,2709
49,1628.7117,2.4208,335.6408,2690
50,1701.9707,2.4315,333.6666,2635
51,1565.2861,2.4095,334.0842,2714
52,1911.8309,2.4044,336.4662,2800
53,2003.2976,2.4031,335.4101,2791
54,1981.1622,2.4088,335.3752,2710
55,1903.6021,2.4322,334.7490,2637
56,1969.4499,2.4615,331.2480,2528
57,2073.3683,2.4404,332.7722,2628
58,1977.0903,2.4144,335.1446,2707
59,1958.6670,2.4510,330.6619,2625
60,1900.3476,2.3969,336.3848,2767
61,1874.8066,2.4229,333.0435,2646
62,1495.1102,2.4388,335.6692,2590
63,1884.7348,2.4517,334.6064,2562
64,2141.4912,2.4120,335.5169,2731
65,1854.9684,2.4264,333.7911,2667
66,2036.0936,2.4562,333.2931,2594
67,2166.7015,2.4154,336.1039,2717
68,1764.2906,2.3973,336.2037,2781
69,1939.3531,2.4667,331.5646,2509
70,1523.6697,2.4332,333.4367,2657
71,1296.4250,2.4504,332.4692,2593
72,1313.4429,2.3722,335.5508,2945
73,2068.2791,2.4247,333.9371,2680
74,1400.0323,2.3824,337.4157,2914
75,1745.9085,2.4587,331.7774,2524
76,1977.9317,2.4578,332.5873,2536
77,1829.3873,2.4773,330.7421,2481
78,1719.8771,2.4036,336.9816,2768
79,1734.7314,2.4071,334.2683,2773
80,1843.1849,2.4378,336.2589,2598
81,1963.5683,2.4141,333.0955,2773
82,1980.0449,2.4147,335.0715,2710
83,1850.7579,2.4644,331.8088,2510
84,1907.5633,2.4749,332.2735,2469
85,1492.3868,2.3949,333.2077,2828
86,1987.4162,2.4669,330.9964,2547
87,1889.7637,2.4367,334.5089,2634
88,1592.7909,2.4463,334.7588,2609
89,2191.9697,2.4182,331.9285,2742
90,1602.4401,2.4442,333.6076,2608
91,860.0929,2.4559,333.5878,2528
92,1619.0887,2.4655,334.0223,2519
93,1089.6337,2.4332,333.5931,2623
94,1567.1478,2.4471,332.1209,2603
95,582.5253,2.4802,332.2198,2475
96,1945.1721,2.4724,331.7282,2506
97,1867.3391,2.4584,334.8684,2556
98,2003.7304,2.4423,334.0878,2579
99,1373.0428,2.3968,337.9848,2840
100,-29.3599,2.4416,335.1787,2626
101,1307.3316,2.4376,335.7834,2622
102,0.7447,2.4096,336.6472,2750
103,1910.0862,2.4426,331.9841,2645
104,2236.3937,2.3847,338.3582,2871
105,1738.0248,2.4674,332.4406,2488
106,1890.0254,2.4131,336.8118,2740
107,2301.8787,2.3890,336.5744,2847
108,2189.8972,2.4046,335.8677,2738
109,826.4863,2.4856,331.9946,2450
110,2129.7891,2.4182,332.8698,2680
111,1918.2873,2.4137,334.8809,2718
112,2074.1857,2.4185,335.5895,2695
113,1868.0088,2.4218,333.1507,2689
114,2104.2890,2.4050,333.5338,2762
115,1784.6665,2.4520,334.6435,2592
116,1880.7859,2.4288,332.2644,2663
117,1900.6075,2.4077,334.2577,2789
118,2006.6976,2.3701,336.4071,2898
119,2417.0932,2.3584,336.1001,2956
120,1849.2963,2.3726,335.9337,2931
121,2068.5087,2.4442,333.2914,2624
122,1837.0376,2.4633,331.5255,2536
123,2011.6207,2.4550,331.9032,2569
124,1494.7446,2.4443,331.9719,2620
125,1249.1987,2.4238,335.1693,2671
126,2151.1120,2.4085,335.9549,2770
127,1550.1074,2.4566,332.9090,2568
128,1980.2216,2.4206,333.3378,2711
129,1922.4095,2.4599,333.0447,2571
130,1755.7467,2.4440,332.2534,2561
131,1526.8356,2.4532,332.6528,2604
132,1786.1119,2.4273,332.1630,2698
133,2027.2513,2.4204,333.3491,2668
134,1836.7141,2.3898,336.6258,2782
135,1255.9341,2.4538,331.5247,2613
136,1953.3153,2.4664,332.0028,2513
137,1402.6505,2.4435,333.2394,2588
138,1797.3020,2.4672,331.3020,2467
139,1016.1496,2.4507,333.5397,2613
140,2062.8545,2.4392,331.5483,2617
141,2080.2197,2.4100,333.9337,2739
142,1829.8839,2.3718,333.7781,2941
143,1599.7191,2.4200,336.4200,2711
144,1713.9205,2.4291,331.3294,2636
145,1690.5286,2.3761,336.2188,2863
146,1448.3002,2.4548,333.6657,2566
147,1391.1311,2.4136,335.7343,2691
148,1949.3914,2.4291,333.9112,2702
149,1128.1104,2.4757,328.7851,2479
150,628.9975,2.4407,334.3268,2634
151,1862.9470,2.4180,332.2169,2723
152,1603.2955,2.4256,332.8883,2645
153,1991.6856,2.4621,329.4573,2580
154,1701.7295,2.4236,332.7358,2673
155,1430.8056,2.4477,333.3033,2627
156,1411.0998,2.4091,335.4146,2700
157,1741.7109,2.4108,335.6465,2691
158,1476.2184,2.4187,330.2053,2716
159,1977.4724,2.4588,328.8880,2535
160,2092.3757,2.4420,331.1106,2647
161,1031.6493,2.4684,328.3894,2531
162,1286.3114,2.4687,329.7270,2516
163,1871.9115,2.4477,332.7446,2598
164,1409.9059,2.3820,333.5060,2833
165,1983.3772,2.4399,333.2623,2538
166,1303.9757,2.4556,334.4741,2572
167,2036.9543,2.4422,333.0290,2642
168,1886.2254,2.4051,333.7661,2774
169,1948.0743,2.4578,331.8155,2546
170,1628.2862,2.4573,331.2740,2526
171,658.5122,2.4106,331.8070,2687
172,2201.4845,2.4110,331.6143,2750
173,1556.0106,2.4034,336.5813,2804
174,1154.2389,2.4509,332.8809,2561
175,2265.3844,2.3974,330.6906,2811
176,-20.6723,2.3862,332.1356,2843
177,1652.4307,2.4257,332.1766,2654
178,1384.8740,2.4520,333.6660,2542
179,-1230.4038,2.4779,329.0756,2431
180,2169.7084,2.4241,332.4030,2721
181,1862.1469,2.4808,328.4415,2424
182,1964.9148,2.4263,334.0824,2647
183,1467.9447,2.4527,332.5298,2575
184,1748.6152,2.4596,332.3727,2577
185,1984.6119,2.4508,331.1702,2591
186,1388.2207,2.3926,336.3161,2814
187,1551.0918,2.4130,336.5492,2771
188,1705.8948,2.4375,332.9933,2640
189,1914.9237,2.4686,331.7549,2475
190,1809.8686,2.4680,332.6789,2500
191,622.1366,2.4368,332.4847,2596
192,1546.1926,2.4779,331.0918,2498
193,594.0475,2.4517,333.0256,2611
194,1121.3045,2.4624,331.0608,2530
195,1925.9386,2.4684,331.9072,2486
196,1326.6317,2.4327,334.1867,2660
197,1377.2516,2.4872,331.4955,2461
198,75.1104,2.4404,334.0613,2640
199,2049.2865,2.4096,333.9295,2758
200,1631.9595,2.4544,335.7868,2510
201,1630.0137,2.4054,334.4920,2768
202,2064.2431,2.4418,331.9482,2629
203,1950.1725,2.4456,333.5861,2556
204,1660.2071,2.3609,338.0276,2930
205,2117.8278,2.4222,333.6642,2669
206,2156.4027,2.4169,331.0966,2706
207,2381.8102,2.3757,335.2469,2924
208,1878.6042,2.4392,332.7636,2613
209,1635.6242,2.4059,335.9418,2734
210,1623.9946,2.4597,330.2865,2552
211,1792.1570,2.4532,330.9768,2519
212,1862.9957,2.4126,332.3960,2752
213,1736.9529,2.4317,333.4917,2660
214,1333.0656,2.4212,333.4364,2694
215,2188.4454,2.3840,333.7726,2872
216,1490.3455,2.4217,331.5445,2711
217,741.2414,2.4675,331.2644,2551
218,605.3474,2.4629,330.3987,2554
219,1395.8425,2.4539,331.8726,2583
220,1990.2818,2.4623,331.2675,2549
221,1487.0928,2.4214,333.1321,2728
222,1424.6366,2.4451,331.7156,2600
223,1700.6157,2.4298,332.0965,2683
224,1851.1313,2.4830,331.3372,2414
225,2184.8370,2.4209,334.8814,2736
226,1314.8937,2.4287,331.8564,2667
227,516.9647,2.4417,333.5167,2632
