ep,reward,delay,energy,succ
0,20634.6778,1.2510,323.8136,5565
1,20787.8862,1.2550,324.1589,5600
2,20893.6318,1.2464,324.2232,5612
3,21180.3468,1.2471,324.1164,5670
4,20480.0653,1.2603,324.0819,5544
5,20747.4675,1.2495,324.1431,5586
6,21092.4656,1.2476,324.1475,5653
7,20548.2359,1.2587,324.1338,5556
8,20970.2801,1.2536,324.1281,5635
9,20636.4285,1.2431,324.1310,5557
10,20675.4125,1.2564,324.2157,5579
11,20602.5804,1.2486,324.0505,5556
12,20892.9519,1.2466,324.1428,5612
13,20727.7342,1.2466,324.0802,5579
14,20986.1560,1.2460,324.1763,5630
15,20731.6300,1.2506,324.1241,5584
16,20737.2760,1.2533,324.1655,5588
17,21122.1231,1.2524,324.1384,5664
18,20649.3792,1.2519,324.1532,5569
19,20975.4319,1.2489,324.0930,5631
20,21069.9594,1.2424,324.1861,5643
21,20891.5618,1.2590,324.2555,5625
22,20875.0859,1.2481,324.0112,5610
23,20677.3312,1.2579,324.1942,5581
24,20779.8072,1.2472,324.0992,5590
25,20872.7668,1.2485,324.1013,5610
26,20658.3943,1.2502,324.1552,5569
27,20768.9328,1.2557,324.2099,5597
28,21056.8298,1.2486,324.2985,5647
29,20592.8897,1.2475,324.1611,5553
30,20781.9687,1.2496,324.0571,5593
31,21272.4931,1.2392,324.1164,5680
32,21373.1969,1.2400,323.9897,5701
33,20640.5815,1.2620,324.1683,5578
34,20788.1287,1.2465,324.2913,5591
35,20896.3523,1.2525,324.1481,5619
36,20483.8929,1.2464,324.1751,5530
37,20760.3582,1.2518,324.0964,5591
38,20548.3904,1.2558,324.2285,5553
39,20419.8780,1.2593,324.2483,5531
40,20590.6869,1.2517,324.0771,5557
41,20830.1289,1.2462,324.0669,5599
42,21047.3122,1.2420,324.0774,5638
43,20859.7891,1.2472,324.1175,5606
44,20649.4345,1.2528,324.2022,5570
45,20462.1386,1.2523,324.3098,5532
46,21112.2567,1.2533,324.1571,5663
47,20662.3660,1.2467,324.1573,5566
48,20684.0124,1.2548,324.2202,5579
49,21002.8860,1.2466,324.1283,5634
50,20820.9094,1.2469,324.2641,5598
51,20799.1687,1.2539,324.1078,5601
52,21196.6399,1.2468,324.2106,5673
53,20621.1455,1.2572,324.2031,5569
54,21018.1661,1.2437,324.1455,5634
55,20626.9035,1.2552,324.2592,5568
56,20717.8962,1.2513,324.1938,5582
57,20872.8019,1.2485,324.0072,5610
58,20289.6222,1.2481,324.1746,5493
59,21049.9497,1.2462,324.1612,5643
60,21080.8469,1.2451,324.2046,5648
61,20856.8994,1.2486,324.2288,5607
62,20757.5787,1.2467,324.1177,5585
63,20924.0310,1.2483,324.0473,5620
64,20550.2058,1.2518,324.0305,5549
65,20905.2101,1.2424,324.0842,5610
66,20714.7522,1.2500,324.1864,5580
67,20893.0808,1.2400,324.2183,5605
68,20839.2706,1.2501,324.1084,5605
69,21147.6961,1.2475,324.2551,5664
70,20385.1855,1.2555,324.2652,5520
71,20768.0228,1.2502,324.3963,5591
72,20627.5925,1.2513,324.1354,5564
73,20961.7462,1.2440,324.1047,5623
74,21008.3696,1.2512,324.1198,5640
75,20981.1898,1.2469,324.1269,5630
76,20555.5513,1.2480,324.1373,5546
77,21174.3017,1.2360,324.0889,5657
78,20894.2406,1.2548,324.1275,5621
79,20993.2982,1.2475,324.0680,5633
80,21016.8534,1.2449,324.1878,5635
81,20877.9397,1.2531,324.2527,5616
82,20550.3188,1.2498,324.2806,5547
83,21127.4531,1.2485,324.1663,5661
