ep,reward,delay,energy,succ
0,20876.4068,1.2492,325.6113,5612
1,20634.4995,1.2524,325.7535,5567
2,20485.8095,1.2465,325.7552,5531
3,21660.4057,1.2266,326.7522,5745
4,21831.3643,1.2069,329.2470,5759
5,21764.1082,1.2105,327.9381,5749
6,21677.1201,1.2027,327.2688,5723
7,21450.8446,1.2181,326.6150,5694
8,21871.7134,1.2029,329.7235,5763
9,21957.3137,1.2113,329.7279,5789
10,21518.1316,1.2097,328.0819,5699
11,21938.7004,1.2037,329.1231,5777
12,21900.1730,1.2061,329.4768,5772
13,21890.8499,1.2080,329.0995,5772
14,22009.1206,1.2074,332.0913,5796
15,21553.9766,1.2227,331.2027,5721
16,21782.5279,1.2043,334.2289,5748
17,21027.3339,1.2308,330.3841,5624
18,21639.0405,1.2125,330.8092,5727
19,21645.9984,1.2053,328.6024,5720
20,21066.0817,1.2348,327.1007,5635
21,21438.6736,1.2263,328.6890,5701
22,21670.3670,1.2174,329.2537,5738
23,21159.0879,1.2271,329.0706,5646
24,21711.7921,1.2079,328.6426,5736
25,21385.5503,1.2337,327.8699,5698
26,21002.1598,1.2383,327.2215,5626
27,21745.9905,1.2228,329.5116,5759
28,21448.0644,1.2209,328.5210,5697
29,21650.2077,1.2024,329.2466,5718
30,21533.3260,1.2220,327.8204,5715
31,21739.9401,1.2044,328.9757,5738
32,21363.8733,1.2267,330.4671,5687
33,22244.5564,1.1850,331.5806,5819
34,21649.8695,1.2147,329.2047,5731
35,21503.1720,1.2166,326.9577,5703
36,21564.4010,1.2193,329.7618,5719
37,21317.9746,1.2241,327.1007,5674
38,21351.6309,1.2301,326.7663,5687
39,21156.2793,1.2366,327.2671,5655
40,21520.2676,1.2244,331.0069,5716
41,21325.2873,1.2403,327.8742,5693
42,21310.2126,1.2233,328.5987,5672
43,20959.3556,1.2364,328.9546,5616
44,21205.7012,1.2366,330.8364,5666
45,20930.5374,1.2319,330.9215,5606
46,21606.8943,1.2203,331.1373,5729
47,21387.1440,1.2421,330.3640,5708
48,21043.3369,1.2337,332.3124,5631
49,20973.0908,1.2315,330.5858,5614
50,21312.2359,1.2233,330.1530,5673
51,20872.6924,1.2400,330.7145,5603
52,20966.7508,1.2370,328.7252,5618
53,21306.1769,1.2450,330.4259,5695
54,21237.0919,1.2351,331.6920,5671
55,20756.1730,1.2472,329.3176,5587
56,20879.1973,1.2456,329.6697,5610
57,20835.1072,1.2440,331.4386,5600
58,21297.8446,1.2336,330.0919,5681
59,21270.1758,1.2323,329.7041,5674
60,21358.8639,1.2394,331.8379,5700
61,20857.7373,1.2400,330.7428,5600
62,21192.8707,1.2293,331.7416,5656
63,21175.2575,1.2364,328.5746,5659
64,21013.8375,1.2308,332.3377,5622
65,21452.9003,1.2384,329.7177,5717
66,20862.0012,1.2338,329.9445,5594
67,21267.1277,1.2336,330.2884,5675
68,21007.0068,1.2353,331.1144,5625
69,21153.9388,1.2342,330.4046,5653
70,21087.7685,1.2346,332.9232,5641
71,20956.5835,1.2431,330.2761,5623
72,21421.8831,1.2378,332.2101,5711
73,21045.6225,1.2438,334.6947,5643
74,20611.8592,1.2387,335.4139,5551
75,20883.3252,1.2426,337.2544,5610
77,20820.4638,1.2468,334.4294,5601
78,21045.0433,1.2430,334.9252,5642
79,21107.6605,1.2418,334.1583,5653
80,21111.1145,1.2248,335.2419,5636
81,21234.3559,1.2421,338.3586,5680
82,21189.3287,1.2365,338.1538,5665
83,20661.4439,1.2407,338.5233,5564
84,20993.9590,1.2258,339.6127,5615
85,20994.2069,1.2390,339.1147,5629
86,21106.6237,1.2389,338.1745,5651
87,20703.9999,1.2403,338.2234,5572
88,20977.5939,1.2358,335.3066,5621
89,20943.6305,1.2417,337.0021,5621
90,21304.0218,1.2268,336.1141,5677
91,21516.6691,1.2242,337.0801,5717
92,21179.7036,1.2303,336.8095,5656
93,21195.6461,1.2319,333.7940,5660
94,21157.1403,1.2327,336.4232,5654
95,21329.3262,1.2299,335.0496,5685
96,21170.6633,1.2268,335.1524,5650
97,21507.1940,1.2233,333.3949,5713
98,21424.5734,1.2227,330.9979,5695
99,21430.9065,1.2236,333.3382,5698
100,21240.5121,1.2189,333.5918,5655
101,21579.2305,1.2173,333.4730,5721
102,21350.2968,1.2207,334.0393,5679
103,21679.7411,1.2088,333.2849,5732
104,21861.8211,1.2100,331.1762,5769
105,21622.0145,1.2068,332.3836,5718
106,21416.1398,1.2203,331.6093,5691
107,21295.3178,1.2312,333.1355,5679
108,21780.5083,1.2194,335.1268,5764
109,21881.8742,1.2133,335.8832,5778
110,21898.5091,1.2007,336.1137,5768
111,21596.7743,1.2135,332.0637,5720
112,21920.9879,1.2016,334.7350,5773
113,22099.1558,1.2081,336.0296,5816
114,21115.9857,1.2292,336.3324,5642
115,21419.9443,1.2214,334.8033,5694
116,21044.8710,1.2358,337.0137,5635
117,20906.0399,1.2327,337.2541,5604
118,21507.1800,1.2151,335.9437,5705
119,21305.5435,1.2341,335.8745,5685
120,21499.2468,1.2119,335.9543,5700
121,20870.5398,1.2412,334.1573,5605
122,20979.1613,1.2326,332.6041,5617
123,20849.9779,1.2488,331.0590,5608
124,21095.2155,1.2374,331.4349,5645
125,21158.5974,1.2404,331.8323,5661
126,21277.1466,1.2294,331.8081,5673
127,21125.5853,1.2380,332.3993,5652
128,21205.1911,1.2345,331.6318,5664
129,20682.4476,1.2502,331.1707,5576
130,21006.2224,1.2284,332.8525,5618
131,21694.3697,1.2163,333.6327,5743
132,21621.5322,1.2139,333.8993,5726
133,21164.6627,1.2279,332.2913,5649
134,21352.8164,1.2311,331.9530,5690
135,21397.3856,1.2213,333.6283,5689
136,21257.5677,1.2356,332.8568,5676
137,21235.8446,1.2455,332.0362,5682
138,20961.0884,1.2466,331.4240,5628
139,20773.3637,1.2480,331.7933,5592
140,21178.0832,1.2386,331.9428,5663
141,21267.0067,1.2440,333.1810,5687
142,21367.7153,1.2431,332.9153,5706
143,21212.3817,1.2306,333.9794,5662
144,21063.8675,1.2320,334.7196,5634
145,21230.0726,1.2289,335.0013,5664
146,21182.6799,1.2285,334.4347,5654
147,20638.7613,1.2514,332.5213,5569
148,21546.5839,1.2261,333.7302,5724
149,21054.8239,1.2379,333.2173,5638
150,20853.5210,1.2289,332.5627,5588
151,20928.2882,1.2257,334.2301,5600
152,20952.6502,1.2456,333.8311,5626
153,21149.8819,1.2314,332.8270,5650
154,21293.5958,1.2297,333.0831,5677
155,20942.7236,1.2384,332.8513,5616
156,20889.0022,1.2383,332.2143,5605
157,21929.7906,1.2124,333.8869,5786
158,21359.1276,1.2270,332.4729,5687
159,21179.8099,1.2285,333.3857,5653
160,21216.2974,1.2279,331.1338,5659
161,21602.3379,1.2158,330.1132,5723
162,21264.2040,1.2245,328.0933,5664
163,21390.8708,1.2267,332.2531,5693
164,20888.7946,1.2380,330.2542,5604
165,21841.4274,1.2088,329.2217,5763
166,21406.5050,1.2223,331.0200,5691
167,21311.0573,1.2239,328.8947,5673
168,21393.3051,1.2281,329.1704,5694
