ep,reward,delay,energy,succ
0,21203.2231,1.2307,330.0485,5659
1,21589.3831,1.2258,329.8906,5731
2,21554.6842,1.2191,330.1920,5717
3,21235.4312,1.2295,329.4133,5664
4,21187.7929,1.2270,330.1195,5652
5,21084.0308,1.2325,329.7750,5637
6,21354.2325,1.2245,331.3759,5683
7,21463.9633,1.2275,330.9063,5708
8,21299.7765,1.2295,330.0376,5677
9,21308.2838,1.2208,331.6249,5670
10,21604.1809,1.2149,331.9569,5723
11,21149.1056,1.2270,332.4628,5645
12,21117.5535,1.2247,331.6844,5636
13,21418.5857,1.2179,331.9544,5689
14,21111.7388,1.2220,331.8443,5632
15,21437.8269,1.2231,330.7689,5698
16,21648.7964,1.2207,331.8055,5738
17,21168.7681,1.2272,332.0075,5649
18,21899.7623,1.2070,332.9325,5774
19,21572.4038,1.2160,332.6348,5718
20,21762.6859,1.2180,332.2002,5758
21,21319.0579,1.2109,333.1150,5662
22,21556.4872,1.2082,331.0782,5706
23,21271.8571,1.2164,331.7787,5658
24,21343.0988,1.2253,332.4994,5682
25,21424.2050,1.2150,331.7541,5687
26,21651.7278,1.2162,332.4385,5734
27,21052.6832,1.2229,331.2002,5621
28,21375.9309,1.2069,332.5297,5669
29,21711.2260,1.2201,332.2288,5750
30,21847.5505,1.2083,333.3193,5765
31,21844.1161,1.2034,332.8401,5759
32,21427.6551,1.2324,330.8794,5706
33,21334.4809,1.2158,331.9600,5670
34,21058.1425,1.2224,332.8444,5622
35,21808.6080,1.2156,333.2075,5765
36,22052.8993,1.1967,334.2413,5794
37,21536.3349,1.2221,331.9130,5717
38,21425.2738,1.2173,332.6844,5690
39,21306.4287,1.2308,330.6775,5680
40,21527.0776,1.2082,333.9385,5701
41,21671.9454,1.2211,331.6283,5743
42,21487.7825,1.2218,332.0047,5707
43,21403.8674,1.2072,332.9699,5675
44,21428.1748,1.2200,331.2522,5693
45,21234.2020,1.2182,330.5308,5652
46,21380.1923,1.2260,332.0524,5690
47,21315.2242,1.2266,333.2268,5678
48,21632.9286,1.2239,331.1512,5738
49,21089.5728,1.2141,331.4237,5619
50,21832.3798,1.2128,330.9654,5766
51,21208.8422,1.2267,330.4488,5656
52,21043.2123,1.2283,331.6810,5625
53,21380.4906,1.2165,332.1331,5680
54,21334.9642,1.2233,331.6833,5678
55,21785.0182,1.2180,330.5428,5762
56,21085.7073,1.2269,331.6114,5632
57,21378.9510,1.2236,331.3247,5687
58,21605.8329,1.2144,332.5938,5723
59,21654.4180,1.2168,331.7261,5735
60,21381.2967,1.2187,330.6696,5682
61,21372.2262,1.2261,330.4656,5688
62,21686.0326,1.2114,333.2499,5736
63,21551.5741,1.2184,331.3355,5716
64,21825.7077,1.2020,333.4600,5754
65,21553.9373,1.2178,331.8039,5716
66,21412.1768,1.2202,331.2023,5690
67,21328.4671,1.2236,331.6511,5677
68,22052.1278,1.2039,332.5588,5801
69,21226.2998,1.2194,331.4341,5652
70,21413.1186,1.2156,333.5922,5686
71,21640.9678,1.2144,332.5533,5730
72,21507.7037,1.2135,331.4680,5702
73,21720.5332,1.2188,330.6869,5750
74,21152.8853,1.2195,333.1607,5638
75,21554.4450,1.2146,332.9576,5713
76,21621.5801,1.2035,331.2313,5714
77,21870.0951,1.2027,331.4537,5763
78,21467.1482,1.2202,331.4579,5701
79,21090.7518,1.2293,329.8450,5635
80,22057.0880,1.1975,332.1891,5795
81,21271.1556,1.2145,332.2612,5656
82,22133.2355,1.1974,331.7974,5810
83,21685.1747,1.2092,331.7954,5733
84,21483.5448,1.2214,332.7143,5706
85,21477.7729,1.2071,334.0938,5690
86,21580.5069,1.2113,330.9002,5714
87,21571.0518,1.2118,332.0101,5713
