ep,reward,delay,energy,succ
0,21008.4682,1.2344,330.1250,5624
1,21243.0463,1.2251,330.1372,5661
2,21476.2366,1.2228,329.5043,5705
3,21288.6233,1.2280,329.3620,5673
4,21703.7760,1.2114,331.4139,5739
5,21564.1971,1.2060,330.3698,5705
6,21550.0316,1.2277,329.5047,5725
7,21438.6382,1.2173,330.5239,5692
8,21220.6186,1.2092,331.2922,5640
9,21720.8088,1.2178,330.6599,5749
10,21206.0670,1.2169,330.4804,5645
11,21272.5621,1.2241,330.4156,5666
12,21060.5829,1.2189,330.5055,5618
13,21610.8106,1.2082,331.5730,5717
14,21063.0831,1.2241,330.2101,5624
15,21222.8595,1.2196,329.8502,5651
16,21411.5592,1.2310,330.0938,5701
17,21597.5330,1.2182,331.5446,5725
18,21672.2609,1.2187,329.9593,5740
19,21438.2125,1.2214,329.8002,5696
20,21217.6126,1.2337,329.6706,5665
21,21642.1186,1.2129,330.6888,5728
22,22119.5305,1.2094,331.4328,5820
23,21556.8594,1.2036,330.7341,5701
24,21314.8419,1.2153,330.2567,5665
25,21074.6017,1.2211,329.8080,5623
26,20865.7435,1.2285,329.6388,5589
27,21668.9555,1.2183,330.2251,5739
28,21820.1950,1.2088,329.8551,5759
29,21471.8213,1.2251,330.8772,5707
30,21204.4953,1.2287,329.7885,5657
31,21571.9918,1.2234,329.9906,5725
32,21131.2676,1.2216,330.1710,5635
33,21078.6400,1.2288,329.9959,5632
34,21427.9220,1.2109,330.5496,5683
35,21374.6863,1.2268,329.4499,5689
36,21480.4640,1.2079,329.7080,5690
37,21619.9051,1.2143,330.4736,5725
38,21472.8571,1.2233,329.7619,5705
39,21350.2042,1.2195,328.7320,5676
40,21174.6539,1.2182,330.0897,5640
41,21437.1795,1.2192,328.3527,5693
42,21603.0586,1.2133,328.7855,5720
43,21389.0891,1.2175,329.5944,5682
44,21403.9630,1.2169,328.8031,5684
45,21600.5312,1.2057,330.5204,5712
46,21439.7089,1.2108,329.6700,5685
47,21366.6122,1.2179,330.0343,5678
48,21323.3914,1.2136,330.7544,5665
49,20865.5135,1.2329,327.4057,5593
50,21541.2230,1.2241,328.1832,5719
51,21123.2083,1.2284,328.3520,5640
52,21609.9691,1.2132,331.1670,5722
53,21080.0810,1.2308,328.4072,5634
54,21519.3639,1.2155,329.9870,5706
55,21632.1436,1.2167,330.4488,5730
56,21256.2755,1.2314,328.7606,5670
