ep,reward,delay,energy,succ
0,20671.9187,1.2373,327.4915,5559
1,21089.8881,1.2414,327.5331,5647
2,21007.7024,1.2371,327.8109,5626
3,21345.8517,1.2355,328.0174,5692
4,21560.9905,1.2316,328.4271,5731
5,21058.8046,1.2339,328.3931,5633
6,20989.6276,1.2311,327.7413,5616
7,21058.9377,1.2320,328.3067,5631
8,20676.7387,1.2468,327.3626,5570
9,21446.3968,1.2317,327.9121,5708
10,20838.9508,1.2378,327.7522,5593
11,21386.1846,1.2270,328.0797,5691
12,21226.3438,1.2372,328.2839,5670
13,21280.7132,1.2317,328.2788,5675
14,21296.0344,1.2297,328.4876,5676
15,21141.9299,1.2390,328.1496,5655
16,21412.5329,1.2305,327.9635,5700
17,21194.2224,1.2311,328.1741,5657
18,21099.0518,1.2378,327.7255,5645
19,21340.0318,1.2301,327.8489,5685
20,21122.8094,1.2360,328.3131,5648
21,20775.9994,1.2365,327.6674,5579
22,21428.3084,1.2321,328.5617,5705
23,20878.2477,1.2416,327.9839,5605
24,21173.6293,1.2378,328.0174,5660
25,21279.3449,1.2349,327.8681,5678
26,21395.3611,1.2374,328.1516,5704
27,20920.7537,1.2411,328.0691,5613
28,20927.1012,1.2391,327.7578,5612
29,20824.1750,1.2473,327.2983,5600
30,21057.4317,1.2332,328.3348,5632
31,21209.6076,1.2423,328.0963,5672
32,20505.4379,1.2413,327.6834,5530
33,20830.7660,1.2279,328.2560,5581
34,21378.7961,1.2368,328.1393,5700
35,21112.3936,1.2332,328.5154,5643
36,21018.1747,1.2427,327.3931,5634
37,21109.6793,1.2263,328.2935,5635
38,21169.7213,1.2282,328.1172,5649
39,21038.7515,1.2321,328.0307,5627
40,21084.8980,1.2462,327.4654,5651
41,20895.4830,1.2394,327.6994,5606
42,20818.5303,1.2416,327.9135,5593
43,21371.3558,1.2288,328.0968,5690
44,20883.5912,1.2434,328.0875,5608
45,20898.9931,1.2415,327.9088,5609
46,21314.7983,1.2387,327.3349,5689
47,21480.8885,1.2346,327.9592,5718
48,21149.8640,1.2376,327.7569,5655
49,21178.7615,1.2456,326.8086,5669
50,21078.2783,1.2416,328.0781,5645
51,21143.1912,1.2419,327.1942,5658
52,21215.7199,1.2317,328.2310,5662
53,20903.1567,1.2406,328.1642,5609
54,21113.1026,1.2360,327.9046,5646
55,21526.4350,1.2316,328.1576,5724
56,21466.7166,1.2259,328.2461,5706
57,21136.6768,1.2352,328.4406,5650
58,21550.3673,1.2290,327.9601,5726
59,21146.0852,1.2412,327.6778,5658
60,21436.5382,1.2355,327.7169,5710
61,21380.2698,1.2271,328.1482,5690
62,20939.5066,1.2423,327.9588,5618
63,21155.4603,1.2309,327.8175,5649
64,21176.3607,1.2317,328.0050,5654
65,21137.5170,1.2368,328.7497,5652
66,21419.6940,1.2293,327.6686,5700
67,20904.6635,1.2355,328.6734,5604
68,21032.1435,1.2382,327.6178,5632
69,21451.4062,1.2315,328.4588,5709
70,21639.2295,1.2284,327.7882,5743
71,21199.4536,1.2358,327.8317,5663
72,21227.0226,1.2354,327.5306,5668
73,21179.1665,1.2348,328.2271,5658
74,21137.9019,1.2380,327.6148,5653
75,21385.9617,1.2327,327.8565,5697
76,20775.3827,1.2489,327.5001,5592
77,20940.1392,1.2385,327.7872,5614
78,20992.0332,1.2437,328.0731,5630
79,20801.9095,1.2372,328.0856,5585
80,20968.6849,1.2397,327.7889,5621
81,20831.4392,1.2344,328.0263,5588
82,21125.6119,1.2299,328.2371,5642
83,21107.3808,1.2342,328.1200,5643
84,20902.2441,1.2341,328.6375,5602
85,21652.2657,1.2343,328.0334,5752
86,21043.7084,1.2359,327.8600,5632
87,21231.6159,1.2270,327.7986,5660
88,20833.1699,1.2407,327.9121,5595
89,21297.7946,1.2351,327.9901,5682
90,21524.0691,1.2263,328.4144,5718
91,21192.3033,1.2295,328.2562,5655
92,20779.9185,1.2489,327.6870,5593
93,21009.8035,1.2470,327.7442,5637
94,21288.0658,1.2398,327.7659,5685
95,21319.1416,1.2310,328.3613,5682
96,21277.5455,1.2390,327.7575,5682
97,21146.3705,1.2401,327.8990,5657
98,21134.3696,1.2395,328.1235,5654
99,21233.8450,1.2357,328.6841,5670
100,21093.0325,1.2397,328.1183,5646
101,21093.8489,1.2369,327.6935,5643
102,20921.2902,1.2419,328.2302,5614
103,21284.3422,1.2253,328.5362,5669
104,21663.4330,1.2340,328.3356,5754
105,21195.7330,1.2422,327.4828,5669
106,20874.2115,1.2368,327.9669,5599
107,21258.6698,1.2350,327.8194,5674
108,21185.0647,1.2365,328.4172,5661
109,21288.0808,1.2370,327.9777,5682
110,20952.2415,1.2401,327.5892,5618
111,21448.1132,1.2417,327.8544,5719
112,21255.4729,1.2373,328.3865,5676
113,21038.4239,1.2427,327.5415,5638
114,20571.8357,1.2412,327.1296,5543
115,21099.9691,1.2349,327.5414,5642
116,20864.6258,1.2338,328.1843,5594
117,20991.4067,1.2353,328.2046,5621
118,21290.7805,1.2451,327.3828,5691
119,21393.2183,1.2399,327.4402,5706
120,21607.2187,1.2343,328.1556,5743
121,21294.2682,1.2404,328.1440,5687
122,21175.3970,1.2357,327.6834,5658
123,21336.7440,1.2297,327.9114,5684
124,21062.7017,1.2390,327.6140,5639
125,20779.5777,1.2338,328.0888,5577
126,20966.1101,1.2384,327.5903,5619
127,20951.0991,1.2364,327.8918,5614
128,21222.7378,1.2343,327.6489,5666
129,20908.4548,1.2444,327.8546,5614
130,21380.4992,1.2291,327.5578,5692
131,20889.0944,1.2396,327.9206,5605
132,21035.5381,1.2376,327.4053,5632
