ep,reward,delay,energy,succ
0,20969.1103,1.2433,327.9715,5625
1,21031.1889,1.2392,327.8592,5633
2,20670.3876,1.2326,328.4323,5554
3,21169.3878,1.2372,329.6459,5659
4,21040.0773,1.2348,330.8460,5631
5,21061.0053,1.2287,331.7352,5629
6,21417.7250,1.2328,332.6338,5705
7,21142.5109,1.2377,332.0380,5655
8,21037.7695,1.2239,334.1328,5620
9,20949.2548,1.2359,333.9133,5615
10,20886.9882,1.2383,333.5261,5605
11,21209.0579,1.2376,334.5458,5669
12,20716.3103,1.2456,334.6996,5579
13,21347.9830,1.2264,335.1317,5685
14,21547.7503,1.2203,333.5970,5718
15,21677.0177,1.2260,333.9123,5750
16,21207.4903,1.2387,334.9524,5670
17,21485.4486,1.2249,332.4156,5710
18,21312.8147,1.2324,333.9545,5684
19,21312.0515,1.2350,331.9624,5686
20,20977.5355,1.2381,333.9030,5623
21,21200.5158,1.2376,330.7213,5666
22,21098.9678,1.2374,335.3307,5647
23,21265.5430,1.2322,336.0554,5675
24,21091.6988,1.2441,336.2314,5653
25,21196.0850,1.2279,334.3516,5656
26,21208.1207,1.2279,336.3057,5659
27,21295.9164,1.2292,339.6416,5679
28,21630.6245,1.2154,335.6881,5730
29,21155.9174,1.2322,338.8478,5654
30,21478.1656,1.2387,337.7890,5725
31,20768.4787,1.2297,336.4641,5573
32,21205.9699,1.2287,334.8645,5659
33,21210.0846,1.2352,338.8157,5668
34,21361.5600,1.2259,337.6423,5688
35,21342.1208,1.2239,337.6018,5682
36,21524.9847,1.2207,337.3986,5715
37,21078.9877,1.2335,335.9854,5639
38,21501.0033,1.2222,334.6870,5711
39,21725.8797,1.2225,337.1000,5757
40,21529.8002,1.2295,336.1568,5725
41,21485.8607,1.2308,337.4600,5718
42,21220.9973,1.2317,337.6262,5666
43,21071.9962,1.2229,338.0054,5627
44,21647.4311,1.2107,334.6511,5728
45,21148.0528,1.2308,336.1662,5650
46,21501.9294,1.2235,336.2199,5713
47,21214.4471,1.2313,339.6886,5665
48,20998.9925,1.2323,336.6643,5622
49,21344.6797,1.2195,338.4706,5678
50,21272.3610,1.2344,337.1260,5679
51,21120.0569,1.2355,334.8508,5649
52,21226.9519,1.2251,333.8698,5659
53,20878.5904,1.2410,332.9795,5606
54,21145.6448,1.2253,337.2781,5644
55,21156.0810,1.2374,337.0346,5659
56,20669.6515,1.2494,335.4353,5574
57,21354.0319,1.2480,337.5887,5710
58,20947.0776,1.2423,332.6364,5621
59,21024.6230,1.2328,334.7685,5627
60,21063.7048,1.2360,337.1465,5639
61,21281.4777,1.2273,336.0436,5673
62,21190.4978,1.2303,333.0627,5657
63,21620.5280,1.2123,336.8329,5725
64,21726.2280,1.2097,335.5894,5743
65,21325.9450,1.2273,333.3555,5681
66,21343.2388,1.2245,335.2029,5682
67,21356.8415,1.2267,331.6705,5686
68,21488.8639,1.2230,330.4010,5708
69,21053.7614,1.2441,338.2680,5646
70,21270.1731,1.2281,331.2151,5670
71,21557.9759,1.2161,331.8117,5715
72,21536.4701,1.2267,331.8692,5722
73,21340.7930,1.2207,336.6061,5678
74,21405.2042,1.2238,333.0059,5693
75,20989.1721,1.2365,338.2049,5625
76,21364.9870,1.2308,334.7538,5693
77,21329.1025,1.2197,334.9951,5674
78,21040.7283,1.2322,336.0608,5630
79,21694.6389,1.2170,331.1850,5743
80,21690.4233,1.2192,338.9673,5747
81,21005.8976,1.2334,334.9763,5624
82,20840.9656,1.2294,335.6949,5587
83,21217.6848,1.2201,337.7319,5653
84,21235.6812,1.2157,337.7232,5652
85,21127.6486,1.2393,332.8821,5654
86,21525.6502,1.2165,335.1665,5710
87,21308.5974,1.2309,335.5328,5682
88,21522.0436,1.2386,332.5980,5732
89,21637.5161,1.2113,335.8543,5727
90,20890.0028,1.2276,336.2753,5595
91,21368.9842,1.2221,333.2281,5684
92,21601.9211,1.2198,332.9532,5728
93,21598.3437,1.2241,330.2171,5731
94,21469.1224,1.2260,329.3704,5707
95,21536.6225,1.2242,330.8093,5719
96,20932.4790,1.2347,335.7609,5611
97,21516.1241,1.2230,338.3706,5716
98,21709.5308,1.2138,338.6108,5745
99,21084.5737,1.2246,327.7290,5628
100,21255.5084,1.2273,327.5766,5665
101,21303.8986,1.2374,332.2872,5687
102,21636.9946,1.2257,338.0302,5743
103,21342.9322,1.2258,337.0076,5684
104,20928.3008,1.2395,338.2460,5616
105,21289.1474,1.2406,334.0905,5688
106,21437.8585,1.2263,332.3961,5702
