ep,reward,delay,energy,succ
0,12133.6233,1.1828,339.2369,4387
1,11093.7009,1.2026,335.3230,4210
2,12142.0876,1.1779,339.8266,4381
3,12280.0871,1.1820,338.6239,4415
4,11183.6104,1.2000,336.5339,4224
5,11479.2712,1.1950,335.9670,4275
6,11827.9801,1.1906,337.4561,4338
7,11065.4156,1.2047,336.6175,4208
8,12440.8999,1.1731,339.3500,4433
9,11650.4569,1.1902,337.7006,4302
10,11522.0307,1.1906,337.7883,4277
11,11454.4917,1.1941,337.8755,4269
12,12418.7631,1.1777,339.5960,4436
13,12602.6509,1.1773,339.2239,4472
14,12771.0954,1.1692,340.2207,4493
15,11516.4941,1.1921,336.3724,4278
16,12260.1341,1.1788,339.7850,4406
17,11163.2745,1.1969,336.1768,4215
18,12110.4728,1.1718,339.9169,4365
19,11226.9583,1.2109,335.5342,4250
20,11248.7741,1.2027,334.9228,4241
21,12507.7829,1.1728,340.1608,4446
22,10847.0338,1.2090,335.9502,4171
23,11743.1246,1.1908,335.2818,4321
24,11929.6873,1.1795,339.0747,4341
25,12025.0793,1.1787,340.0095,4359
26,13128.7622,1.1457,345.7191,4528
27,11078.6221,1.2013,336.0403,4205
28,10604.6783,1.2233,333.7497,4145
29,11667.3642,1.1905,338.9873,4306
30,11076.5142,1.2020,337.1898,4206
31,12095.3031,1.1781,340.0993,4372
32,11791.0145,1.1920,337.9764,4333
33,12492.7908,1.1754,338.9915,4447
34,11497.4808,1.1940,335.7840,4277
35,11127.5158,1.2065,335.7040,4223
36,12105.7737,1.1824,339.9458,4381
37,12724.5967,1.1624,341.0692,4473
38,10965.1580,1.2064,333.9787,4190
39,11931.6342,1.1932,337.6972,4363
40,10819.4188,1.2106,336.0062,4168
41,11392.1742,1.1984,335.9070,4263
42,11215.0440,1.2031,335.3180,4235
43,11377.7429,1.1957,336.3297,4256
44,11421.6109,1.2055,334.2321,4280
45,12204.9176,1.1735,341.9951,4387
46,12319.6286,1.1731,340.1934,4409
47,12193.1272,1.1797,338.9535,4394
48,11940.5113,1.1851,338.5130,4352
49,11937.9494,1.1874,338.0365,4355
50,10738.6079,1.2114,334.8155,4153
51,11894.3157,1.1774,341.2240,4331
52,10744.7539,1.2152,333.6253,4160
53,12643.4377,1.1618,342.2653,4456
