ep,reward,delay,energy,succ
0,10081.9296,1.2387,328.6329,4064
1,9980.6158,1.2382,328.8469,4043
2,9950.7786,1.2407,328.7681,4041
3,10009.7209,1.2364,329.0749,4046
4,10412.4797,1.2255,328.1461,4109
5,12744.0058,1.1560,338.2029,4466
6,13870.8572,1.1145,348.3828,4627
7,12858.0402,1.1452,345.7133,4473
8,14592.0927,1.0914,351.8638,4735
9,13527.8380,1.1332,346.5704,4588
10,11626.3617,1.1786,344.5923,4280
11,12650.0923,1.1622,342.3484,4458
12,13413.6570,1.1396,344.9421,4575
13,13532.7698,1.1332,346.7666,4589
14,15179.2161,1.0925,351.1136,4854
15,15031.8422,1.0779,354.6827,4802
16,15768.4459,1.0652,354.7981,4929
17,14871.9114,1.0844,353.0179,4780
18,11825.4566,1.1803,336.7525,4321
19,13782.9382,1.1266,344.3957,4628
20,14373.4928,1.0981,346.6494,4701
21,15696.2812,1.0628,351.0448,4910
22,13679.6292,1.1222,342.5703,4600
23,12895.3558,1.1451,338.4943,4479
24,13222.8317,1.1419,342.0428,4540
25,12960.4294,1.1461,340.4762,4494
26,11486.5454,1.1828,336.0391,4257
27,12531.5986,1.1638,337.8981,4436
28,12696.2120,1.1500,338.4144,4447
29,11709.3217,1.1807,335.2273,4298
30,12730.4842,1.1640,337.7009,4476
31,14256.3898,1.1060,345.7043,4690
32,13131.6509,1.1403,340.8647,4519
33,11700.1762,1.1889,333.8355,4309
34,12384.6889,1.1677,338.5561,4413
35,12434.7517,1.1614,339.1984,4413
36,12187.0837,1.1665,336.2880,4371
37,14586.5331,1.1016,346.0541,4749
38,13638.3201,1.1216,344.1537,4591
39,14325.3765,1.1067,345.8660,4705
40,12134.4349,1.1681,335.5541,4363
41,11384.4725,1.1958,333.7556,4257
42,13747.9762,1.1299,343.1500,4626
43,13020.7255,1.1455,339.9174,4505
44,11723.0964,1.1831,336.9626,4305
45,11778.0842,1.1852,335.2406,4319
46,11541.7268,1.1870,332.1763,4274
47,13181.2676,1.1448,340.3550,4536
48,12138.7149,1.1687,336.4068,4365
49,12393.8398,1.1584,339.0789,4400
50,12577.9539,1.1660,338.6655,4449
51,12481.6475,1.1676,337.8805,4432
52,11444.9155,1.1907,334.6174,4261
53,11123.3838,1.1998,333.5214,4211
54,12892.9887,1.1484,339.9044,4484
55,13106.6236,1.1421,341.6304,4517
56,13636.4821,1.1169,343.3097,4583
57,11710.9955,1.1837,334.5333,4303
58,11965.2292,1.1749,335.6855,4340
59,13335.9532,1.1391,341.5082,4558
60,11471.6669,1.2046,331.2353,4288
61,12035.3489,1.1742,336.1298,4353
62,11452.1416,1.1912,333.2949,4263
63,11980.1483,1.1820,334.1667,4354
64,12067.4921,1.1707,336.7917,4354
65,13071.5670,1.1491,340.6142,4521
66,12746.1561,1.1513,338.8421,4459
67,13221.8488,1.1256,343.2277,4514
68,11953.0235,1.1814,335.7998,4348
69,11579.8001,1.1830,336.4329,4276
70,12289.0062,1.1654,337.6182,4390
71,12309.7982,1.1662,335.4975,4395
72,13070.4978,1.1499,340.2251,4522
73,12033.9134,1.1764,334.8177,4356
74,11561.6834,1.1909,335.8681,4285
75,12260.6467,1.1678,337.3062,4388
76,11980.3161,1.1761,336.0914,4345
77,13723.2716,1.1267,343.0698,4616
78,12685.6907,1.1620,338.5302,4464
79,15131.3986,1.0907,347.8242,4841
80,14039.1701,1.1219,345.8693,4672
81,12064.3290,1.1768,335.9201,4363
82,11515.2586,1.1964,333.8229,4284
83,11861.5155,1.1714,337.3056,4314
84,12220.6024,1.1697,337.1107,4383
85,11916.1205,1.1695,338.2507,4322
86,11689.7106,1.1811,336.7699,4295
87,12380.5817,1.1558,338.3581,4393
88,12901.3771,1.1451,342.6355,4481
89,13500.2930,1.1302,342.7550,4577
90,13579.4811,1.1317,341.9615,4595
91,13512.2765,1.1289,341.9184,4577
92,10768.2849,1.2017,332.8987,4143
93,11410.5548,1.1925,334.2527,4257
94,12679.8013,1.1552,338.6923,4452
95,13091.2299,1.1417,339.9409,4513
96,13861.9709,1.1091,345.2739,4616
97,11854.9910,1.1710,337.3930,4312
98,12739.1518,1.1598,337.1580,4471
99,12603.1554,1.1712,337.3256,4462
100,12329.3035,1.1665,338.5134,4400
101,13354.1511,1.1387,341.4029,4561
102,11914.6019,1.1875,335.6909,4350
103,13119.7533,1.1511,341.3054,4534
104,13143.2306,1.1458,340.0689,4530
105,12614.6913,1.1563,339.9294,4441
106,12570.1750,1.1644,339.4817,4445
107,12723.8602,1.1489,339.7093,4451
108,12400.2125,1.1698,336.4569,4419
109,12576.6231,1.1580,339.5448,4436
110,12937.1598,1.1454,339.5349,4488
111,14834.7488,1.0852,348.6495,4773
112,12157.8931,1.1698,338.7035,4371
113,12553.3921,1.1604,338.4179,4435
114,13734.7224,1.1286,341.2180,4621
115,11340.5661,1.1930,335.4170,4244
116,11394.2081,1.1863,335.0034,4244
117,13127.2318,1.1453,340.6562,4526
118,12931.8201,1.1488,337.7976,4492
119,13038.9995,1.1484,339.0412,4513
120,12070.5202,1.1747,336.8294,4361
121,13255.5910,1.1404,341.4323,4544
122,11310.8949,1.1938,333.5454,4239
123,12941.3155,1.1393,344.1648,4480
124,12010.0161,1.1893,335.5855,4372
125,12152.5818,1.1813,336.8243,4388
126,13545.8187,1.1315,342.2670,4588
127,12233.9717,1.1735,337.7062,4392
128,13199.5512,1.1498,341.9883,4548
129,13642.1598,1.1276,341.8350,4601
130,12886.1926,1.1481,338.9274,4482
131,11964.6314,1.1762,336.0308,4342
132,12448.3847,1.1597,338.7612,4413
133,11361.7600,1.1975,333.4331,4255
134,12584.7353,1.1694,335.2452,4455
135,12297.0739,1.1649,338.4562,4391
136,10945.9851,1.2077,332.4570,4188
137,12760.7086,1.1563,339.0862,4470
138,11081.5817,1.2043,334.2081,4210
139,12560.7026,1.1652,338.0618,4444
140,12243.4058,1.1736,337.5335,4394
141,11639.2532,1.1844,335.8147,4290
142,12439.9836,1.1548,336.3999,4403
143,11535.2766,1.1913,333.9968,4280
144,12764.8088,1.1533,338.8332,4466
145,12554.4101,1.1583,339.0524,4432
146,12827.9060,1.1479,338.9986,4470
147,12241.9075,1.1607,337.5529,4373
148,13108.1035,1.1483,340.6533,4527
149,12207.5085,1.1618,337.7737,4368
150,11092.5976,1.2056,332.3271,4214
151,11253.2165,1.1999,332.5609,4237
152,11389.8311,1.1902,333.7979,4249
153,13224.3645,1.1374,341.2971,4533
154,11136.2055,1.2052,332.0577,4222
155,13232.1166,1.1420,342.0557,4542
156,12184.3100,1.1653,338.3336,4369
157,11975.4619,1.1823,336.3972,4354
158,13339.6174,1.1387,340.7788,4558
159,12523.6624,1.1577,339.4774,4425
160,11260.8285,1.2039,332.6201,4245
161,14596.0353,1.1002,347.1630,4749
162,13728.0115,1.1149,342.6458,4598
163,11347.2874,1.1935,334.9532,4246
164,13055.0354,1.1436,341.1723,4509
165,12890.8926,1.1480,340.4053,4483
166,12275.1892,1.1592,336.3866,4377
167,11848.2214,1.1783,335.5611,4322
168,11813.0000,1.1890,334.6721,4332
169,12208.2855,1.1713,336.7099,4383
170,12649.5705,1.1621,339.0152,4457
171,14852.8347,1.0912,347.9279,4786
172,12242.4359,1.1632,336.9371,4377
173,12415.5797,1.1596,337.7758,4406
174,12933.5286,1.1401,340.4866,4479
175,11945.3099,1.1817,336.4746,4347
176,12001.5557,1.1619,337.9862,4327
177,10845.2651,1.2020,333.9941,4159
178,12337.9955,1.1663,336.7082,4401
179,11723.3304,1.1769,336.1921,4295
180,12352.7869,1.1535,339.0097,4384
181,10944.2712,1.2035,332.5648,4181
182,12492.9685,1.1590,340.0181,4421
183,12881.4332,1.1549,339.0807,4492
184,12937.7158,1.1535,339.2316,4501
185,13015.8276,1.1569,339.2435,4522
186,13399.5435,1.1290,343.5391,4555
187,13049.2216,1.1419,340.6126,4505
188,13037.4193,1.1484,340.1442,4513
189,13840.7344,1.1121,342.8449,4616
190,13065.7707,1.1382,338.7343,4502
191,11374.1377,1.1971,333.7500,4257
192,14180.0221,1.0999,345.5212,4665
193,13144.1691,1.1470,339.9603,4532
194,11616.7379,1.1887,333.8265,4292
195,13727.9334,1.1230,342.6922,4611
196,12448.8601,1.1584,339.2740,4411
197,12612.4170,1.1599,338.5627,4446
198,12224.9713,1.1722,337.3108,4388
199,11686.1553,1.1892,335.6183,4307
200,13596.6041,1.1218,344.0186,4583
201,13283.6007,1.1373,342.8278,4545
202,12612.2938,1.1567,339.3957,4441
203,11866.8219,1.1754,335.2318,4321
204,12582.1879,1.1581,338.2043,4437
205,12090.0761,1.1742,335.9315,4364
206,13382.5032,1.1231,342.8710,4542
207,12415.3103,1.1640,337.3843,4413
208,13360.0127,1.1280,341.1651,4545
209,11587.7231,1.1865,335.2223,4283
210,13502.5787,1.1291,339.8059,4575
211,15064.5537,1.0905,346.2675,4827
212,11566.4068,1.1893,334.1733,4283
213,13447.5250,1.1333,340.9518,4571
214,12877.7100,1.1407,341.5134,4469
215,12982.7576,1.1574,338.3427,4516
216,13209.8594,1.1426,339.4926,4538
217,10912.9296,1.2126,331.5866,4189
218,13588.9246,1.1218,341.4975,4581
219,11157.1314,1.2087,333.3441,4232
220,11857.4496,1.1763,337.2358,4321
221,13254.2448,1.1436,341.7741,4549
222,13958.8556,1.1132,345.4174,4642
223,11193.5619,1.2092,332.4989,4240
224,11589.9855,1.1912,335.4291,4291
225,13225.6829,1.1315,342.2397,4524
226,12260.0825,1.1699,335.6438,4391
227,11894.6400,1.1736,336.8325,4324
228,12493.4212,1.1608,340.4802,4424
229,12364.7956,1.1646,338.3951,4404
230,12115.0319,1.1760,337.2158,4372
231,13354.4657,1.1419,340.0635,4566
232,12993.9463,1.1462,341.1010,4501
233,12105.9313,1.1748,335.4660,4368
234,12180.8406,1.1745,338.4933,4383
235,12574.2914,1.1690,338.6181,4453
236,11470.4952,1.1969,334.1514,4276
237,13303.7905,1.1370,340.3771,4548
238,12159.0063,1.1712,336.7546,4373
239,13288.5672,1.1388,341.2635,4548
240,11753.2967,1.1795,336.0572,4305
241,14219.9178,1.1029,347.2740,4678
242,12185.5187,1.1804,336.4073,4393
243,10980.4879,1.2071,332.8813,4194
244,11709.4190,1.1806,335.4129,4298
245,11304.8544,1.1977,333.1787,4244
246,11478.1454,1.1949,332.5855,4274
247,12404.3274,1.1684,338.8035,4418
248,13065.1966,1.1414,338.6758,4507
249,12161.5846,1.1701,337.8653,4372
250,12038.3018,1.1790,335.0709,4361
251,10627.1719,1.2182,332.0200,4141
252,11802.3081,1.1822,335.2324,4319
253,12215.6185,1.1677,337.7709,4379
254,12999.8844,1.1398,341.3852,4492
255,11364.3137,1.1959,333.3379,4253
256,12067.3626,1.1782,337.1250,4366
257,11430.2159,1.1830,335.8064,4246
258,11875.5864,1.1868,335.0542,4341
259,12887.8574,1.1359,339.8714,4463
260,10868.8560,1.2156,331.4796,4185
261,12373.0952,1.1593,337.7942,4397
262,12338.0143,1.1548,338.6600,4383
263,11736.8934,1.1827,336.4247,4307
264,12829.9981,1.1576,339.5662,4486
265,12400.3693,1.1677,338.2665,4416
266,11556.8932,1.1886,334.5397,4280
267,11506.8435,1.1987,333.6306,4286
268,14442.1724,1.1065,345.5557,4728
269,12029.5032,1.1731,335.6005,4350
270,13219.2826,1.1329,342.4189,4525
271,12000.8813,1.1702,337.7286,4340
272,12310.9967,1.1587,339.7702,4384
273,13533.5493,1.1330,342.1879,4588
274,11466.3623,1.1848,334.8422,4256
275,12622.8142,1.1542,338.7638,4439
276,13643.3094,1.1158,345.4886,4583
277,11775.5457,1.1793,334.8378,4309
278,11968.0495,1.1617,338.1422,4320
279,11166.0326,1.2064,332.4912,4230
280,11736.4361,1.1874,334.5966,4314
281,12858.7300,1.1349,342.0943,4456
282,12918.6193,1.1520,340.4077,4495
283,11577.2203,1.1909,335.6892,4288
284,12257.8137,1.1634,339.6124,4381
285,11385.2937,1.2014,333.8163,4266
286,13422.1034,1.1262,343.2461,4555
287,12706.7641,1.1604,339.8783,4466
288,13067.7308,1.1331,342.8232,4495
289,13519.6737,1.1399,340.8924,4596
290,12767.9060,1.1513,341.6570,4464
291,11172.7565,1.2003,334.8045,4222
292,11048.4476,1.1970,335.7359,4192
293,12186.5678,1.1721,336.7960,4380
294,11298.8216,1.1941,333.0586,4237
295,13227.0843,1.1313,342.3698,4524
296,13786.3530,1.1143,344.3598,4609
297,12312.2251,1.1688,337.3437,4400
298,13013.3351,1.1408,340.0970,4496
299,11120.7204,1.1995,332.9443,4210
300,11749.1239,1.1896,334.0125,4320
301,13153.3529,1.1496,339.8233,4538
302,13152.7659,1.1550,337.0427,4546
303,11139.3304,1.2021,334.1245,4218
304,13223.2712,1.1355,342.4876,4530
305,12548.6127,1.1615,339.5318,4436
306,12526.2807,1.1594,338.8025,4428
307,11876.1852,1.1803,336.6044,4331
308,13789.4623,1.1256,340.9306,4627
309,11438.6044,1.1906,336.4085,4260
310,12318.5979,1.1665,339.4208,4398
311,11512.0734,1.1859,335.8121,4267
312,11697.5606,1.1854,333.8776,4303
313,12188.9099,1.1736,337.4675,4383
314,10222.2442,1.2355,328.5672,4087
315,12357.8928,1.1534,340.1733,4385
