ep,reward,delay,energy,succ
0,12867.0216,1.1427,351.1599,4472
1,13682.9388,1.1216,354.4806,4602
2,14563.1113,1.0991,354.3991,4742
3,14894.0207,1.0812,361.5815,4781
4,16023.4088,1.0529,363.3464,4962
5,17663.4802,0.9919,371.5482,5194
6,14460.5760,1.1019,359.3810,4727
7,14785.7035,1.0876,363.5913,4770
8,14953.9806,1.0851,360.2468,4799
9,14886.8344,1.0937,358.9435,4799
10,17363.1208,1.0139,370.7048,5169
11,14168.3962,1.1095,355.9713,4680
12,14312.3571,1.1089,356.7062,4708
13,16367.0126,1.0392,363.9957,5009
14,15267.9265,1.0682,361.2212,4835
15,16013.3401,1.0505,362.5827,4956
16,15973.2517,1.0580,362.9844,4960
17,18839.5387,0.9668,375.8530,5390
18,16420.1487,1.0267,366.3400,5000
19,15057.5748,1.0785,359.2994,4809
20,17471.7046,1.0094,368.0020,5183
21,16532.7453,1.0431,362.8287,5048
22,16603.0424,1.0402,365.4041,5058
23,16439.8606,1.0381,365.1852,5022
24,16521.3347,1.0373,365.6312,5037
25,16934.5164,1.0286,366.8563,5106
26,15253.7599,1.0762,361.5861,4845
27,13918.5907,1.1139,355.5066,4637
28,16580.8717,1.0283,367.6747,5035
29,14793.6081,1.0863,360.8224,4769
30,16126.1372,1.0545,363.2062,4985
31,14518.5511,1.1035,358.5455,4741
32,16519.9040,1.0478,362.7941,5053
33,15299.5685,1.0720,359.0427,4847
34,14341.0353,1.1070,358.3370,4711
35,15230.5141,1.0684,362.2739,4828
36,14208.8238,1.0977,359.6820,4670
37,14779.9917,1.0950,359.8232,4780
38,16526.3120,1.0453,366.5077,5051
39,15829.0080,1.0614,364.4371,4937
40,14851.9386,1.0923,359.6250,4790
41,17496.0371,1.0068,369.9503,5184
42,16910.3186,1.0177,368.4668,5084
43,18376.6290,0.9833,372.2563,5323
44,15809.3308,1.0605,361.3329,4931
45,12865.3878,1.1532,348.7178,4488
46,15811.7649,1.0630,363.9306,4936
47,15000.4364,1.0809,362.1049,4802
48,16304.2567,1.0438,365.0034,5004
49,17901.9010,1.0020,371.8924,5258
50,16489.7569,1.0454,366.8501,5044
51,14280.2513,1.1122,357.4793,4707
52,15803.2581,1.0624,362.4032,4933
53,14600.2239,1.0983,358.2393,4749
54,15087.5263,1.0797,359.6539,4817
55,16512.4283,1.0320,366.4933,5027
56,14007.8445,1.1170,356.4069,4660
57,16433.2993,1.0409,364.7169,5025
58,15203.6327,1.0792,362.5920,4840
59,15555.8175,1.0641,361.1945,4886
