ep,reward,delay,energy,succ
0,15107.9053,1.0846,345.0220,4826
1,15712.8930,1.0724,347.8752,4928
2,15556.2106,1.0701,347.9926,4893
3,14023.1940,1.1151,340.6562,4657
4,13307.2950,1.1376,337.2501,4549
5,11046.5380,1.1932,332.7993,4185
6,14573.6314,1.1069,340.9785,4754
7,13864.7047,1.1369,339.8090,4660
8,13907.6687,1.1158,340.9855,4635
9,18330.0128,0.9770,358.9847,5301
10,14262.6435,1.1156,342.4797,4706
11,16833.2012,1.0293,352.5432,5084
12,11592.6920,1.1895,331.4601,4288
13,14442.4118,1.1019,342.0635,4720
14,12182.8786,1.1702,335.1618,4376
15,14757.8075,1.0947,344.4572,4772
16,13343.6850,1.1421,339.2844,4564
17,11071.3233,1.2095,327.7474,4215
18,14708.7167,1.1034,344.0666,4776
19,13221.7016,1.1501,337.4553,4552
20,15135.3037,1.0840,347.4795,4831
21,13028.7425,1.1422,338.6793,4501
22,15648.7710,1.0648,347.5816,4903
23,14223.4535,1.1055,342.2352,4682
24,15271.5954,1.0790,346.0468,4850
25,13144.3873,1.1448,337.4091,4528
26,12446.5472,1.1622,336.0725,4416
27,12057.0596,1.1761,334.2086,4360
28,13927.0897,1.1227,341.3254,4650
29,17064.7820,1.0217,356.6515,5119
30,12863.4100,1.1392,337.7917,4463
31,14850.2070,1.0906,344.9976,4784
32,12995.5345,1.1515,337.1309,4509
33,18892.6463,0.9837,357.7667,5424
34,13208.4889,1.1378,339.0020,4530
35,12048.4267,1.1868,332.4600,4375
36,12671.3243,1.1580,334.2911,4454
37,14635.8072,1.1033,342.5492,4761
38,14574.6568,1.1014,344.1606,4746
39,12854.5653,1.1619,335.2103,4497
40,14516.5209,1.1012,343.7976,4734
41,13084.6114,1.1474,336.3638,4520
42,14349.1479,1.1098,342.3482,4714
43,14506.5629,1.1101,343.0038,4746
44,14091.7725,1.1139,341.8582,4669
45,14624.3588,1.0984,343.5210,4751
46,13938.0352,1.1259,339.9339,4657
47,16509.2273,1.0393,350.9746,5035
48,17655.9681,1.0017,355.7966,5205
49,12832.0419,1.1457,337.4101,4467
50,15647.7730,1.0710,349.0830,4913
51,14506.5673,1.1088,343.1646,4744
52,14600.2008,1.0932,344.4608,4738
53,13988.6915,1.1214,340.4513,4660
54,13596.3946,1.1247,341.1741,4587
55,18125.6963,0.9896,357.3904,5280
56,14839.1286,1.0913,345.2752,4783
57,14322.4700,1.1043,343.3908,4700
58,15798.5278,1.0559,349.6413,4919
59,13094.9529,1.1377,338.4317,4507
60,13345.1144,1.1345,339.2579,4552
61,13683.0960,1.1303,339.7852,4613
62,13747.7003,1.1175,342.1440,4606
63,13409.1420,1.1393,336.7080,4572
64,14244.1166,1.1149,341.9895,4701
65,12181.4774,1.1743,334.0503,4382
66,14112.2867,1.1068,343.4016,4662
67,13266.3533,1.1349,339.4716,4537
68,16311.4303,1.0505,349.5137,5013
69,12428.6382,1.1584,334.2856,4406
70,13301.4003,1.1317,339.6821,4539
71,14522.3700,1.1070,341.8916,4744
72,17961.3565,1.0033,356.9726,5269
73,14519.0259,1.1047,343.2820,4740
74,14080.4660,1.1101,343.4689,4661
75,14481.6145,1.1020,342.7211,4728
76,14292.0104,1.0981,343.0594,4684
