ep,reward,delay,energy,succ
0,11036.7728,1.2085,335.1189,4208
1,10867.1411,1.2239,331.3586,4198
2,10772.0995,1.2194,332.3808,4172
3,10793.4091,1.2192,332.7834,4176
4,11100.9342,1.1990,336.8330,4206
5,10750.0675,1.2177,333.2495,4165
6,11841.0999,1.1795,337.9456,4323
7,11368.0756,1.2007,336.5229,4262
8,11232.7695,1.1994,336.7972,4233
9,11700.9512,1.1946,337.4653,4319
10,12315.7474,1.1825,339.4467,4423
11,12418.5991,1.1690,339.3441,4422
12,10694.7686,1.2159,333.2562,4151
13,11491.4637,1.2009,336.1725,4287
14,11501.3439,1.1940,336.9183,4278
15,10988.5351,1.2089,335.6416,4199
16,11218.4141,1.2027,335.1825,4235
17,11059.9975,1.2049,335.4553,4207
18,11176.9927,1.2060,334.7374,4232
19,11775.9491,1.1891,336.2008,4325
20,10924.2564,1.2115,333.9420,4190
21,11362.2830,1.1892,338.9457,4243
22,10897.3835,1.2212,333.1329,4200
23,11222.5028,1.1972,334.7512,4227
24,10868.7922,1.2138,335.6166,4183
25,11533.7261,1.2002,334.4504,4294
26,11348.8979,1.2005,336.7078,4258
27,10746.1266,1.2177,332.2259,4164
28,11315.5839,1.2041,336.4180,4257
29,12225.9096,1.1819,339.1303,4404
30,11091.3272,1.2073,335.3497,4217
31,11230.4921,1.2169,334.4670,4260
32,11274.8343,1.1992,336.6726,4241
33,11068.6633,1.2063,336.2415,4211
34,11283.6269,1.1980,337.1274,4241
35,11136.6583,1.2002,336.5184,4215
36,11231.3468,1.2027,336.9145,4238
37,11856.7724,1.1915,336.2767,4345
38,10750.2165,1.2068,335.1203,4148
39,11683.6075,1.1937,337.0555,4314
40,10979.1839,1.2177,334.1048,4211
41,10682.8721,1.2207,331.7814,4156
42,10913.3768,1.2198,333.5328,4201
43,11416.5815,1.1927,336.7440,4259
44,11163.7060,1.2052,334.5826,4228
45,10885.8440,1.2048,335.4984,4172
46,10716.7351,1.2212,333.3015,4164
47,11679.1723,1.1904,337.9727,4308
48,11623.1622,1.1969,336.3016,4307
49,12792.1535,1.1576,342.2001,4479
50,11827.6507,1.1938,337.0511,4343
51,11095.6570,1.2017,335.6878,4209
52,11318.8426,1.1916,338.3476,4238
53,12115.5798,1.1839,338.5055,4385
54,10903.8614,1.2036,337.2616,4174
55,12121.6076,1.1806,338.4659,4381
56,11683.3776,1.1930,337.3493,4313
57,11624.7344,1.1851,339.3571,4289
58,12127.6373,1.1866,339.4314,4392
59,11833.9701,1.1975,335.9708,4350
60,11611.4050,1.2035,335.6475,4315
61,12291.9449,1.1772,340.1401,4410
62,12091.7718,1.1805,339.1401,4375
63,10633.8888,1.2180,331.9957,4142
64,10620.2649,1.2228,332.7005,4147
65,11403.9401,1.2001,334.9269,4268
66,11768.0253,1.1956,337.2808,4334
67,11045.0547,1.2063,334.4662,4206
68,11586.5148,1.1960,335.5340,4298
69,11375.1200,1.2011,336.2077,4264
70,11300.4449,1.1953,336.7779,4240
71,11425.7521,1.1941,336.5996,4263
72,10910.9612,1.2113,333.9570,4187
73,10950.9675,1.2130,335.0758,4198
74,12681.6187,1.1715,341.5559,4479
75,11161.8001,1.2030,334.4633,4224
76,11106.5613,1.2020,337.1149,4212
77,11526.2859,1.1884,336.8411,4274
78,10928.6678,1.2090,334.6267,4187
79,10727.0045,1.2124,333.7020,4152
80,12056.9206,1.1792,339.5897,4366
81,12564.2323,1.1700,341.0974,4453
82,11236.2252,1.2086,334.6592,4248
83,11834.3511,1.1937,335.8777,4344
84,11188.1973,1.2032,335.9538,4230
85,11130.0876,1.2216,331.7145,4247
86,10551.3211,1.2201,332.8651,4129
87,12123.8105,1.1860,338.5024,4390
