ep,reward,delay,energy,succ
0,10406.2906,1.2331,328.9026,4120
1,10418.9697,1.2341,328.1943,4124
2,10162.5048,1.2430,328.1472,4087
3,11497.1999,1.1970,336.6192,4282
4,11966.0187,1.1856,338.8450,4358
5,12164.3858,1.1859,338.2858,4398
6,11812.7697,1.1942,338.8847,4341
7,10519.2549,1.2266,333.2902,4133
8,10929.8640,1.2125,335.3522,4193
9,12295.0199,1.1792,341.4685,4414
10,11068.8645,1.2159,334.2716,4226
11,11222.3729,1.2134,335.4385,4253
12,10768.6340,1.2138,336.2107,4163
13,10787.8913,1.2191,334.4319,4175
14,11314.5008,1.2022,337.8283,4254
15,11209.8592,1.2131,335.1788,4250
16,11721.5238,1.1938,338.3495,4322
17,12496.9006,1.1810,340.3606,4457
18,12417.7952,1.1780,343.2652,4437
19,11648.4973,1.1932,340.5760,4307
20,11709.8090,1.2046,338.0538,4337
21,11655.9278,1.1923,340.9128,4307
22,12359.3049,1.1759,343.6030,4422
23,12155.1738,1.1856,339.9582,4396
24,12389.9904,1.1779,341.4453,4431
25,11778.9523,1.2016,337.9190,4346
26,11355.8280,1.2008,337.8326,4260
27,12264.7421,1.1818,340.4998,4412
28,12200.3672,1.1767,341.0484,4391
29,13281.5360,1.1618,344.1252,4584
30,12122.3865,1.1841,339.8416,4387
31,12555.2735,1.1774,340.4224,4463
32,13077.0456,1.1670,341.7195,4551
33,11921.1290,1.1894,338.7268,4355
34,12959.2538,1.1649,341.6606,4524
35,12242.4930,1.1822,339.8691,4408
36,12620.7756,1.1795,337.9288,4479
37,12093.2985,1.1791,338.7310,4373
38,12047.6150,1.1906,337.7774,4382
39,11328.6462,1.2039,335.1927,4259
40,11269.1984,1.2038,335.1324,4247
41,12457.0302,1.1747,340.6218,4439
42,11683.4454,1.1907,335.7427,4309
43,11836.6778,1.1959,336.1726,4348
44,11761.6903,1.1850,338.6805,4316
45,11339.2579,1.2064,334.7016,4265
46,11494.5047,1.2000,335.1076,4286
47,12162.3056,1.1810,339.3070,4390
48,12082.7023,1.1894,337.3266,4387
49,11875.2036,1.1834,337.2278,4336
50,10678.9631,1.2249,331.5638,4162
51,12614.5065,1.1745,339.4147,4470
52,11275.4531,1.2101,334.0647,4258
