Episode,Reward,Avg_Delay,Throughput,Dropped,Energy
0,-74970.25981353012,39.622426079343406,1003277890.9722441,7222,362.80291833740347
1,-73038.94655407006,30.00693012431905,1241011522.1448894,7051,361.42367610963464
2,-77862.09057112003,122.46914187744001,674782892.4051211,7478,367.2532411051699
3,-75516.21912175068,169.6103248941949,936194636.7706455,7269,364.483729372828
4,-79664.8071725936,313.4980066204448,465811280.90402335,7635,372.1947418814696
5,-75864.90705248644,280.14536893996615,902602679.0496812,7299,366.42874123053537
6,-75955.24496625416,281.2539409730078,897467744.8202584,7308,365.9696199284969
7,-79403.09746976732,572.3455639022867,495048499.0102347,7614,369.6067672988211
8,-78926.86274942187,301.02342172287774,552444608.5031539,7571,369.9855951847881
9,-78714.76283692835,128.0888768339005,578328138.5945795,7552,370.0557098454842
10,-76323.38167762198,115.31094692462705,858041989.5134822,7342,365.4129092560689
11,-76996.1698538771,199.27067523498994,769382459.2732906,7399,367.8568989748303
12,-75991.7259890821,76.92498887273614,887566991.7160101,7311,365.8072483958206
13,-78727.81873269808,436.77059972882796,575186087.51885,7555,368.0932532731306
14,-79017.35358990691,405.2748879828185,543652146.2323767,7580,369.2767098755561
15,-78382.1021635413,111.69044044570643,618951984.6727473,7523,369.34307495986593
16,-74800.07271472257,47.40317378156652,1039833284.7750087,7207,363.9991684855847
17,-72762.64248401421,28.29815304582568,1266432547.7673903,7025,362.0198447195271
18,-77839.49614331903,599.2483389117274,685859434.7760867,7476,367.9439038975893
19,-78064.65615809699,235.28908390042199,644878596.3562279,7493,369.8176626456419
20,-74258.62302502609,31.9565386537723,1094950978.34261,7159,362.6616089133088
21,-77184.03096400229,92.75312321254457,753957496.6376413,7416,368.33235346163156
22,-79259.1820239461,899.0716469216625,521207728.8442308,7601,370.496849688213
23,-78016.84929759154,219.57738610403794,661219501.310548,7491,368.51859047187025
24,-77675.48274671426,279.39447649344527,693712217.1043462,7459,369.2031321827742
25,-76599.62697492236,53.57527053610707,819974570.8268511,7364,367.6591755856456
26,-77122.52907134789,217.00230998122143,752789215.869943,7409,369.0450167619573
27,-77312.83108918375,113.98907933917373,744415142.7353936,7428,368.36774852438305
28,-79041.97297719642,616.4497399582203,537608792.410709,7580,371.18212249587685
29,-76147.52401832155,76.565454602409,873485802.6569961,7325,366.1736519559982
30,-76424.82250148711,155.76642481445975,841123679.7818052,7349,367.0447410899786
31,-79816.52463248318,162.80673487511595,444384600.6904819,7651,369.51041428147954
32,-77491.15686686532,498.4718156986248,718366271.3327602,7444,367.9258060692535
33,-77751.2200556135,92.68129279032694,685690293.8534225,7466,369.0577449201272
34,-79462.96623331434,451.34256665710564,495654239.2386298,7618,371.6211939146664
35,-75653.25863037635,111.71333224857797,933191875.3206317,7281,365.9431236889549
36,-75171.26250817174,74.49573478709323,986014567.0953411,7239,364.3286221469174
37,-76056.56467234081,62.8420098488824,886413863.3456966,7316,367.1906216223804
38,-78437.10083046313,308.0378123289619,611767628.0197369,7529,368.2198076317261
39,-78817.20464911191,165.9633465109063,567461854.2061423,7561,370.3334881513204
40,-76791.26880129361,979.1231014484623,797755697.6604555,7383,365.894364137698
41,-76500.61262049538,235.8419804160299,827769441.4206933,7356,366.43224719860706
42,-79527.01203897195,640.5014033653564,483712176.1309018,7624,370.9955403838033
43,-76085.87647383405,247.02280414589356,874911380.0807925,7319,366.08685136399487
44,-72907.678682535,16.648585789605374,1234899301.6840193,7038,360.7468764683705
45,-76238.03544997903,64.4588754185276,866016787.6414062,7333,366.57298153028887
46,-78925.28923330332,356.15241869628585,548213198.6381768,7572,368.461043821451
47,-77192.03458067466,85.45592813481943,743411699.3517194,7417,367.21357807482485
48,-79246.4403392925,637.4782846833475,509316433.3574546,7599,370.16949864706754
49,-78201.19729001976,289.69822283730974,639777787.3188277,7506,370.0633867269379
50,-74954.87191033283,73.78531687964858,1013389418.8651475,7219,365.12100477718747
51,-78290.01353068351,438.20616036610556,621198964.714019,7513,370.2516766673557
52,-77232.60996849695,87.60767859288829,745476732.4772333,7420,368.4168522433705
53,-75870.93268003894,140.81358727982945,909835791.6504512,7300,366.63722350750095
54,-76533.77180571426,83.30122047436213,833637616.3826388,7359,367.298562526159
55,-76113.4350484802,138.30728829024235,880011058.0324359,7322,366.3120569241427
56,-76928.85297666889,167.66963052129486,783958500.1937562,7394,367.43430055233847
57,-76301.94330013433,82.83998569248244,858465865.1859833,7339,366.24963639913375
58,-74429.34213675167,78.43913965534618,1072035497.0384293,7171,365.6793770656109
59,-74565.47936699657,112.253735148579,1049158391.9017935,7184,364.22709000516727
60,-79675.58125875173,845.4949958523179,462097638.47756267,7636,371.91732218224314
61,-78253.08577500563,102.41649734916646,629935125.6002634,7511,369.3671163038961
